"Fuel and Month Wise Data for West Bengal (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,13,8,15,24,27,26,55,24,21,10,19,34,44,57,42,38,43,25,42,59,89,73,39,51,63,123,146,53,92,61,92,163,96,147,267,362,2543
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,5454,5609,7179,5920,5556,6203,6381,6197,6689,3255,5967,4838,4926,5349,5951,4960,5463,5267,5213,5752,5160,5038,5273,5513,5995,6097,5449,6129,5689,5184,6763,5929,5402,5075,5501,5557,201883
DIESEL/HYBRID,0,0,0,0,2,6,1,3,1,2,6,8,6,7,2,2,3,2,4,3,6,5,13,9,17,6,10,16,7,8,6,8,14,10,12,12,217
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),512,742,783,909,808,892,871,922,1030,707,1578,1393,967,1335,1845,1531,2290,1327,1312,1456,1555,1996,1976,3837,2752,2665,3947,2656,2119,2090,3066,3007,3455,3007,2946,3218,67502
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,111,160,262,159,173,173,143,218,237,88,127,176,168,207,221,208,216,145,169,201,386,696,401,417,307,456,635,307,381,283,453,708,709,526,638,878,11743
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,48,15,30,60,43,19,15,8,11,6,13,30,28,29,14,7,17,7,3,4,5,12,8,20,11,20,8,10,5,7,10,14,15,3,2,11,568
PETROL,67288,62532,79932,75123,74647,73785,68506,68649,72340,55096,107164,74045,58689,72201,78494,58016,79561,67421,69048,65950,60022,67156,97116,86582,72443,73129,67770,81250,82970,77084,92756,68579,69651,94728,105856,78264,2703843
PETROL(E20),0,0,0,0,0,0,0,0,0,1,0,0,0,10,546,1232,2654,3010,3737,4339,4427,4909,6445,7192,5974,5539,5505,7007,7157,5824,8350,5979,6377,7148,8328,7541,119231
PETROL(E20)/CNG,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,8
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
PETROL(E20)/LPG,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6
PETROL/CNG,100,106,145,147,145,164,208,252,277,86,310,145,306,196,275,192,358,291,389,426,464,513,412,501,451,415,411,484,405,415,512,456,592,593,528,528,12198
PETROL/HYBRID,443,400,364,242,465,492,375,617,792,515,795,815,826,844,820,682,618,736,633,750,634,676,613,614,723,735,677,743,737,678,765,627,772,784,752,645,23399
PETROL/HYBRID/CNG,0,2,2,0,4,0,1,0,0,0,1,0,1,0,1,2,0,0,0,2,0,0,0,1,2,0,0,0,0,3,0,0,1,0,1,3,27
PETROL/LPG,175,100,172,165,109,115,149,103,137,58,90,68,111,123,130,92,88,80,71,94,98,107,80,58,128,99,117,130,116,121,181,156,200,177,161,146,4305
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,649,839,1302,1077,1421,1561,1848,1975,10702
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,50,69,144,121,135,117,123,120,936
Total,74144,69674,88884,82749,81980,81877,76706,76993,81535,59824,116070,81553,66074,80358,88341,66962,91311,78311,80621,79037,72846,81181,112377,104795,88867,89285,84699,98850,100378,92666,114401,86824,88842,113876,126965,99270,3159126
