"Maker and Month Wise Data for Andaman & Nicobar Island (2025)"

"Maker","2025-Jan","2025-Feb","2025-Mar","2025-Apr","2025-May","2025-Jun","2025-Jul","2025-Aug","2025-Sep","2025-Oct","2025-Nov","2025-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","1","0","0","0","0","1","0","0","0","0","2"
"AJAX ENGINEERING LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ASHOK LEYLAND LTD","6","2","13","7","10","0","13","1","1","2","1","4","60"
"BAJAJ AUTO LTD","63","46","57","48","69","48","70","64","70","120","92","138","885"
"CLASSIC LEGENDS PVT LTD","0","2","0","0","0","0","0","1","0","0","0","1","4"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","7","0","0","0","0","0","0","0","0","0","7"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","0","0","0","0","0","1","0","0","0","2"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","0","0","1","0","0","1","4","1","0","0","2","3","12"
"HERO MOTOCORP LTD","68","53","58","69","54","58","94","75","70","127","74","72","872"
"HONDA CARS INDIA LTD","2","1","1","4","5","4","2","1","3","3","3","2","31"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","151","134","133","155","160","141","161","145","139","205","179","204","1907"
"HYUNDAI MOTOR INDIA LTD","58","37","45","46","41","51","38","32","30","52","44","40","514"
"INDIA KAWASAKI MOTORS PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"INDIA YAMAHA MOTOR PVT LTD","18","22","34","24","30","30","23","30","23","28","32","35","329"
"JAGUAR LAND ROVER INDIA LIMITED","1","0","0","0","0","0","1","0","0","0","0","0","2"
"JBM ELECTRIC VEHICLES PVT LTD","0","2","0","0","0","0","0","0","0","0","0","0","2"
"JCB INDIA LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","1","0","0","0","0","0","0","0","0","0","1"
"JSW MG MOTOR INDIA PVT LTD","6","8","8","6","5","5","7","9","6","8","6","2","76"
"KIA INDIA PRIVATE LIMITED","1","3","4","12","30","16","37","20","20","22","31","15","211"
"KLB KOMAKI PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","40","30","24","18","18","30","20","33","19","32","20","36","320"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","1","0","0","1","0","0","0","2"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","0","0","0","1","3","2","2","2","2","0","1","13"
"MARUTI SUZUKI INDIA LTD","37","43","21","51","75","88","49","74","65","71","93","93","760"
"MERCEDES-BENZ INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1","0","0","2"
"MICROAUTOTECH PVT. LTD.","0","0","11","0","0","0","0","0","0","0","0","0","11"
"NISSAN MOTOR INDIA PVT LTD","7","0","5","4","1","1","1","0","2","3","3","3","30"
"PIAGGIO VEHICLES PVT LTD","0","0","1","0","0","1","0","0","0","0","0","0","2"
"RENAULT INDIA PVT LTD","1","1","0","0","2","0","0","0","0","1","2","0","7"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","15","24","15","9","24","24","21","28","20","24","16","15","235"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1","0","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","60","51","38","62","53","66","82","67","49","90","67","80","765"
"TATA ADVANCED SYSTEMS LTD","0","0","0","0","0","0","3","0","0","0","0","0","3"
"TATA MOTORS LTD","8","27","19","13","14","14","20","16","32","21","12","25","221"
"TATA MOTORS PASSENGER VEHICLES LTD","36","19","20","27","36","26","26","20","14","22","26","37","309"
"TATA PASSENGER ELECTRIC MOBILITY LTD","0","1","0","1","2","1","4","3","5","3","4","3","27"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","28","23","19","26","24","24","30","27","37","35","45","30","348"
"TVS MOTOR COMPANY LTD","112","106","133","127","134","139","178","147","127","165","146","159","1673"
"VE COMMERCIAL VEHICLES LTD","0","1","0","0","0","0","0","0","3","2","0","0","6"
