"Maker and Month Wise Data for Andhra Pradesh (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"A K S ENG AGRO INDUSTRIES","0","8","1","2","5","7","1","1","0","0","0","0","25"
"ACEX ENTERPRISE PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","12","18","46","28","12","45","29","43","19","32","19","23","326"
"AGRI KING","0","0","0","0","0","0","0","0","0","0","1","1","2"
"AJAX ENGINEERING LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AJAX FIORI ENGINEERING PVT LTD","17","16","20","11","15","16","39","44","38","31","30","32","309"
"ALPHA SERVICES","3","1","0","0","0","0","1","0","0","0","0","0","5"
"AMW MOTORS LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANNAPURNA INDUSTRIES","18","14","25","5","7","17","13","8","5","10","17","15","154"
"APOLLO CONSTRUCTION EQUIPMENTS PVT LTD","0","0","0","0","1","0","1","0","0","0","2","0","4"
"ASHOK LEYLAND LTD","776","1701","1625","901","633","798","654","633","756","697","817","789","10780"
"ATLAS COPCO INDIA LIMITED","0","0","0","0","0","0","0","1","0","1","0","0","2"
"ATUL AUTO LTD","17","34","35","60","37","21","18","15","7","6","8","7","265"
"AUDI AG","12","15","7","15","10","9","13","20","13","18","10","3","145"
"BAJAJ AUTO LTD","8144","8596","10177","10435","10397","11285","9772","9676","11685","12511","8831","6996","118505"
"BHARATH INDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BHARGAVI DIESEL AUTO PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BHARTI ENG. WORKS","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BMW INDIA PVT LTD","7","8","10","9","11","11","12","22","13","26","9","10","148"
"BULL MACHINES PVT LTD","1","2","0","2","1","2","1","1","1","1","0","4","16"
"CAPTAIN TRACTORS PVT. LTD.","3","8","28","10","10","9","13","11","18","12","12","26","160"
"CASE EQUIPMENT PRIVATE LTD","6","9","12","5","4","4","4","12","3","7","5","5","76"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","1","0","0","1","0","1","0","3"
"CATERPILLAR INDIA PRIVATE LIMITED","11","8","13","7","6","8","14","6","7","6","15","12","113"
"CLAAS INDIA P LTD","1","0","0","0","1","0","0","0","0","1","0","0","3"
"CLASSIC (INDIA) MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"CNH INDUSTRIAL (INDIA) PVT LTD","23","20","37","34","36","34","45","23","32","29","54","40","407"
"CORONA BUS MANUFACTURERS (P) LTD.","0","0","0","15","3","2","0","4","1","0","0","0","25"
"D S P ENGG WORKS BADVEL","2","3","9","4","1","1","1","0","9","14","5","12","61"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","80","87","135","119","44","136","123","89","104","104","128","45","1194"
"DASHMESH MECH WORKS PVT LTD","0","4","3","0","1","4","0","2","0","0","0","2","16"
"DEVI ENGINEERING WORKS","0","6","5","5","4","5","0","1","8","5","6","4","49"
"DSK MOTOWHEELS PVT LTD.","3","1","7","4","3","3","7","4","3","9","3","4","51"
"DUCATI MOTOR HOLDING S.P.A","0","1","0","0","1","0","0","1","0","0","0","0","3"
"DURGA ENGINEERING WORKS","3","15","13","7","8","14","2","5","5","3","3","12","90"
"EICHER MOTORS LTD","4","4","5","14","3","3","2","2","0","2","5","0","44"
"EICHER TRACTORS","138","213","258","165","108","201","194","132","170","137","159","184","2059"
"EIMCO ELECON INDIA LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","116","165","208","125","119","175","177","138","106","139","209","217","1894"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","0","1","0","1","1","0","2","0","0","6"
"ESCORTS LTD","0","0","0","1","0","0","0","0","1","0","1","0","3"
"ESCORTS TRACTORS LTD","1","0","2","0","0","0","1","1","0","0","0","1","6"
