"Maker and Month Wise Data for Arunachal Pradesh (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"A B EXCAVATORS & EARTHMOVER LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","1","0","1","0","0","2","0","0","1","0","0","1","6"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","2","0","0","2","0","0","0","1","0","1","6"
"AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AJAX FIORI ENGINEERING PVT LTD","0","1","0","0","1","0","0","0","2","0","1","0","5"
"AMMANN INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","103","229","632","170","56","36","36","29","25","33","27","43","1419"
"AUDI AG","0","0","0","0","0","0","1","0","0","0","0","1","2"
"BAJAJ AUTO LTD","102","81","151","147","125","133","155","158","132","111","133","138","1566"
"BALVI KRUPA INDUSTRIES","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BHARAT MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","0","2","0","0","1","0","0","1","0","0","1","0","5"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","1","1","1","0","0","0","0","0","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","1","2","2","2","1","1","1","1","1","3","2","17"
"CATERPILLAR INDIA PRIVATE LIMITED","0","2","3","0","0","0","1","0","3","0","1","0","10"
"CHEVROLET SALES INDIA PVT LTD","1","0","1","0","0","0","0","1","0","0","0","0","3"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"CNH INDUSTRIAL (INDIA) PVT LTD","3","2","2","0","0","2","0","0","0","0","1","0","10"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","5","8","0","1","0","1","1","1","0","1","0","18"
"DUCATI INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"EICHER MOTORS LTD","0","6","8","4","4","4","6","1","3","2","5","9","52"
"EICHER TRACTORS","0","0","1","0","0","1","0","0","0","0","0","0","2"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","2","2","0","0","1","1","1","0","7"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","0","0","0","0","0","0","0","1","0","2"
"ESCORTS LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ESCORTS R&D CENTRE","0","1","0","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","5","9","14","1","1","1","3","4","2","1","1","1","43"
"FORD INDIA PVT LTD","3","11","6","0","4","6","7","5","9","4","7","2","64"
"GENERAL MOTORS INDIA PVT LTD","16","7","6","4","8","9","6","3","1","1","0","1","62"
"GMT AUTO ENGINEERING COMPANY","1","0","1","0","0","0","0","0","0","0","0","0","2"
"GREEN VALLEY MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"GROVE INDIA PVT LTD","0","2","0","0","0","0","0","0","0","0","0","1","3"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HERO HONDA MOTORS  LTD","1","2","1","3","5","4","4","2","1","0","1","1","25"
"HERO MOTOCORP LTD","105","84","121","150","155","153","180","134","117","153","176","126","1654"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","0","0","1","0","0","0","0","0","1","0","2"
"HIRA COMBINES PRIVATE LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"HONDA CARS INDIA LTD","1","3","5","5","13","9","24","10","7","12","4","6","99"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","102","71","94","167","133","150","165","209","154","91","123","119","1578"
"HYUNDAI MOTOR INDIA LTD","67","76","94","79","101","108","90","97","86","87","131","63","1079"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"INDIA YAMAHA MOTOR PVT LTD","153","128","222","206","271","294","282","322","208","171","201","255","2713"
"INDO FARM EQUIPMENT LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ISUZU MOTORS INDIA PVT LTD","0","1","3","0","1","1","1","1","1","1","2","2","14"
"J K AGRO INDUSTRIES","0","0","0","0","1","0","0","0","0","0","0","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","1","0","0","1","0","0","0","1","3"
"JCB INDIA LIMITED","2","4","8","0","9","0","5","5","2","2","3","4","44"
"JCB INDIA LTD","5","6","8","7","4","5","3","5","2","3","7","2","57"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","0","0","0","1","0","0","0","0","0","0","1"
"KAWASAKI HEAVY INDUSTRIES LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"KOMATSU INDIA PRIVATE LIMITED","1","0","0","0","0","0","1","0","0","0","0","0","2"
"KRUP P","0","0","0","1","0","0","0","0","0","0","0","0","1"
"KTM MOTORRAD AG","1","0","0","0","1","1","0","0","1","2","3","0","9"
"L & T CASE EQUIPMENT PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"LEEBOY INDIA","0","0","2","0","1","0","0","0","0","0","0","0","3"
"LIUGONG INDIA PVT. LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"LML LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","123","133","171","176","182","178","158","152","147","101","158","171","1850"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","0","2","0","0","0","0","1","3"
"MAHINDRA TWO WHEELERS LTD","3","1","0","2","1","0","0","0","1","0","1","0","9"
"MANITOU EQUIPMENT INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MARUTI SUZUKI INDIA LTD","139","117","177","150","193","207","183","177","159","142","181","190","2015"
"MARUTI UDYOG LTD","0","2","1","0","1","0","0","1","4","1","1","0","11"
"MERCEDES-BENZ INDIA PVT LTD","0","0","0","1","0","0","1","0","1","0","0","0","3"
"MORRIS MOTORS LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"NEW HOLLAND FIAT INDIA PVT. LTD.","0","1","0","0","0","0","0","0","0","0","1","0","2"
"NISSAN MOTOR INDIA PVT LTD","21","12","17","22","22","14","13","26","6","22","42","29","246"
"OTHERS","267","215","526","339","391","254","300","395","282","380","315","246","3910"
"PIAGGIO VEHICLES PVT LTD","10","11","17","10","5","12","13","15","13","3","9","16","134"
"RENAULT INDIA PVT LTD","17","8","11","9","17","13","13","17","8","27","33","28","201"
"ROLLS ROYCE","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","37","28","61","65","88","58","74","61","54","24","54","69","673"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","0","2","6","15","2","0","2","0","2","0","0","4","33"
"SCOOTERS INDIA LTD","0","0","0","0","0","0","0","0","0","1","1","0","2"
"SDLG","0","0","0","0","0","0","0","1","0","0","0","0","1"
"SKODA AUTO INDIA PVT LTD","0","1","1","0","0","0","0","1","0","0","0","0","3"
"SML MAHINDRA LTD","0","7","9","0","0","0","0","0","0","1","0","0","17"
"STANDARD AGRICULTURE WORKS(R)","0","0","0","0","0","1","0","0","0","0","0","0","1"
"STELLANTIS INDIA PVT LTD","0","0","0","0","1","0","0","0","1","1","1","0","4"
"SUNKU AUTO LTD","0","0","0","0","0","1","0","1","0","0","0","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","4","4","6","6","4","2","1","4","1","2","3","10","47"
"TADANO LIMITED","1","0","0","0","0","0","0","0","0","0","0","0","1"
"TAFE LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"TATA MOTORS LTD","80","94","366","129","111","110","108","133","125","135","139","123","1653"
"TEREX EQUIPMENT PVT LTD","0","1","0","0","0","0","1","0","0","0","0","0","2"
"TIL LIMITED","0","0","0","0","0","0","1","0","0","1","0","0","2"
"TIL LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","15","16","12","21","22","15","11","12","9","9","15","28","185"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","111","82","116","168","77","94","122","70","67","115","153","134","1309"
"U.P. TELELINKS LIMITED","1","0","0","0","0","0","0","0","0","0","0","0","1"
"UM LOHIA TWO WHEELERS PVT LTD","0","0","0","0","0","0","0","0","0","1","0","2","3"
"UNITED AUTO TRACTORS LTD      ","0","0","0","0","0","1","0","0","0","0","0","0","1"
"VE COMMERCIAL VEHICLES LTD","0","4","26","2","0","0","1","1","0","0","1","1","36"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","1","0","5","1","0","0","0","3","1","0","11"
"VOLKSWAGEN INDIA PVT LTD","0","1","1","0","1","0","0","0","0","0","0","0","3"
"VOLTAS LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"VOLVO AUTO INDIA PVT LTD","2","3","7","1","0","0","1","0","1","0","0","1","16"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","2","2","0","0","0","0","0","0","0","0","4"
"VOLVO GROUP INDIA PVT LTD","1","18","12","3","6","3","1","0","2","1","0","3","50"
"ZOOMLION INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
