"Maker and Month Wise Data for Assam (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","0","0","9","2","2","13"
"AAHANA COMMERCE PVT LTD","29","44","44","34","46","32","45","48","28","43","65","27","485"
"ACTION CONSTRUCTION EQUIPMENT LTD.","7","6","15","8","20","15","6","8","11","9","6","4","115"
"ADIDEV TECHNOA PVT LTD","29","28","17","23","37","45","55","49","65","74","32","57","511"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","1","1","0","0","0","0","1","0","1","4"
"ADITYA AGRO INDUSTRIES","2","4","0","4","4","9","1","1","9","4","1","3","42"
"AGRO INDUSTRIES","2","0","0","0","3","0","0","0","0","0","0","0","5"
"AJAX ENGINEERING LTD","4","3","5","1","7","1","3","1","0","2","4","2","33"
"ALL TERRAIN CRANE","0","0","0","1","1","0","0","0","0","0","0","0","2"
"ALLFINE INDUSTRIES PVT LTD","9","15","16","33","43","44","36","17","21","11","14","9","268"
"ALTIER ELECTRIC VEHICLES PVT LTD","17","16","39","8","15","15","6","4","2","2","0","2","126"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","6","5","2","4","1","2","3","1","3","0","27"
"AMPERE VEHICLES PRIVATE LIMITED","2","3","8","15","46","1","0","0","0","0","2","0","77"
"ANVITA AUTO TECH WORKS PVT LTD","0","4","1","0","4","0","0","0","1","0","0","0","10"
"APSARA ENTERPRISE","29","34","33","31","25","36","51","50","84","69","22","28","492"
"APTEC EQUIPMENT PRIVATE LIMITED","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ARD EXIM","0","0","0","0","0","0","0","0","4","0","0","2","6"
"ARIN TRACTORS PVT LTD","0","0","0","2","0","0","0","0","0","0","0","0","2"
"ARROW AUTOMOTIVE","161","175","250","190","286","233","268","242","319","296","219","118","2757"
"ASHMA-MOTORS PVT LTD","0","0","0","0","0","0","0","29","46","67","51","59","252"
"ASHOK LEYLAND LTD","174","205","276","200","216","196","176","151","154","146","202","140","2236"
"ATHER ENERGY LTD","26","53","36","29","44","25","14","24","17","23","13","10","314"
"AUDI AG","4","2","2","2","4","1","1","1","0","1","0","0","18"
"AUTOHAUS PRIVATE LIMITED","9","26","17","2","7","4","1","2","1","1","0","2","72"
"AVL ELECTRIC VEHICLES PVT LTD","82","58","81","43","58","33","33","47","42","30","18","24","549"
"Ahmed Motors","2","29","5","5","0","2","1","7","7","0","5","10","73"
"Assam Fabrication Works","4","3","9","3","2","1","4","1","6","0","4","8","45"
"BAJAJ AUTO LTD","8767","8129","10079","10542","10980","9757","9599","8928","8662","16395","11664","7984","121486"
"BANDHAN ELECTRIC VEHICLES LLP","0","0","1","0","0","0","0","1","9","20","6","1","38"
"BAXY LTD","0","0","0","0","0","0","0","0","1","10","5","4","20"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","5","3","3","2","1","0","0","0","0","0","0","0","14"
"BENTINCK INDUSTRIES PVT. LTD.","22","20","15","14","15","19","13","12","31","18","21","10","210"
"BEST WAY AGENCIES PVT LTD","143","148","186","172","229","188","212","222","271","223","131","110","2235"
"BESTWAY AGENCIES PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","1","0","0","1","0","0","0","2"
"BIG BULL TRADER PVT LTD","16","15","25","11","16","23","11","23","16","21","35","12","224"
"BMW INDIA PVT LTD","2","4","2","1","8","1","3","7","1","2","2","4","37"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","5","1","5","2","26","0","1","36","76"
"BULL MACHINES PVT LTD","1","2","0","1","1","1","1","1","0","4","3","1","16"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","5","12","17","5","7","3","5","0","4","5","4","7","74"
"CATERPILLAR INDIA PRIVATE LIMITED","7","3","2","3","6","6","2","0","0","0","5","2","36"
"CHAMPION POLY PLAST","54","81","75","64","116","76","76","77","69","100","64","58","910"
"CHAUHAN AUTO INDUSTRIES","1","4","0","0","3","0","0","1","1","1","0","0","11"
"CHEHAK BATTERIES","1","0","2","0","0","0","0","0","0","0","1","0","4"
"CHETAK TECHNOLOGY LIMITED","0","0","0","0","0","0","2","0","0","0","0","0","2"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","11","7","13","7","9","5","1","5","17","6","1","0","82"
"CLASSIC LEGENDS PVT LTD","205","139","219","143","149","181","105","161","137","164","175","174","1952"
"CNH INDUSTRIAL (INDIA) PVT LTD","8","4","21","15","13","12","10","17","11","9","12","17","149"
"CONTINENTAL ENGINES PVT LTD","13","19","9","15","12","19","20","16","10","6","5","4","148"
"DAIMLER AG","0","0","2","0","0","0","0","0","0","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","22","20","33","11","13","22","22","7","7","7","10","14","188"
"DAKSH INDUSTRY PVT LTD","39","28","15","23","11","13","21","11","7","13","2","3","186"
"DASMESH AGRICULTURAL INDUSTRIES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DAVE EXIM PVT LTD","0","0","0","1","1","0","0","0","0","0","0","0","2"
"DE EUSI MOTORS PVT LTD.","24","40","47","40","73","82","54","63","74","53","44","37","631"
"DELTA AUTOCORP LTD","17","20","26","17","31","26","21","17","16","6","3","6","206"
"DHAR IN PVT LTD","0","6","3","0","0","1","0","0","5","1","4","6","26"
"DHAR INTERNATIONAL","2","4","3","3","6","3","2","2","2","4","2","1","34"
"DILLI ELECTRIC AUTO PVT LTD","40","51","52","43","60","95","75","73","74","58","25","38","684"
"DIVANSU AUTOMOBILES LTD","1","0","0","0","0","0","2","0","0","0","0","0","3"
"DUCATI INDIA PVT LTD","0","0","0","1","1","0","0","1","0","0","0","0","3"
"DUKE AUTO INDIA","0","1","1","0","4","0","0","2","2","0","0","0","10"
"DYS IMPEX PRIVATE LIMITED","0","0","0","0","1","0","0","0","2","3","2","0","8"
"E-ASHWA AUTOMOTIVE PVT LTD","2","1","0","1","1","0","3","0","0","0","0","0","8"
"EICHER TRACTORS","9","11","6","3","11","16","7","10","4","8","13","10","108"
"ELEPHANTA INDUSTRIES PVT LTD","1","1","2","0","2","0","0","0","0","0","5","0","11"
"ENERGY ELECTRIC VEHICLES","8","10","20","23","25","12","20","17","15","11","9","9","179"
"ENGINIA VEHICLES PVT LTD","0","0","0","3","3","13","18","28","32","33","33","16","179"
"ENTICE IMPEX PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ERISHA E MOBILITY PVT LTD","0","0","0","0","0","0","0","0","0","1","0","1","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","107","137","150","114","145","141","133","80","77","107","172","139","1502"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","17","17","23","8","16","11","11","7","2","7","4","11","134"
"EXIDE INDUSTRIES LTD","30","29","52","34","44","46","49","46","40","48","50","45","513"
"FEDE INDUSTRIES PVT LTD","44","63","64","63","82","62","72","61","49","88","46","42","736"
"FIRST CHOICE ELECTRIC VEHICLES PVT LTD","8","13","11","5","9","2","5","4","11","2","0","8","78"
"FORCE MOTORS LIMITED","11","13","23","14","25","16","13","39","56","48","27","31","316"
"FORD INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FRED INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"G & G AUTOMOTIVE","0","0","0","0","0","0","0","0","0","0","5","1","6"
"G.K. RICKSHAW LTD","211","357","387","277","429","417","383","396","465","451","291","247","4311"
"GALAXY GREEN VEHICLES PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"GAYATRI ELECTRIC VEHICLES PVT LTD","4","1","0","0","0","0","0","0","0","0","0","0","5"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","2","4","1","1","0","1","1","0","0","0","0","0","10"
"GODREJ & BOYCE MFG. CO. LTD","0","0","2","0","0","0","0","0","0","0","0","0","2"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","12","23","13","7","18","10","15","8","7","7","0","6","126"
"GRD MOTORS","11","1","3","1","4","5","3","1","3","3","0","0","35"
"GREAVES ELECTRIC MOBILITY LTD","0","0","10","8","26","20","21","15","62","55","25","18","260"
"GREEN TECHNOLOGIES","0","1","1","5","9","10","8","6","16","11","4","4","75"
"GREEN VALLEY MOTORS","0","0","1","1","0","0","0","0","0","0","0","0","2"
"GREEN WAY ECO RIDE","0","0","1","0","0","2","0","0","0","0","0","0","3"
"GROMAX AGRI EQUIPMENT LTD","14","20","16","14","9","6","11","6","1","5","6","7","115"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","0","0","0","0","0","0","0","0","0","1","2"
"HERO ELECTRIC VEHICLES PVT. LTD","43","38","58","13","18","7","1","4","4","3","1","1","191"
"HERO MOTOCORP LTD","15254","11875","12882","6393","5486","4314","4349","3889","4532","7222","5597","11835","93628"
"HINDUSTAN MOTOR CORPORATION","0","0","0","1","0","1","0","0","0","0","0","0","2"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"HONDA CARS INDIA LTD","61","54","51","34","40","38","36","22","46","66","85","79","612"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","5660","5216","5768","4418","5299","4446","5103","5964","6501","8253","8033","6172","70833"
"HOOGHLY MOTORS PVT LTD","35","41","48","26","42","32","28","38","19","25","14","15","363"
"HOP MOTORS PVT LTD","0","4","3","4","4","1","1","0","4","67","8","0","96"
"HOTAGE INDIA","18","18","52","53","67","54","51","55","75","51","46","40","580"
"HYUNDAI MOTOR INDIA LTD","905","805","965","920","925","738","907","1035","1032","1206","1082","865","11385"
"INDIA KAWASAKI MOTORS PVT LTD","4","4","8","2","6","7","4","4","4","2","1","0","46"
"INDIA SAFE ENTERPRISE","0","0","0","11","3","10","20","27","32","48","38","34","223"
"INDIA YAMAHA MOTOR PVT LTD","2802","2489","2784","2628","2866","2975","3150","2781","2872","3935","3590","2728","35600"
"INDICON AGRO INDUSTRIES LLP","0","0","1","0","0","0","0","0","0","0","0","0","1"
"INDO FARM EQUIPMENT LIMITED","0","1","0","0","2","2","3","2","0","1","0","0","11"
"INTERNATIONAL TRACTORS LIMITED","192","195","241","200","241","281","217","118","159","210","261","251","2566"
"ISUZU MOTORS INDIA PVT LTD","2","3","10","7","3","1","3","1","3","1","4","3","41"
"J. S. AUTO (P) LTD","3","2","0","0","2","3","2","21","11","18","10","12","84"
"JAGUAR LAND ROVER INDIA LIMITED","0","2","1","0","0","0","0","0","0","1","4","2","10"
"JAIDKA POWER SYSTEMS PVT LTD","2","4","2","0","2","0","1","0","1","1","0","0","13"
"JAISIK BUSINESS LINKS PVT LTD","0","0","2","0","8","6","5","2","7","4","4","2","40"
"JAJODIA COMMODITIES PVT LTD","31","23","40","29","33","45","75","51","53","52","39","30","501"
"JCB INDIA LIMITED","81","92","90","67","58","56","24","39","77","131","104","104","923"
"JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL)","0","0","0","0","0","0","0","1","0","0","0","1","2"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","10","9","7","10","10","13","5","4","2","11","10","6","97"
"JOYRAM STEEL FABRICATION WORKS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"JS MOBILEON PVT LTD","34","13","30","15","23","18","14","42","24","23","6","7","249"
"JSW MG MOTOR INDIA PVT LTD","38","30","41","44","40","36","34","33","32","31","27","22","408"
"KAPTECH INDIA","3","19","11","5","12","18","8","10","13","2","2","2","105"
"KHALSAE-VEHICLES PVT LTD","52","38","96","81","113","80","113","95","112","66","62","42","950"
"KIA INDIA PRIVATE LIMITED","217","205","285","216","196","198","166","219","257","221","202","150","2532"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","0","5","2","1","0","1","3","1","3","11","4","31"
"KION INDIA PVT LTD","0","0","0","0","1","0","0","1","0","0","0","0","2"
"KIRTI SOLAR LTD","0","0","0","0","1","3","0","0","0","0","0","0","4"
"KLB KOMAKI PVT LTD","1","3","5","2","9","4","5","3","3","2","1","4","42"
"KPT MOTORS","0","0","0","0","0","0","0","0","0","0","0","1","1"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","0","0","0","1","0","0","0","0","0","0","0","0","1"
"KUMAR ENGINEERING","110","128","243","171","283","216","192","231","225","206","186","285","2476"
"KUMARAN ENGINEERING ENTERPRISES","0","1","0","2","0","0","0","0","0","0","0","0","3"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","1","0","0","1","0","1","0","1","1","0","1","6"
"LECTRIX E VEHICLES PVT LTD","26","26","47","21","37","32","53","58","61","41","28","28","458"
"LIUGONG INDIA PVT. LTD","0","1","2","0","3","0","0","0","0","0","0","0","6"
"LOCAL TRAILER MANUFACTURER","0","0","0","0","0","0","0","1","0","0","0","2","3"
"M.K. ENTERPRISES","0","0","0","0","0","0","1","0","0","0","0","0","1"
"M/S Das Engineering Workshop","0","0","0","1","1","0","0","0","0","1","0","0","3"
"M/S MAA MANGALA INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"M/S Maa Motors Works","0","0","0","2","1","4","0","2","1","0","1","1","12"
"M/S Maa Motors Workshop","0","0","2","4","0","2","1","0","0","2","3","5","19"
"M/S Nandi Engineering Works","0","0","0","0","0","0","0","3","0","0","0","4","7"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","4","9","6","1","3","2","2","3","4","2","2","3","41"
