"Maker and Month Wise Data for Bihar (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"A K GUPTA & CO.","0","0","0","0","0","0","0","8","5","5","4","7","29"
"A P I MOTORS PVT LTD","4","3","0","0","8","3","2","2","3","3","2","4","34"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","0","0","3","3","2","8"
"AAHANA COMMERCE PVT LTD","2","0","0","0","0","2","0","7","12","6","2","2","33"
"ACTION CONSTRUCTION EQUIPMENT LTD.","19","12","14","15","15","14","7","9","21","20","40","9","195"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","2","1","4","3","1","0","3","0","5","1","2","3","25"
"ADIDEV TECHNOA PVT LTD","0","0","1","0","0","0","0","1","0","0","3","3","8"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","1","0","1","0","0","0","0","1","1","0","5"
"ADITYA AGRO INDUSTRIES","0","0","0","0","0","0","2","1","0","0","0","0","3"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","1","2"
"AFZAL ENGG WORKS,JUNAGARH","7","11","5","3","1","0","0","1","0","0","1","0","29"
"AGRO INDUSTRIES","3","3","0","1","0","1","2","1","10","3","9","5","38"
"AJAX ENGINEERING LTD","3","1","10","9","6","5","3","2","5","1","0","3","48"
"AKASH TRAILOR","0","0","5","0","1","5","1","2","1","0","0","1","16"
"ALBEDO VISION PVT LTD","0","0","2","3","1","1","2","1","0","0","0","2","12"
"ALLFINE INDUSTRIES PVT LTD","64","51","110","46","90","103","111","127","175","182","192","198","1449"
"ALTIER ELECTRIC VEHICLES PVT LTD","17","23","32","28","16","23","42","36","54","44","31","55","401"
"AMBIKA ENTERPRISES","8","2","6","3","2","5","13","4","12","14","13","5","87"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","1","3","0","16","1","10","6","14","20","71"
"AMPERE VEHICLES PRIVATE LIMITED","42","76","175","149","170","107","96","161","167","286","357","115","1901"
"ANJALI TRADERS","3","5","1","5","3","10","0","2","2","3","0","7","41"
"ANKUSH AUTO DEALS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"APSARA ENTERPRISE","3","6","5","0","3","9","4","8","8","5","7","8","66"
"ARD EXIM","0","1","0","0","0","0","0","1","0","0","0","0","2"
"ARROW AUTOMOTIVE","32","25","37","24","33","54","48","67","74","66","56","124","640"
"ASHOK LEYLAND LTD","100","75","147","149","127","119","107","132","98","129","151","144","1478"
"ATHER ENERGY LTD","0","0","0","0","0","1","1","2","1","2","0","23","30"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","5","4","3","5","12","7","1","1","38"
"ATUL AUTO LTD","223","161","235","279","206","229","224","257","314","167","219","190","2704"
"ATUT SANGAM","1","0","6","0","1","3","0","1","7","18","8","22","67"
"AUDI AG","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AUTOHAUS PRIVATE LIMITED","3","4","1","3","5","0","4","2","3","2","0","2","29"
"AVL ELECTRIC VEHICLES PVT LTD","2","4","1","9","0","13","13","22","48","40","57","47","256"
"AVON CYCLES LTD","18","10","11","23","13","18","19","25","30","19","12","15","213"
"BABA E-VEHICLES","0","0","1","0","8","0","0","0","0","1","1","0","11"
"BAJAJ AUTO LTD","6613","7196","10443","8897","12752","8686","7787","8143","8531","10865","13814","8383","112110"
"BAL GOPAL WHEELS PVT LTD","0","0","0","1","0","0","0","3","0","0","0","0","4"
"BALI AUTO INDUSTRIES","0","0","0","0","0","0","0","0","0","0","1","1","2"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","0","0","0","0","0","0","0","0","4","4","8"
"BEML LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","1","0","7","0","3","19","29","18","36","40","23","25","201"
"BENTINCK INDUSTRIES PVT. LTD.","0","0","0","0","0","0","0","0","13","2","1","11","27"
"BEST WAY AGENCIES PVT LTD","106","53","104","80","51","48","60","36","74","58","79","85","834"
"BHAGYALAXMI TRAILER","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","1","5","5","5","3","4","2","25"
"BHM AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BIG BULL TRADER PVT LTD","0","5","3","3","2","2","2","3","3","3","5","12","43"
"BLIX CYCLES AND E-VEHICLES PVT LTD","0","0","0","0","1","1","0","0","0","0","0","0","2"
"BMW INDIA PVT LTD","5","8","4","4","5","6","4","10","4","2","9","5","66"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","0","0","0","0","0","15","19","7","41"
