"Maker and Month Wise Data for Chhattisgarh (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","11","9","42","12","5","26","34","13","30","30","12","18","242"
"ADISHAKTI TRACTORS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","9","12","7","2","2","4","6","3","9","13","15","1","83"
"AFTEK MOTORS INDIA PVT LTD","0","1","1","0","0","0","1","0","0","0","0","0","3"
"AGRASEN ENGINEERING WORKS","0","5","1","0","0","0","0","0","0","0","0","0","6"
"AGRO INDUSTRIES","0","0","0","1","0","0","2","0","0","0","0","0","3"
"AJAX ENGINEERING LTD","7","7","18","2","12","17","8","1","10","7","8","8","105"
"AKASH AGRO INDUSTRIES","0","8","0","0","0","0","0","1","0","0","0","0","9"
"AKASH TRAILOR","0","2","0","0","0","0","0","0","0","0","0","0","2"
"ALL TERRAIN CRANE","0","0","0","0","0","0","0","0","0","1","2","0","3"
"ALLFINE INDUSTRIES PVT LTD","2","6","5","0","0","0","3","0","0","6","4","6","32"
"AMAN AGRO INDUSTRIES","0","0","2","0","0","0","0","0","0","0","0","4","6"
"AMMANN INDIA PVT LTD","0","0","0","0","0","1","1","0","0","0","0","0","2"
"AMPERE VEHICLES PRIVATE LIMITED","7","12","3","0","0","16","10","13","17","30","48","52","208"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","3","1","0","1","5"
"ARMAN GREEN VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","1","0","2"
"ASHOK LEYLAND LTD","201","244","284","102","96","144","164","170","219","191","220","236","2271"
"ATHER ENERGY LTD","0","0","0","0","0","0","0","0","0","8","30","26","64"
"ATTOLENT AUTO GROUP PVT LTD","1","0","0","0","0","1","1","0","0","0","0","0","3"
"ATUL AUTO LTD","36","36","34","3","5","24","40","24","30","21","20","20","293"
"AUDI AG","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BAGAVATHI FABRICATORS","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BAJAJ AUTO LTD","4184","4542","4596","1384","559","3788","4537","3864","4091","4625","8359","4162","48691"
"BAL GOPAL WHEELS PVT LTD","0","0","0","1","0","0","0","2","0","1","0","5","9"
"BEML LIMITED","1","1","0","0","0","0","0","0","0","0","0","0","2"
"BEST WAY AGENCIES PVT LTD","4","0","3","1","0","0","5","1","11","7","11","3","46"
"BHAGBATI INDUSTRIES","0","0","0","0","0","0","0","8","0","0","0","0","8"
"BHAGWAN AGRO INDUSTRIES","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BMW INDIA PVT LTD","14","28","19","4","4","18","12","15","22","10","22","8","176"
"BULL MACHINES PVT LTD","2","1","2","0","0","0","1","0","0","1","2","1","10"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","5","10","12","4","1","12","6","5","25","4","3","1","88"
"CATERPILLAR INDIA PRIVATE LIMITED","18","14","27","0","2","5","10","6","24","21","11","15","153"
"CHAMPION POLY PLAST","6","6","0","2","0","1","6","5","9","12","10","12","69"
"CHAUHAN AUTO INDUSTRIES","0","0","0","0","0","0","0","0","9","0","1","19","29"
"CITADEL ENTERPRISES(OPC) PVT LTD","5","2","1","0","0","1","4","0","2","0","1","0","16"
"CIVIMEC ENGINEERING PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"CLAAS INDIA P LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","33","40","42","13","11","25","36","41","34","45","64","24","408"
"CNH INDUSTRIAL (INDIA) PVT LTD","46","76","50","19","0","30","74","12","33","68","59","64","531"
"CONTINENTAL ENGINES PVT LTD","24","19","24","9","0","18","15","9","10","13","17","12","170"
"DAIMLER AG","0","0","0","0","0","0","1","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","8","42","31","11","4","38","10","20","33","46","56","26","325"
"DALIP SINGH & SONS","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DASMESH MECHANICAL WORKS PVT.LTD","20","6","41","0","2","0","0","3","6","13","9","0","100"
"DELTA AUTOCORP LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","0","0","0","2","4","6"
"DOOSAN BOBCAT INDIA PVT LTD","2","0","4","1","0","0","0","0","5","6","2","4","24"
"DUCATI INDIA PVT LTD","0","0","0","0","0","0","0","0","0","2","0","0","2"
"EICHER TRACTORS","158","172","279","39","9","166","355","171","134","233","259","158","2133"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","2","0","0","0","0","0","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","152","150","301","36","20","192","280","164","176","304","271","107","2153"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","24","15","15","8","6","23","13","17","15","22","18","20","196"
"EXIDE INDUSTRIES LTD","0","3","0","0","0","0","0","0","0","0","0","0","3"
"FINE EQUIPMENTS INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"FORCE MOTORS LIMITED","17","41","38","6","2","11","20","18","16","36","18","23","246"
"FORD INDIA PVT LTD","34","76","70","34","40","57","77","44","28","14","8","1","483"
"FRED INDIA PVT LTD","2","0","0","0","0","0","0","0","1","0","0","0","3"
"GILL AGRICULTURE WORKS","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GILLPREETAGRO INDUSTRIES","0","0","0","2","0","0","0","0","0","0","0","0","2"
"GOBIND AGRO INDUSTRIES","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","9","12","4","0","9","11","4","24","13","26","8","120"
"GROMAX AGRI EQUIPMENT LTD","14","22","15","5","1","35","26","17","7","24","23","16","205"
"GROVE INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GURDEEP ENGINEERING WORKS","0","1","0","0","1","0","2","0","0","1","0","0","5"
"GURMUKH AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"GURU NANAK AGRI ENGG WORKS","15","4","17","2","1","2","8","8","18","36","11","13","135"
"GURU NANAK AGRI WORKS","2","0","1","0","0","0","1","0","0","1","0","0","5"
"HARJEET AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","0","0","0","1","0","1","2"
"HERO ELECTRIC VEHICLES PVT. LTD","46","87","168","4","6","84","156","201","103","116","183","176","1330"
"HERO MOTOCORP LTD","12601","13948","14770","4615","2285","13757","12014","10569","8554","12279","24700","8475","138567"
"HIDROMEK CONSTRUCTION EQUIPMENT (THAILAND) LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HIND AGRO INDUSTRIES","1","0","0","0","0","0","1","1","0","0","0","0","3"
"HIRA AGRO INDUSTRIES","0","0","0","0","0","0","0","0","1","0","0","0","1"
"HITENDRA WELDING WORKS","0","0","0","2","0","0","0","1","0","0","0","0","3"
"HONDA CARS INDIA LTD","119","113","92","31","27","98","103","85","100","155","139","80","1142"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","9286","9949","10145","2756","1757","9339","8686","8308","7656","11049","20994","7410","107335"
"HOOGHLY MOTORS PVT LTD","0","0","0","0","0","0","4","9","11","13","13","12","62"
"HOVEL CYLINDER PVT LTD","1","0","2","0","0","2","0","0","0","0","0","0","5"
"HYUNDAI MOTOR INDIA LTD","786","901","802","183","264","874","855","787","573","867","692","561","8145"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","2","0","0","2","3","1","0","2","2","3","16"
"INDIA YAMAHA MOTOR PVT LTD","325","326","322","86","34","312","362","311","328","339","510","260","3515"
"INDO FARM EQUIPMENT LIMITED","2","0","1","3","0","1","5","1","1","3","1","1","19"
"INTERNATIONAL TRACTORS LIMITED","389","322","310","67","44","274","583","361","220","455","467","306","3798"
"ISUZU MOTORS INDIA PVT LTD","3","1","13","0","0","2","4","3","3","0","9","3","41"
"International Cars & Motors Limited","0","0","0","0","0","0","0","0","0","1","1","0","2"
"JAGUAR LAND ROVER INDIA LIMITED","4","2","0","2","0","3","4","5","4","7","3","3","37"
"JAIN POWER CORP","0","0","0","1","0","0","0","0","0","0","0","2","3"
"JAYDEV ENTERPRISE","0","0","0","0","0","8","3","1","0","0","0","0","12"
"JCB INDIA LIMITED","163","173","94","29","6","33","17","35","39","51","59","51","750"
"JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD)","0","0","0","0","0","0","0","0","3","0","3","2","8"
"JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD","0","1","0","0","0","2","0","0","0","1","0","0","4"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","357","374","450","70","97","258","314","462","340","509","353","224","3808"
"JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV)","0","1","1","0","0","0","0","0","0","0","0","0","2"
"JSW MG MOTOR INDIA PVT LTD","28","55","65","15","21","65","49","50","42","53","36","34","513"
"K.S. AGRICULTURAL INDUSTRIES PVT. LTD","0","5","0","0","0","0","0","0","0","5","1","1","12"
"K.S. AGROTECH  PVT LTD","3","11","19","7","0","13","3","1","7","23","9","6","102"
"KAPTECH INDIA","0","0","0","0","0","0","0","0","0","0","4","0","4"
"KARTAR AGRO INDUSTRIES PVT LTD","15","7","8","3","3","2","2","2","0","6","13","10","71"
"KHALSAE-VEHICLES PVT LTD","0","0","6","7","0","5","9","8","6","4","2","3","50"
"KIA INDIA PRIVATE LIMITED","180","161","190","65","77","213","191","200","163","242","196","178","2056"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","17","30","29","7","0","16","21","33","34","31","24","72","314"
"KISAN ENGINEERING","0","0","1","0","0","0","0","0","0","0","0","0","1"
"KOMATSU LTD JAPAN","0","1","0","0","0","0","0","0","0","0","0","0","1"
"KRISHI ENGINEERING WORKS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"KRISHNA INDUSTRIES","0","0","0","0","0","0","0","0","2","0","0","0","2"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","40","37","41","8","8","63","38","14","26","34","35","30","374"
