"Maker and Month Wise Data for Chandigarh (2018)"

"Maker","2018-Jan","2018-Feb","2018-Mar","2018-Apr","2018-May","2018-Jun","2018-Jul","2018-Aug","2018-Sep","2018-Oct","2018-Nov","2018-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","1","0","0","0","3","0","0","2","0","6"
"ALLFINE INDUSTRIES PVT LTD","0","0","0","0","0","0","0","0","1","1","0","0","2"
"AMAN ELECTRIC VEHICLES","0","0","0","0","0","1","0","0","1","1","0","0","3"
"ARNA ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","1","0","1","0","0","0","2"
"ASHOK LEYLAND LTD","4","2","7","4","9","3","1","9","4","6","1","1","51"
"ATUL AUTO LTD","1","0","1","1","1","1","1","0","1","0","0","0","7"
"AUDI AG","43","19","23","17","17","24","16","18","14","17","14","12","234"
"AUTOHAUS PRIVATE LIMITED","0","0","0","0","0","0","0","0","1","2","1","2","6"
"BAJAJ AUTO LTD","157","146","128","159","150","135","149","152","156","145","238","192","1907"
"BENTLEY MOTORS LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","28","19","13","28","12","12","13","17","92","37","28","17","316"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","1","0","0","0","0","1","0","0","0","2"
"CEEON INDIA","1","0","0","0","1","0","0","0","0","0","0","0","2"
"CONTINENTAL ENGINES PVT LTD","2","0","0","0","0","0","0","0","0","1","0","0","3"
"DAIMLER AG","0","0","0","2","1","0","0","0","1","0","0","0","4"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","2","0","0","1","1","0","1","0","2","0","2","0","9"
"DILLI ELECTRIC AUTO PVT LTD","1","2","2","2","0","0","0","0","0","0","0","0","7"
"DUCATI INDIA PVT LTD","0","0","0","1","0","0","0","0","1","0","0","0","2"
"DUCATI MOTOR HOLDING S.P.A","0","0","0","0","1","0","1","0","0","1","0","0","3"
"EICHER MOTORS LTD","3","3","13","4","4","3","1","0","0","0","0","0","31"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","2","0","0","0","0","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","0","0","0","1","0","0","1","2"
"FORCE MOTORS LIMITED","2","2","1","3","4","1","2","1","5","0","1","2","24"
"FORD INDIA PVT LTD","55","43","65","65","46","51","47","57","50","30","57","51","617"
"GENERAL MOTORS INDIA PVT LTD","1","0","0","2","0","0","0","0","0","0","0","0","3"
"GOENKA ELECTRIC MOTOR VEH P L","0","0","0","0","2","0","0","0","0","0","0","0","2"
"H-D MOTOR COMPANY INDIA PVT LTD","6","9","13","6","4","6","4","3","6","8","3","6","74"
"H. D. AUTOMOTIVES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HERO ELECTRIC VEHICLE PVT LTD","0","0","0","0","0","0","0","1","0","1","0","0","2"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","0","0","2","5","1","2","2","12"
"HERO HONDA MOTORS  LTD","262","141","0","0","0","1","0","1","0","0","0","0","405"
"HERO MOTOCORP LTD","132","207","337","449","372","390","456","440","434","351","563","594","4725"
"HIM TEKNOFORGE LTD","0","0","0","0","0","0","0","0","0","3","0","0","3"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","1","1","3","3","0","2","0","4","1","0","0","0","15"
"HONDA CARS INDIA LTD","169","96","98","112","71","107","116","139","124","90","125","102","1349"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","985","1072","1028","1389","1395","1185","1322","1296","1226","1031","1502","1169","14600"
"HYUNDAI MOTOR INDIA LTD","409","275","231","228","224","241","243","298","248","242","344","312","3295"
"INDIA KAWASAKI MOTORS PVT LTD","2","2","2","1","3","2","3","3","1","1","1","0","21"
"INDIA YAMAHA MOTOR PVT LTD","39","28","29","37","36","33","43","43","25","26","41","39","419"
"INDIAN MOTORCYCLE COMPANY","0","0","0","0","0","0","1","0","0","0","0","0","1"
"INDO FARM EQUIPMENT LIMITED","0","0","0","1","0","0","0","0","0","0","0","1","2"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ISUZU MOTOR INDIA PVT LTD","8","2","0","5","0","0","1","0","0","0","0","0","16"
"ISUZU MOTORS INDIA PVT LTD","0","3","3","5","4","6","2","7","1","5","4","9","49"
"JAGUAR LAND ROVER INDIA LIMITED","1","7","10","10","16","5","3","7","9","6","13","3","90"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","1","0","0","0","0","0","0","0","0","0","0","0","1"
"KAWASAKI HEAVY INDUSTRIES LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"KHALSAE-VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","0","0","0","0","0","0","0","1","0","1","2","4"
"KTM MOTORRAD AG","1","1","0","1","0","0","0","0","0","0","0","0","3"
"LAMBORGHINI","0","0","0","0","1","0","0","0","0","0","0","0","1"
"LEXUS MOTORS LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"LML LIMITED","0","0","0","0","0","2","0","1","0","0","0","0","3"
"LOHIA AUTO INDUSTRIES","0","0","0","0","0","0","0","0","1","1","0","0","2"
"LOHIA AUTO INDUSTRIES LTD.","3","1","1","0","0","0","0","0","0","0","0","0","5"
"MAHINDRA & MAHINDRA LIMITED","150","99","109","106","105","86","75","95","74","84","113","126","1222"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","1","0","0","1","1","0","0","0","0","1","1","5"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","0","1","0","0","0","0","1","2"
"MAHINDRA ELECTRIC MOBILITY LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA TWO WHEELERS LTD","7","1","4","1","3","4","3","3","0","2","2","1","31"
"MARUTI SUZUKI INDIA LTD","814","594","603","586","547","574","474","520","453","497","616","483","6761"
"MARUTI UDYOG LTD","1","0","0","0","0","0","1","0","0","0","0","0","2"
"MERCEDES -BENZ AG","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MERCEDES-BENZ INDIA PVT LTD","41","29","50","30","37","26","18","22","24","26","23","24","350"
"NISSAN MOTOR INDIA PVT LTD","3","3","4","6","10","4","5","5","7","3","5","5","60"
"OKINAWA AUTOTECH PVT LTD","0","0","0","0","4","0","2","3","3","9","4","2","27"
"OTHERS","10","8","7","10","7","5","0","1","0","0","0","0","48"
"PACE AGRO PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PACE AGRO PVT LTD","2","12","11","2","2","0","2","0","1","0","0","0","32"
"PIAGGIO VEHICLES PVT LTD","9","7","11","4","9","8","6","11","22","8","8","10","113"
"POLARIS INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"PORSCHE AG GERMANY","0","0","1","0","0","1","0","0","1","0","0","0","3"
"RENAULT INDIA PVT LTD","45","21","26","42","31","22","19","23","27","20","24","19","319"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","268","207","156","194","193","173","147","165","150","148","176","153","2130"
"SAERA ELECTRIC AUTO PVT LTD","0","0","1","1","2","0","2","2","2","3","5","3","21"
"SCOOTERS INDIA LTD","0","1","0","1","2","0","0","1","0","1","1","0","7"
"SHINE METAL UDYOG PVT LTD","0","0","0","8","1","0","0","0","0","0","0","0","9"
"SHINE METAL UDYOG PVT LTD (UNIT- II)","0","0","0","0","0","0","0","0","3","3","0","0","6"
"SKODA AUTO INDIA PVT LTD","24","14","18","14","23","16","21","21","11","10","21","16","209"
"SKS TRADE INDIA PVT LTD","0","0","0","0","0","0","0","0","3","0","1","1","5"
"SML MAHINDRA LTD","6","4","7","10","3","5","22","8","8","15","3","17","108"
"SONI E VEHICLE PVT LTD","0","0","0","0","0","0","0","0","5","1","1","4","11"
"SONI E VEHICLES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"STANDARD CORPORATION INDIA LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"STAR BULL E MOTORS","0","0","0","0","0","0","0","0","0","1","0","0","1"
"STELLANTIS INDIA PVT LTD","30","24","25","19","35","18","12","26","6","9","18","12","234"
"SUZUKI MOTORCYCLE INDIA PVT LTD","75","62","74","78","80","75","70","70","57","77","81","95","894"
"TAFE LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"TATA MOTORS LTD","207","121","129","134","104","85","106","146","123","107","135","114","1511"
"TERRA MOTORS INDIA PVT LTD","0","0","1","1","0","1","0","0","0","2","0","0","5"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","240","131","128","119","133","179","105","141","106","117","118","108","1625"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","3","3","3","2","4","3","2","1","2","3","4","0","30"
"TRIUMPH UK","0","0","0","0","0","0","0","0","0","0","1","0","1"
"TVS MOTOR COMPANY LTD","201","181","167","223","242","212","245","275","264","252","302","324","2888"
"UM LOHIA TWO WHEELERS PVT LTD","0","0","1","1","1","0","0","0","1","1","1","2","8"
"VE COMMERCIAL VEHICLES LTD","0","0","0","0","0","0","1","9","9","2","1","6","28"
"VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"VOLKSWAGEN INDIA PVT LTD","25","29","20","28","19","16","17","24","24","29","22","15","268"
"VOLVO AUTO INDIA PVT LTD","0","6","6","7","1","3","2","4","3","9","10","9","60"
"VOLVO GROUP INDIA PVT LTD","6","0","1","0","1","1","1","0","0","0","0","0","10"
"VRINDA ENTERPRISES","0","0","0","0","0","0","0","0","0","1","0","0","1"
