"Maker and Month Wise Data for UT of DNH and DD (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","2","0","0","1","2","0","2","0","0","0","0","1","8"
"AJAX FIORI ENGINEERING PVT LTD","0","2","1","0","2","1","3","3","0","3","0","1","16"
"ALPHA SERVICES","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","16","18","33","23","10","12","12","16","24","23","28","23","238"
"ATUL AUTO LTD","1","3","2","0","3","2","1","0","0","0","4","2","18"
"AUDI AG","2","4","2","0","3","1","1","2","2","2","1","2","22"
"BAJAJ AUTO LTD","72","56","68","104","68","71","77","54","61","59","111","46","847"
"BHARAT MOTORS","0","0","0","0","2","0","0","0","0","0","0","0","2"
"BMW INDIA PVT LTD","6","3","4","8","7","14","1","12","16","4","4","3","82"
"CAPTAIN TRACTORS PVT. LTD.","0","0","0","0","0","0","0","0","1","0","0","0","1"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","1","0","2","1","1","1","0","0","1","7"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","0","1","0","2"
"CHEVROLET SALES INDIA PVT LTD","0","0","0","2","1","0","0","0","0","0","0","0","3"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","1","10","5","4","8","2","1","3","5","1","3","43"
"DSK MOTOWHEELS PVT LTD.","0","0","1","0","2","0","1","0","1","0","0","0","5"
"DUCATI MOTOR HOLDING S.P.A","0","0","1","0","0","0","0","0","0","0","1","0","2"
"EICHER MOTORS LTD","4","14","10","16","2","1","7","8","6","8","3","0","79"
"EICHER TRACTORS","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","3","0","2","0","0","0","0","0","0","1","2","1","9"
"FORCE MOTORS LIMITED","6","0","20","4","0","5","1","5","7","4","10","8","70"
"FORD INDIA PVT LTD","8","6","9","4","15","15","9","10","15","9","12","4","116"
"GAYATRI AGRO INDUSTRIES","0","2","0","0","0","0","0","0","0","0","0","0","2"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"GENERAL MOTORS INDIA PVT LTD","6","5","8","2","8","1","0","2","0","0","0","0","32"
"GODREJ AND BOYCE MFG CO LTD","1","0","0","0","0","1","0","0","0","0","0","0","2"
"H-D MOTOR COMPANY INDIA PVT LTD","1","1","1","3","4","0","1","0","0","0","2","0","13"
"HERO HONDA MOTORS  LTD","2","1","0","0","0","0","0","0","0","0","0","0","3"
"HERO MOTOCORP LTD","279","328","301","251","349","288","162","198","200","220","276","241","3093"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","1","1","1","0","2","0","0","1","0","1","0","0","7"
"HONDA CARS INDIA LTD","13","21","21","18","35","32","17","14","23","23","29","18","264"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","525","444","563","485","421","490","498","447","474","503","659","528","6037"
"HYUNDAI MOTOR INDIA LTD","61","55","72","66","121","77","65","71","80","78","81","54","881"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"INDIA YAMAHA MOTOR PVT LTD","60","42","56","84","39","30","45","36","37","47","49","45","570"
"INDO FARM EQUIPMENT LIMITED","0","0","0","0","1","0","0","0","0","0","1","0","2"
"ISUZU MOTORS INDIA PVT LTD","0","0","0","0","1","0","0","1","0","0","0","0","2"
"JAGUAR LAND ROVER INDIA LIMITED","1","1","4","2","4","2","3","3","2","1","0","0","23"
"JCB INDIA LIMITED","1","0","0","0","0","0","0","0","0","0","0","1","2"
"JCB INDIA LTD","1","1","2","1","2","0","6","0","0","0","6","0","19"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","0","0","0","0","0","0","1","1","0","0","2"
"KAWASAKI HEAVY INDUSTRIES LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"KION INDIA PVT LTD","1","0","0","2","1","0","0","1","0","0","1","0","6"
"KISAN TRAILER","0","0","0","0","0","0","0","0","0","0","1","0","1"
"LOCAL TRAILER MANUFACTURER","0","0","1","1","0","0","3","0","1","0","2","2","10"
"MAHINDRA & MAHINDRA LIMITED","25","30","40","43","33","26","17","19","18","39","46","19","355"
"MAHINDRA TWO WHEELERS LTD","0","0","1","0","0","0","0","0","0","0","1","0","2"
"MARUTI SUZUKI INDIA LTD","177","160","215","153","232","175","144","142","158","244","248","108","2156"
"MERCEDES-BENZ INDIA PVT LTD","10","5","16","4","20","8","7","11","28","6","7","5","127"
"MINI METRO","1","0","0","0","0","0","0","0","0","0","0","0","1"
"MITSUBISHI MOTORS CORPORATION","0","0","0","0","0","0","0","1","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","2","4","4","0","7","9","3","1","4","5","1","4","44"
"OTHERS","30","34","38","26","34","48","80","76","41","32","38","15","492"
"PIAGGIO VEHICLES PVT LTD","15","4","11","13","9","4","9","2","8","4","15","4","98"
"PORSCHE AG","1","2","1","1","0","0","0","0","0","0","0","0","5"
"RADHA KISHAN ENGG WORKS","0","0","0","0","0","0","0","0","0","1","0","0","1"
"RENAULT INDIA PVT LTD","9","7","19","10","16","12","8","7","9","10","6","3","116"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","30","25","33","21","58","29","50","39","39","29","50","21","424"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","1","0","0","8","0","0","0","0","0","2","0","0","11"
"SKODA AUTO INDIA PVT LTD","6","4","15","4","4","5","3","5","6","4","2","3","61"
"SML MAHINDRA LTD","0","2","1","1","2","0","0","0","0","0","0","1","7"
"STELLANTIS INDIA PVT LTD","0","0","1","0","0","0","0","2","2","3","2","1","11"
"SUZUKI MOTORCYCLE INDIA PVT LTD","30","26","29","28","33","26","30","23","40","40","58","26","389"
"TAFE LIMITED","0","0","1","0","0","0","0","0","0","0","3","0","4"
"TATA MOTORS LTD","41","54","143","41","44","32","28","28","32","53","77","48","621"
"TEREX CORPORATION","0","0","0","0","0","1","0","0","0","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","23","25","25","18","36","35","17","38","24","27","16","17","301"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","2","1","0","1","0","0","0","0","0","0","4"
"TVS MOTOR COMPANY LTD","103","100","69","37","95","123","109","95","98","72","78","93","1072"
"VE COMMERCIAL VEHICLES LTD","10","5","32","5","7","9","14","11","24","26","20","18","181"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","2","4","0","0","0","0","0","4","0","8","18"
"VOLKSWAGEN INDIA PVT LTD","7","4","5","3","7","3","5","9","10","5","5","4","67"
"VOLTAS LIMITED","0","0","0","1","1","0","0","0","0","0","0","0","2"
"VOLVO AUTO INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"VOLVO GROUP INDIA PVT LTD","5","1","6","1","1","0","2","0","0","0","0","1","17"
