"Maker and Month Wise Data for Delhi (2018)"

"Maker","2018-Jan","2018-Feb","2018-Mar","2018-Apr","2018-May","2018-Jun","2018-Jul","2018-Aug","2018-Sep","2018-Oct","2018-Nov","2018-Dec","Total"
"A K GUPTA & CO.","40","34","26","38","54","60","63","69","57","71","41","58","611"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AADITYA EMOTORS INDIA PVT LTD","2","0","8","41","10","2","0","0","0","0","0","0","63"
"ADITYA SAI INDUSTRIES","0","0","0","2","0","1","0","1","0","0","0","1","5"
"AMAN ELECTRIC VEHICLES","3","0","4","2","2","0","1","0","8","0","1","4","25"
"ANKUSH AUTO DEALS","29","25","24","11","12","11","24","19","22","12","12","8","209"
"ARIHANT ENTERPRISES","0","0","0","0","0","3","1","2","3","1","1","1","12"
"ARMAN GREEN VEHICLES PVT LTD","17","14","14","9","6","4","3","3","6","5","7","2","90"
"ARNA ELECTRIC AUTO PVT LTD","0","0","0","0","0","1","2","5","7","9","7","1","32"
"ASHA IMPEX","5","1","0","3","4","1","1","0","3","0","0","0","18"
"ASHOK LEYLAND LTD","60","71","54","69","35","51","56","59","52","80","71","52","710"
"ATTOLENT AUTO GROUP PVT LTD","54","28","32","19","21","19","17","15","10","11","6","11","243"
"ATUT SANGAM","9","10","0","0","0","0","0","0","0","0","0","0","19"
"AUDI AG","79","63","47","52","34","28","26","29","17","24","32","24","455"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","9","4","8","17","6","44"
"BAJAJ AUTO LTD","5836","5506","3553","3560","3764","3542","4148","4031","3410","3579","4364","2234","47527"
"BAL GOPAL WHEELS PVT LTD","4","3","0","3","0","0","0","0","0","0","1","4","15"
"BENTLEY MOTORS LIMITED","0","1","1","0","0","0","1","1","0","1","0","1","6"
"BEST WAY AGENCIES PVT LTD","15","11","6","5","10","1","1","0","3","5","2","2","61"
"BMW INDIA PVT LTD","83","47","29","56","58","38","39","55","67","40","55","62","629"
"BRIGHT AUTOZONE PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"CEEON INDIA","5","2","0","0","0","0","0","0","0","1","1","1","10"
"CHAMPION POLY PLAST","169","109","98","118","122","133","157","169","203","256","214","193","1941"
"CHEHAK BATTERIES","1","0","1","1","0","4","1","3","2","2","3","1","19"
"CHIRAG ENTERPRISES","0","0","0","1","1","3","2","3","5","2","0","2","19"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","22","2","14","10","5","7","6","1","0","13","0","2","82"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","4","0","0","0","0","0","0","9","8","21"
"CONTINENTAL ENGINES PVT LTD","0","4","2","0","1","2","0","1","1","1","14","2","28"
"DAIMLER AG","3","1","5","3","2","4","0","0","0","1","3","1","23"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","7","4","4","18","2","10","0","11","0","0","0","0","56"
"DASHMESH TRADERS","0","0","0","0","0","0","9","14","17","16","11","8","75"
"DD AUTO PVT LTD","13","24","12","27","10","1","13","20","30","36","28","22","236"
"DELTEK ENTERPRISES PVT LTD","0","0","3","2","0","2","22","18","37","34","32","25","175"
"DEVAM ELECTRIC VEHICLES PVT LTD","0","3","0","0","0","1","0","0","0","0","0","0","4"
"DILLI ELECTRIC AUTO PVT LTD","135","72","71","65","48","54","99","108","125","146","90","102","1115"
"DSK MOTOWHEELS PVT LTD.","13","4","3","3","2","5","3","1","0","0","0","1","35"
"DUCATI INDIA PVT LTD","2","3","2","3","4","0","0","9","5","2","3","4","37"
"DUCATI MOTOR HOLDING S.P.A","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD","7","6","4","6","2","2","4","4","5","2","5","5","52"
"ELECTROTHERM (INDIA) LIMITED","41","24","19","13","17","12","22","17","20","13","10","4","212"
"ELITE AUTO ENGINEERS PVT LTD","6","4","2","5","2","1","3","0","1","4","1","2","31"
"ENERGY ELECTRIC VEHICLES","135","76","62","56","63","54","63","83","65","72","65","42","836"
"ENTICE IMPEX PVT LTD","10","9","4","5","3","3","5","4","6","9","3","1","62"
"EULER MOTORS PVT LTD","0","0","0","0","0","0","14","9","6","6","10","4","49"
