"Maker and Month Wise Data for Goa (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","1","2","3","0","0","2","2","0","0","1","0","0","11"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","2","1","0","0","0","0","0","0","1","1","0","5"
"AGRAWAL RENEWABLE ENERGY PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AJAX ENGINEERING LTD","0","1","0","0","0","0","0","1","1","0","0","2","5"
"AMPERE VEHICLES PRIVATE LIMITED","7","9","11","9","0","0","0","5","6","3","0","4","54"
"ASHOK LEYLAND LTD","49","20","32","25","7","20","23","24","33","25","34","32","324"
"ATHER ENERGY LTD","0","0","1","0","0","1","0","0","2","97","88","53","242"
"AUDI AG","1","1","0","0","0","0","1","0","0","1","2","2","8"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BAJAJ AUTO LTD","63","78","75","64","3","24","46","57","65","54","73","63","665"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","10","20","1","23","20","1","30","0","21","24","29","64","243"
"BMW INDIA PVT LTD","10","6","13","4","2","9","6","9","11","3","3","6","82"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","2","0","0","1","0","0","0","0","0","0","3"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","1","1","0","0","0","1","0","0","1","0","4"
"CHANDANA CORPORATION","0","0","0","0","0","0","0","1","28","12","38","1","80"
"CLASSIC LEGENDS PVT LTD","18","20","19","18","2","3","5","14","18","12","7","11","147"
"DAIMLER AG","1","0","1","0","0","0","0","0","0","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","9","1","1","3","0","2","1","2","7","2","1","3","32"
"DUCATI INDIA PVT LTD","1","1","0","1","0","0","0","0","1","0","1","3","8"
"EICHER MOTORS LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","1","0","0","0","0","1","0","0","2"
"FORCE MOTORS LIMITED","1","6","3","1","8","2","6","6","2","4","2","5","46"
"FORD INDIA PVT LTD","1","1","8","12","7","8","10","12","7","1","0","0","67"
