"Maker and Month Wise Data for Gujarat (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"3GB TECHNOLOGY PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"A ONE AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"A ONE AUTO INDUSTRIES","0","0","0","1","0","0","0","0","0","0","0","0","1"
"AADESH INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","36","35","46","38","39","46","41","40","39","43","35","26","464"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","2","1","1","1","4","8","0","1","0","1","6","3","28"
"ADITYA AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ADITYA STEEL AND AGRO INDUSTRY","14","0","1","4","3","1","1","0","1","3","0","3","31"
"AGRI KING","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AGRIFAB ENG. SOLUTION","0","0","0","0","0","1","0","1","0","0","0","1","3"
"AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","1","2"
"AJANTA  AGRO","1","0","0","1","0","0","0","2","1","0","0","0","5"
"AJAX ENGINEERING LTD","0","0","0","0","0","0","1","0","1","0","0","1","3"
"AJAX FIORI ENGINEERING PVT LTD","14","9","8","12","9","7","11","8","7","9","8","11","113"
"AJIT AGRO INDUSTRIES","1","2","0","0","0","0","0","0","0","0","0","0","3"
"AKASH ENGG WORKS","2","0","2","0","1","0","0","0","2","0","0","0","7"
"AKSHAR AGRO INDUSTRIES","21","5","0","1","0","3","2","5","12","1","4","5","59"
"AKSHAR ENGNEERING WORKS","10","14","11","8","6","4","25","7","7","0","10","8","110"
"AKSHAY AGRO AGENCIES","0","1","1","0","0","0","0","0","0","0","0","3","5"
"ALAWAR AUTO IND.BABRA","2","9","4","2","4","3","7","4","4","1","4","2","46"
"ALL TERRAIN CRANE","0","0","0","0","1","0","0","0","1","0","1","0","3"
"AMAC INNOVATIVES","0","0","0","1","0","0","0","0","0","0","0","0","1"
"AMAN AGRO INDUSTRIES","1","1","0","2","5","1","1","1","2","3","0","1","18"
"AMAN AUTOMOBILES","0","0","1","1","0","0","0","0","0","0","0","0","2"
"AMAR AGRO IND LTD","11","0","0","3","13","14","3","5","0","5","6","5","65"
"AMAR ENGINEERING WORKS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMAR INTERNATIONAL","0","0","0","0","0","0","0","0","0","0","1","2","3"
"AMAR TROLLY WORKS","0","0","1","0","0","0","2","0","0","0","0","0","3"
"AMARDEEP INDUSTRIES","0","0","2","0","0","2","0","0","1","0","1","0","6"
"AMARESHWAR AGRO INDUSTRIES","1","0","0","1","0","2","0","0","0","0","0","0","4"
"AMBICA AGRO INDUSTRIES","8","11","1","1","5","10","3","3","3","9","1","3","58"
"AMBICA ENG WORKS","4","3","5","5","3","2","1","4","4","5","1","2","39"
"AMBICA INDUSTRIES LTD","12","9","5","1","16","14","9","10","8","8","8","11","111"
"AMBICA IRON WORKS","2","0","1","3","2","3","1","0","3","8","2","0","25"
"AMBICA MACHINE TOOLS","0","2","0","0","0","0","1","1","0","0","0","3","7"
"AMBICA TRAILER WELD WORKS","0","0","1","3","0","1","1","0","1","0","3","0","10"
"AMCIKA AGRO WORK","2","5","4","2","5","1","0","1","1","0","0","4","25"
"AMIDHARA TRAILOR","4","0","0","0","0","0","1","0","0","0","0","2","7"
"AMIN EQUIPMENT PVT LTD","1","0","0","0","3","0","1","1","1","0","0","2","9"
"AMIT AGRI WO KHEDA","0","0","0","0","1","1","1","0","0","0","0","0","3"
"AMIT AGRICULTURE WO","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMMANN INDIA PVT LTD","1","2","2","1","3","2","3","0","2","0","2","2","20"
"AMRUTIA AGRO INDUSTRIES","4","0","0","0","1","1","2","0","0","0","0","1","9"
"AMW MOTORS LIMITED","0","0","0","2","3","1","6","0","0","0","0","0","12"
"ANAND TRAILER","0","2","0","0","0","0","1","1","0","2","0","0","6"
"ANGAD COMPANY LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
