"Maker and Month Wise Data for Himachal Pradesh (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"3GB TECHNOLOGY PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","1","0","1","1","0","0","2","0","0","0","5","10"
"ACTION CONSTRUCTION EQUIPMENT LTD.","11","5","6","1","0","0","3","2","1","2","5","0","36"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","2","0","0","0","0","0","0","0","2","1","5"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AJAX ENGINEERING LTD","5","6","8","3","0","0","3","1","6","3","5","2","42"
"ALL TERRAIN CRANE","3","4","4","3","3","1","2","3","0","2","1","11","37"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AMMANN INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","0","1","0","11","0","5","1","18"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","116","159","267","39","1","2","12","34","43","50","68","71","862"
"ASTON MARTIN","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AUDI AG","33","23","70","9","0","1","0","1","11","1","6","3","158"
"AUTOMOBILI LAMBORGHINI S.P.A","0","1","0","0","0","1","1","0","0","0","0","0","3"
"BAJAJ AUTO LTD","643","686","893","361","66","656","1010","1050","937","1070","1747","980","10099"
"BENTLEY MOTORS LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","58","40","87","8","0","8","12","18","29","33","27","18","338"
"BULL MACHINES PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","0","0","0","0","0","0","1","1","2"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","7","4","12","1","0","1","3","5","11","10","6","3","63"
"CATERPILLAR INDIA PRIVATE LIMITED","7","2","7","3","0","0","1","0","1","0","4","2","27"
"CHEVROLET SALES INDIA PVT LTD","0","0","0","1","0","0","1","0","0","0","0","0","2"
"CLASSIC LEGENDS PVT LTD","8","6","9","1","0","0","3","4","13","10","35","18","107"
"CNH INDUSTRIAL (INDIA) PVT LTD","5","7","17","3","0","2","3","0","10","7","3","4","61"
"CONTINENTAL ENGINES PVT LTD","1","0","0","0","0","0","0","0","0","1","1","1","4"
"DAEWOO MOTORS INDIA LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DAIMLER AG","8","6","17","1","0","1","3","2","2","1","1","0","42"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","15","42","39","9","0","0","2","7","9","14","10","9","156"
"DEMAG AC 300","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DEMAG DEMAG HC 340","0","0","1","1","0","0","0","4","0","0","1","0","7"
"DEMAGE MOTORS LTD","0","0","0","0","0","1","0","0","0","0","1","2","4"
"DILIP CHHABRIA DESIGN PVT LTD","1","0","1","3","0","0","0","0","0","1","0","0","6"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DUCATI INDIA PVT LTD","1","0","1","0","0","0","0","0","0","0","0","0","2"
"DUCATI MOTOR HOLDING S.P.A","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DULEVO INDIA PVT LTD","0","2","1","0","0","0","0","0","0","0","0","0","3"
"EICHER MOTORS LTD","3","2","2","0","0","0","0","1","0","0","1","0","9"
"EICHER TRACTORS","1","1","9","0","0","2","1","1","0","3","0","0","18"
"EPIROC MINING INDIA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","1","7","3","1","0","0","0","1","0","6","18","2","39"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","10","37","64","8","0","2","14","17","28","18","11","11","220"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","7","5","5","0","0","3","1","1","2","11","6","4","45"
"ESCORTS TRACTORS LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"FERRARI INDIA PRIVATE LIMITED","1","0","0","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","38","34","152","45","0","0","1","3","7","6","4","10","300"
"FORD INDIA PVT LTD","92","51","42","3","4","32","82","59","52","95","107","57","676"
"FRED INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"GENERAL MOTORS INDIA PVT LTD","0","0","3","1","0","0","0","0","1","0","0","0","5"
"GROVE INDIA PVT LTD","1","4","3","1","0","0","0","8","0","0","13","9","39"
"H-D MOTOR COMPANY INDIA PVT LTD","6","1","11","6","0","3","2","0","5","3","2","1","40"
"HERO HONDA MOTORS  LTD","0","1","0","0","0","0","0","0","1","0","0","0","2"
"HERO MOTOCORP LTD","1317","1213","1787","1055","19","628","1428","1596","1540","1252","1606","1964","15405"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","1","0","0","0","0","0","0","0","0","0","0","0","1"
"HONDA CARS INDIA LTD","127","76","102","12","4","54","89","66","79","143","175","90","1017"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1144","1145","1454","460","69","1302","2921","2649","2159","1948","3127","2501","20879"
"HYUNDAI MOTOR INDIA LTD","832","664","618","86","52","551","970","914","922","1180","1386","1123","9298"
"INDIA KAWASAKI MOTORS PVT LTD","2","3","10","1","0","0","1","0","0","1","9","0","27"
"INDIA YAMAHA MOTOR PVT LTD","107","105","184","84","23","189","336","304","244","209","406","187","2378"
