"Maker and Month Wise Data for Haryana (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"A D AGRO WORKS","0","5","3","0","0","0","0","0","2","0","0","0","10"
"A K GUPTA & CO.","0","1","0","0","1","3","2","4","6","5","13","9","44"
"A P I MOTORS PVT LTD","4","1","3","1","1","4","8","2","9","5","5","9","52"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","7","7"
"A1 HEAVY EQUIPMENTS DEVELOPER","2","0","0","0","0","2","0","0","0","3","2","1","10"
"ACTION CONSTRUCTION EQUIPMENT LTD.","54","61","79","57","63","71","63","50","46","37","58","43","682"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","2","2","3","1","0","0","0","3","1","0","1","2","15"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","2","2","1","0","3","1","0","2","1","0","0","12"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AGRO INDUSTRIES","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","2","6","6","1","8","2","2","3","5","2","6","43"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ALL TERRAIN CRANE","0","0","0","6","2","3","7","5","3","1","5","1","33"
"ALLFINE INDUSTRIES PVT LTD","9","11","8","10","17","5","9","17","9","20","5","14","134"
"ALTIER ELECTRIC VEHICLES PVT LTD","12","0","7","6","16","30","23","27","50","32","35","22","260"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","8","5","0","4","10","27"
"AMAR AGRO SALES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AMARJEET HARVESTER INDUSTRY","0","0","1","0","0","0","0","0","0","0","0","1","2"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","0","0","1","0","0","0","4","0","1","6"
"AMPERE VEHICLES PRIVATE LIMITED","91","95","173","199","241","141","127","185","107","226","225","141","1951"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","1","0","0","0","1","1","0","1","0","0","4"
"ARROW AUTOMOTIVE","0","0","0","0","0","0","6","1","0","0","1","1","9"
"ASHA IMPEX","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ASHOK LEYLAND DEFENCE SYSTEMS LTD","0","0","0","15","6","0","0","0","0","0","0","0","21"
"ASHOK LEYLAND LTD","522","615","667","650","705","564","489","567","663","576","624","552","7194"
"ASHOK STEEL INDU","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ASTON MARTIN LAGONDA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","4","0","3","0","5","5","1","0","3","3","2","2","28"
"ATTOLENT AUTO GROUP PVT LTD","10","0","8","1","6","3","10","3","2","4","17","2","66"
"ATUL AUTO LTD","42","46","44","30","31","35","52","74","56","50","60","76","596"
"ATUT SANGAM","0","0","0","0","0","0","0","3","2","7","2","10","24"
"AUDI AG","35","13","1","0","2","3","5","3","0","3","7","3","75"
"AUTO CART LOGISTIC EQUIPMENT PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","1","2","0","0","0","0","0","0","0","1","4"
"AVL ELECTRIC VEHICLES PVT LTD","6","17","16","12","29","26","9","16","6","7","6","4","154"
"AVON CYCLES LTD","0","0","0","6","4","6","6","11","3","4","8","3","51"
"BABA E-VEHICLES","0","0","0","0","0","0","0","0","2","0","7","17","26"
"BAJAJ AUTO LTD","4870","4288","4690","4614","4649","4023","3730","4400","4077","5659","9640","6442","61082"
"BAJAJ IMPLEMENTS PVT. LTD","1","1","1","0","2","0","0","0","1","1","10","26","43"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","12","13","8","12","22","7","2","5","2","8","10","3","104"
"BENTLEY MOTORS LIMITED","1","0","0","0","1","0","0","0","0","0","0","0","2"
"BEST WAY AGENCIES PVT LTD","2","4","15","0","12","8","4","2","11","11","11","19","99"
"BHAGWAN AGRO INDUSTRIES","0","2","0","0","0","0","0","0","0","0","0","1","3"
"BHAVE ELECTRIC VEHICLES PVT LTD","11","4","16","28","23","12","46","31","36","33","36","38","314"
"BMW INDIA PVT LTD","95","94","95","115","92","96","106","81","58","170","105","76","1183"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","0","0","0","1","3","1","7","3","15"
"BRIGHT AUTOZONE PVT LTD","0","0","0","0","0","1","2","0","0","0","0","0","3"
"BRIGHT METAL WORKS","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BSMS AGRICULTURE WORKSHOP","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BULL MACHINES PVT LTD","1","0","0","1","0","1","1","0","0","11","1","2","18"
"BYD INDIA PRIVATE LIMITED","0","0","0","0","0","1","5","2","0","1","11","2","22"
"CART INDIA","0","0","0","0","0","0","0","0","0","0","3","0","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","3","3","5","2","5","4","4","3","4","6","8","47"
"CATERPILLAR INDIA PRIVATE LIMITED","1","5","4","8","4","2","4","9","1","2","4","1","45"
"CEEON INDIA","1","0","5","1","3","9","7","7","13","8","18","9","81"
"CHAMPION POLY PLAST","14","8","6","9","17","23","37","56","28","40","39","33","310"
"CHAUHAN AUTO INDUSTRIES","2","11","2","7","11","18","22","16","29","12","22","15","167"
"CHEHAK BATTERIES","0","0","0","0","2","0","0","0","0","0","0","0","2"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","4","0","0","0","0","0","0","0","2","1","1","9","17"
"CLAAS INDIA P LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"CLASSIC LEGENDS PVT LTD","69","109","101","101","110","81","113","81","58","101","114","65","1103"
"CNH INDUSTRIAL (INDIA) PVT LTD","247","219","245","206","282","211","258","268","143","87","202","241","2609"
"CONMAT HEAVY INDUSTRIES PVT LTD","1","0","0","0","0","0","0","0","0","1","1","1","4"
