"Maker and Month Wise Data for Jharkhand (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"A.V.AUTOMOTIVES PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AAHANA COMMERCE PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","18","22","17","16","5","15","8","24","9","8","9","11","162"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","1","0","0","0","1","0","0","0","0","2"
"ADISHWAR AUTO RIDE INDIA PVT LTD","3","1","0","0","0","0","2","1","0","0","1","0","8"
"AGRO INDUSTRIES","0","5","0","0","0","0","0","0","0","0","0","0","5"
"AJAX ENGINEERING LTD","3","3","5","1","1","0","3","2","0","3","5","1","27"
"AKASH TRAILOR","4","9","3","0","0","3","0","0","0","0","0","0","19"
"ALL TERRAIN CRANE","0","0","1","0","0","0","1","0","0","0","0","0","2"
"ALLFINE INDUSTRIES PVT LTD","2","5","3","0","0","6","2","0","0","2","7","13","40"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","1","2","0","4"
"AMMANN INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMPERE VEHICLES PRIVATE LIMITED","9","3","12","40","25","7","3","44","24","17","52","91","327"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ARNA ELECTRIC AUTO PVT LTD","0","0","0","1","0","0","1","0","2","0","1","6","11"
"ARROW AUTOMOTIVE","5","6","2","4","2","5","0","0","8","6","2","13","53"
"ASHOK LEYLAND LTD","36","47","63","34","23","14","25","27","31","31","30","45","406"
"ASHWA ELECTRIC","0","0","0","0","0","0","0","1","2","1","0","0","4"
"ATUL AUTO LTD","78","105","124","66","13","22","46","57","91","71","89","111","873"
"AUDI AG","0","0","0","0","0","0","0","2","0","0","1","1","4"
"AUTOHAUS PRIVATE LIMITED","0","0","0","0","0","0","3","0","0","0","0","0","3"
"BAJAJ AUTO LTD","3116","3335","5727","2173","1513","3190","3242","2965","2771","2957","4627","3007","38623"
"BENTINCK INDUSTRIES PVT. LTD.","0","0","0","1","0","0","5","0","0","0","2","3","11"
"BEST WAY AGENCIES PVT LTD","0","1","2","0","0","10","7","3","3","7","6","8","47"
"BHAGAT AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","17","19","29","12","15","10","20","16","14","19","19","7","197"
"BULL MACHINES PVT LTD","0","0","2","1","1","1","2","0","2","3","0","0","12"
"CAPTAIN TRACTORS PVT. LTD.","1","1","0","0","0","0","0","0","0","0","0","0","2"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","2","3","2","0","0","2","2","18","6","1","0","39"
"CATERPILLAR INDIA PRIVATE LIMITED","13","2","12","9","0","7","1","4","1","3","3","4","59"
"CHAMPION POLY PLAST","11","3","20","7","5","2","13","24","23","19","11","26","164"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","0","0","0","0","0","0","1","0","0","1","0","2"
"CLASSIC LEGENDS PVT LTD","85","66","104","47","17","69","60","61","64","89","106","62","830"
"CNH INDUSTRIAL (INDIA) PVT LTD","25","15","17","12","6","24","42","24","43","28","24","24","284"
"CONTINENTAL ENGINES PVT LTD","24","20","49","11","2","5","11","6","17","26","18","12","201"
"CROMA ENTERPRISES","0","2","0","0","0","0","0","0","0","0","0","0","2"
"DAIMLER AG","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","30","4","1","12","0","14","8","4","10","30","2","26","141"
"DAKSH INDUSTRY PVT LTD","0","0","0","0","0","0","0","0","0","0","11","17","28"
"DE EUSI MOTORS PVT LTD.","0","0","0","0","0","1","0","0","0","0","0","0","1"
"DELTA AUTOCORP LTD","11","6","8","2","0","3","0","7","9","4","8","10","68"
"DILLI ELECTRIC AUTO PVT LTD","1","0","0","2","0","4","1","6","0","1","3","1","19"
"DIWA GREEN TECHNOLOGY PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DOOSAN BOBCAT INDIA PVT LTD","1","0","0","1","0","0","0","0","1","1","0","0","4"
"DSF INDUSTRIES PVT LTD","0","1","0","1","0","0","0","0","0","0","0","0","2"
"DUCATI INDIA PVT LTD","0","0","0","0","0","1","0","0","1","0","0","1","3"
"EEVEE ENGINEERING PVT LTD","0","0","0","0","0","0","0","0","3","3","5","1","12"
"EICHER MOTORS LTD","0","0","0","0","5","0","0","0","0","0","0","0","5"
"EICHER TRACTORS","58","77","88","50","11","60","82","52","63","46","61","73","721"
"ENERGY ELECTRIC VEHICLES","3","2","2","0","0","1","0","1","0","4","5","0","18"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","84","67","108","46","30","79","137","75","66","63","45","60","860"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","4","9","15","3","2","9","6","4","11","5","5","3","76"
"ESCORTS R&D CENTRE","0","1","1","0","0","0","0","0","0","0","0","0","2"
"EXIDE INDUSTRIES LTD","3","4","15","1","0","1","0","2","9","0","3","3","41"
"EXTREME MOTORS","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","5","8","7","3","6","13","10","8","18","8","10","15","111"
"FORD INDIA PVT LTD","43","61","147","67","68","76","92","70","31","17","13","7","692"
"FRED INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"G.K. RICKSHAW LTD","2","0","0","0","0","0","0","0","1","1","0","0","4"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","2","0","1","0","0","0","0","0","0","3"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","3","1","7","0","1","0","0","0","2","0","0","0","14"
"GOODWILL HI PRECISION WORKS PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GOPAL AUTO MOTORS PVT LTD","1","0","1","0","0","0","0","0","0","0","0","0","2"
"GROMAX AGRI EQUIPMENT LTD","17","15","29","6","2","17","19","9","3","12","11","13","153"
"GROVE INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"H-D MOTOR COMPANY INDIA PVT LTD","1","0","1","0","0","2","0","0","0","1","0","0","5"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HERO ELECTRIC VEHICLES PVT. LTD","19","22","29","3","0","2","47","39","41","126","198","108","634"
"HERO MOTOCORP LTD","11208","11690","18549","12804","9134","13611","10382","9280","8209","9461","18639","8470","141437"
"HITECH ENGINEERING LTD","0","10","0","0","0","0","0","0","0","0","0","0","10"
"HONDA CARS INDIA LTD","117","95","117","53","25","61","73","50","70","89","112","81","943"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","7842","8610","13114","6202","6200","9283","8550","7651","7073","9078","15247","7499","106349"
"HOOGHLY MOTORS PVT LTD","1","3","7","0","0","24","29","9","7","13","16","14","123"
"HYUNDAI MOTOR INDIA LTD","923","840","1209","652","445","751","860","867","714","812","745","634","9452"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","3","4","2","3","2","1","15"
"INDIA YAMAHA MOTOR PVT LTD","682","709","1145","425","225","633","760","716","658","838","1125","672","8588"
"INDO FARM EQUIPMENT LIMITED","9","5","12","5","1","7","10","9","12","1","2","12","85"
"INDRA TRAILORS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"INTERNATIONAL TRACTORS LIMITED","137","170","255","57","42","145","191","195","240","124","146","120","1822"
"ISUZU MOTORS INDIA PVT LTD","0","2","0","0","1","0","0","1","0","0","0","0","4"
"J. S. AUTO (P) LTD","7","1","3","0","1","2","0","0","1","1","1","1","18"
"JADE KOREA SPINE LIFE","2","0","1","0","0","0","0","0","1","0","0","0","4"
"JAGADAMBA TRAILER","0","0","0","0","0","1","0","0","0","0","0","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","1","1","4","1","3","2","4","3","2","0","1","7","29"
"JAIDKA POWER SYSTEMS PVT LTD","17","10","24","5","4","1","9","10","9","5","2","14","110"
"JAYDEV ENTERPRISE","0","0","1","0","0","0","0","0","0","0","0","1","2"
"JCB INDIA LIMITED","66","56","67","15","3","25","15","23","17","11","11","19","328"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","17","82","77","7","6","60","55","108","114","66","52","81","725"
"JSW MG MOTOR INDIA PVT LTD","73","61","112","53","40","69","52","59","41","46","59","37","702"
"KALIKA VAHAN PVT LTD","0","0","1","0","0","0","0","1","0","0","2","0","4"
"KHALSAE-VEHICLES PVT LTD","0","0","0","0","0","0","1","0","1","2","2","0","6"
"KIA INDIA PRIVATE LIMITED","291","350","390","117","132","288","199","207","153","187","164","144","2622"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","1","0","1","0","0","0","0","2","1","1","1","11","18"
"KION INDIA PVT LTD","0","0","0","2","0","0","6","3","0","0","0","0","11"
"KIRTI SOLAR LTD","0","0","0","0","0","0","1","0","0","1","0","0","2"
"KISAN ENGINEERING","0","2","0","0","0","0","0","0","0","0","0","0","2"
"KISAN ENGINEERING WORKS","0","4","0","0","0","0","0","0","0","0","0","0","4"
"KISHAN MOTORS, BHUBANESWAR","0","2","0","0","0","0","0","0","0","0","0","0","2"
"L&T CONSTRUCTION EQUIPMENT LIMITED","3","1","2","1","0","1","0","1","1","2","1","3","16"
"L&T CONSTRUCTION MACHINERY LIMITED","0","0","3","0","0","0","0","0","1","0","1","0","5"
"LIEBHERR","0","1","0","0","0","0","0","0","0","0","0","0","1"
"LIUGONG INDIA PVT. LTD","4","1","0","1","2","3","2","13","3","5","2","0","36"
