"Maker and Month Wise Data for Jammu & Kashmir (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"AAHANA COMMERCE PVT LTD","0","0","0","0","0","0","0","0","0","1","5","0","6"
"ACTION CONSTRUCTION EQUIPMENT LTD.","10","4","5","6","14","13","9","0","3","5","7","4","80"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","1","0","1","0","1","0","0","0","0","0","3"
"AJAX ENGINEERING LTD","0","3","0","3","0","2","3","1","0","3","4","2","21"
"ALLFINE INDUSTRIES PVT LTD","8","5","6","4","5","2","4","3","5","4","7","2","55"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","2","4","3","2","4","3","6","7","4","11","46"
"AMBIKA ENTERPRISES","0","0","1","0","2","1","0","0","0","0","0","0","4"
"AMPERE VEHICLES PRIVATE LIMITED","0","8","7","14","7","9","6","0","0","12","2","0","65"
"ANKUSH AUTO DEALS","0","0","0","0","1","0","0","4","0","0","0","0","5"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ARD EXIM","0","0","5","2","5","6","1","0","3","0","0","7","29"
"ASHOK LEYLAND DEFENCE SYSTEMS LTD","0","0","0","0","0","0","0","0","0","2","0","0","2"
"ASHOK LEYLAND LTD","87","76","154","99","79","89","58","91","89","84","104","80","1090"
"ATHER ENERGY LTD","0","0","0","0","0","0","0","1","0","19","15","14","49"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","0","1","1","1","0","2","5"
"ATUL AUTO LTD","0","0","3","3","3","5","6","0","4","2","2","6","34"
"ATUL GREENTECH PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","2","4","6"
"AUDI AG","0","0","0","0","2","1","1","0","1","0","1","0","6"
"AVON CYCLES LTD","14","16","14","9","15","20","17","13","9","9","7","6","149"
"BAJAJ AUTO LTD","560","687","1219","965","1375","1259","1434","1358","1203","948","1150","677","12835"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","1","0","0","1","0","0","0","0","0","0","2"
"BMW INDIA PVT LTD","0","3","1","2","3","3","1","2","4","1","1","6","27"
"BULL MACHINES PVT LTD","0","1","2","1","0","0","0","2","1","2","3","1","13"
"CART INDIA","0","0","0","0","0","0","6","1","0","0","0","0","7"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","2","0","0","0","0","3","2","0","2","4","0","13"
