"Maker and Month Wise Data for Karnataka (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"3EV INDUSTRIES PVT LTD","29","2","0","0","0","0","0","19","0","0","0","0","50"
"A.B. AGRO ENGINEERING WORKS","0","0","0","0","1","0","0","0","1","0","0","0","2"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","2","0","0","0","0","0","0","0","0","0","2"
"ACCPL INFRA FABTECH PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","83","86","81","50","68","73","67","69","64","72","51","75","839"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","0","0","0","0","0","1","0","1","2"
"ADISHAKTI TRACTORS","0","0","0","1","0","0","0","0","0","0","1","0","2"
"ADISHWAR AUTO RIDE INDIA PVT LTD","6","10","2","2","3","9","8","4","4","11","5","2","66"
"ADITYA AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AFTEK MOTORS INDIA PVT LTD","0","0","1","0","0","5","0","2","0","0","0","0","8"
"AGRO INDUSTRIES","10","7","10","3","8","3","8","8","12","9","7","6","91"
"AGRO TRAILERS AP312870751","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","11","14","18","27","16","18","16","25","15","28","13","12","213"
"AJAX FIORI ENGINEERING PVT LTD","0","0","0","0","0","0","0","0","0","1","0","2","3"
"AJIT ENGINEERING WORKS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AKASH TRAILOR","1","0","0","0","0","1","0","0","0","2","0","0","4"
"ALL TERRAIN CRANE","4","4","7","0","1","3","0","3","3","0","0","0","25"
"ALPHA SERVICES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ALTIGREEN PROPULSION LABS PVT LTD","59","22","75","1","4","50","9","9","8","2","7","4","250"
"ALTIUS EV TECH PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"AMARJEET HARVESTER INDUSTRY","0","0","0","0","0","0","0","2","0","0","0","2","4"
"AMMANN INDIA PVT LTD","1","0","3","0","0","0","1","0","0","0","0","0","5"
"AMO MOBILITY SOLUTIONS PVT LTD","0","4","0","0","0","0","1","0","0","1","0","1","7"
"AMPERE VEHICLES PRIVATE LIMITED","12","21","34","10","21","65","6","6","3","7","1","2","188"
"ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE","1","1","2","7","5","0","1","5","2","1","0","1","26"
"ANVITA AUTO TECH WORKS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ARMIX CONSTRUCTION MACHINERY PVT LTD","0","1","0","1","1","1","0","0","1","0","0","1","6"
"ASHNNI MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","4","0","0","4"
"ASHOK LEYLAND LTD","1390","1775","1616","1469","1458","1264","1248","1556","1365","1899","1352","1098","17490"
"ASTON MARTIN LAGONDA LTD","0","0","1","0","0","0","0","0","1","0","0","0","2"
"ATHER ENERGY LTD","3079","2872","5195","1318","1924","2110","2360","3378","3241","4193","3085","2330","35085"
"ATUL AUTO LTD","22","15","10","17","11","21","19","17","22","19","15","7","195"
"ATUL GREENTECH PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","2","1","30","33"
"ATUMOBILE PVT LTD","0","0","0","0","0","0","1","1","0","0","0","2","4"
"AUDI AG","9","7","7","2","0","5","8","2","5","1","2","1","49"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","1","0","0","2","1","0","4"
"AWACHAT INDUSTRIES LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BAJAJ AUTO LTD","15791","14839","15932","13736","14515","14298","13776","15995","13704","18346","18346","9629","178907"
"BALAJI AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BALAN ENGINEERING PVT LTD","1","0","0","2","0","0","0","1","0","0","1","1","6"
"BATTRE ELECTRIC MOBLITY PVT LTD","8","8","16","4","7","8","5","8","6","11","5","0","86"
"BEML LIMITED","1","0","0","0","0","0","0","0","0","0","1","1","3"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","8","7","11","6","7","0","3","1","3","3","3","10","62"
"BENTLEY MOTORS LIMITED","0","0","1","0","0","0","0","1","1","0","1","1","5"
"BGAUSS AUTO PRIVATE LIMITED","140","91","413","46","100","129","153","219","161","116","111","139","1818"
