"Maker and Month Wise Data for Kerala (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","9","6","11","0","1","2","4","4","9","9","7","8","70"
"ADISHWAR AUTO RIDE INDIA PVT LTD","15","100","178","0","0","0","0","0","22","48","19","21","403"
"AJAX ENGINEERING LTD","4","7","2","0","1","2","7","8","15","9","15","12","82"
"AJAX FIORI ENGINEERING PVT LTD","0","1","0","0","0","0","0","0","0","0","0","1","2"
"ALLFINE INDUSTRIES PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMMANN INDIA PVT LTD","2","1","1","0","0","0","1","0","1","2","6","4","18"
"AMPERE VEHICLES PRIVATE LIMITED","4","4","2","0","1","4","3","9","19","20","32","37","135"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","1","0","0","0","1","0","1","0","1","0","4"
"ASHOK LEYLAND LTD","666","705","619","56","1","109","167","224","395","413","471","497","4323"
"ATUL AUTO LTD","76","110","183","0","0","0","6","17","35","52","48","43","570"
"AUDI AG","4","5","9","0","0","0","0","0","1","0","0","2","21"
"BAJAJ AUTO LTD","5883","5060","5286","30","987","2752","2603","2667","4689","4042","4118","3770","41887"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","0","0","0","0","0","0","0","0","4","5","9"
"BMW INDIA PVT LTD","106","97","186","8","7","5","18","25","34","43","51","77","657"
"BULL MACHINES PVT LTD","5","3","4","0","0","0","0","1","4","4","3","12","36"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","4","6","2","0","1","2","2","3","1","3","6","4","34"
"CATERPILLAR INDIA PRIVATE LIMITED","13","10","11","0","1","7","4","5","13","15","12","13","104"
"CIVIMEC ENGINEERING PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","484","649","749","11","0","3","37","89","202","149","182","128","2683"
"CNH INDUSTRIAL (INDIA) PVT LTD","2","6","6","0","1","3","2","0","2","2","3","4","31"
"DAIMLER AG","6","5","1","1","1","0","0","0","1","1","1","1","18"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","145","188","215","8","3","36","57","46","101","164","99","131","1193"
