"Maker and Month Wise Data for Ladakh (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","0","1","0","3","1","0","5"
"AJAX ENGINEERING LTD","0","0","0","0","0","0","0","0","0","2","1","0","3"
"AMMANN INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","0","1","1","6","10","6","14","6","17","2","3","4","70"
"BAJAJ AUTO LTD","2","0","0","12","1","6","3","1","0","0","1","1","27"
"BMW INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BULL MACHINES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","0","0","0","0","3","0","0","3"
"CLASSIC LEGENDS PVT LTD","1","0","0","0","1","0","4","0","0","0","0","0","6"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","1","3","4","0","0","0","0","0","2","10"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","2","5","1","7","9","9","11","5","6","8","9","5","77"
"EICHER TRACTORS","0","1","0","2","1","3","0","0","0","0","1","1","9"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","2","0","1","1","0","0","1","5"
"FORCE MOTORS LIMITED","14","22","35","146","70","14","13","9","3","4","1","1","332"
"HERO ELECTRIC VEHICLES PVT. LTD","1","0","0","0","14","2","1","0","0","0","0","0","18"
"HERO MOTOCORP LTD","2","0","1","3","41","22","16","12","4","13","18","1","133"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","4","2","3","9","11","22","18","9","16","3","3","1","101"
"HYUNDAI MOTOR INDIA LTD","14","6","5","37","59","57","43","61","42","40","34","26","424"
"INDIA YAMAHA MOTOR PVT LTD","0","0","0","0","0","1","0","0","1","0","0","0","2"
"INTERNATIONAL TRACTORS LIMITED","1","0","1","0","1","0","0","0","0","1","1","2","7"
"ISUZU MOTORS INDIA PVT LTD","1","0","2","1","0","2","2","1","2","1","3","1","16"
"JCB INDIA LIMITED","4","2","1","31","14","22","6","7","4","4","5","3","103"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","1","0","3","0","0","0","1","0","2","1","8"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","1","1","0","1","1","1","0","4","0","9"
"KIA INDIA PRIVATE LIMITED","5","1","2","7","6","1","4","3","3","0","3","2","37"
"LIUGONG INDIA PVT. LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","0","0","0","3","0","0","0","0","1","4"
"MAHINDRA & MAHINDRA LIMITED","44","28","36","80","161","122","79","79","65","37","36","68","835"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","1","0","1","0","0","0","0","0","2"
"MARUTI SUZUKI INDIA LTD","40","29","35","125","231","194","181","182","127","116","107","84","1451"
"MERCEDES-BENZ INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","0","0","0","0","0","0","1","0","1","0","1","0","3"
"OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED","0","0","0","0","0","0","0","0","9","0","0","0","9"
"RENAULT INDIA PVT LTD","0","0","0","0","1","1","1","0","0","1","0","0","4"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","6","2","21","17","85","147","56","17","11","12","12","0","386"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"SML MAHINDRA LTD","5","2","4","7","16","17","17","9","15","16","6","11","125"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"STELLANTIS INDIA PVT LTD","2","0","0","0","0","1","0","1","0","0","0","2","6"
"SUZUKI MOTORCYCLE INDIA PVT LTD","0","1","3","2","4","4","19","14","7","5","1","2","62"
"TAFE LIMITED","0","0","0","0","0","0","0","4","0","0","0","0","4"
"TATA ADVANCED SYSTEMS LTD","0","1","1","0","0","0","0","0","0","0","0","0","2"
"TATA MOTORS LTD","19","19","19","32","37","31","35","25","23","12","30","16","298"
"TATA MOTORS PASSENGER VEHICLES LTD","8","3","4","11","13","15","21","18","11","22","13","14","153"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","21","4","7","13","26","53","76","36","32","26","13","19","326"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","4","0","2","0","3","6","0","10","2","0","3","2","32"
"VE COMMERCIAL VEHICLES LTD","0","0","0","0","0","10","0","0","7","0","1","0","18"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","1","0","2","2","5"
"WIRTGEN INDIA PVT LTD","0","0","0","0","0","0","0","0","2","0","0","1","3"
