"Maker and Month Wise Data for Lakshadweep (2025)"

"Maker","2025-Jan","2025-Feb","2025-Mar","2025-Apr","2025-May","2025-Jun","2025-Jul","2025-Aug","2025-Sep","2025-Oct","2025-Nov","2025-Dec","Total"
"ATHER ENERGY LTD","0","0","0","0","1","0","0","0","0","0","0","1","2"
"BAJAJ AUTO LTD","3","4","6","4","1","1","2","1","2","0","5","0","29"
"BMW INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BSA MOTORS","1","1","1","0","0","1","0","0","0","2","3","0","9"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","3","0","0","0","1","0","0","0","0","4"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FORD INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"GENERAL MOTORS INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"GODREJ AND BOYCE MFG CO LTD","2","2","2","0","0","0","0","0","0","0","0","0","6"
"HERO HONDA MOTORS  LTD","0","1","3","2","5","4","0","0","0","0","0","0","15"
"HERO MOTOCORP LTD","5","11","15","19","19","19","11","6","3","3","6","15","132"
"HONDA CARS INDIA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","11","35","26","22","15","12","7","3","10","4","8","13","166"
"HYUNDAI MOTOR INDIA LTD","0","0","1","0","0","0","1","1","0","0","0","0","3"
"INDIA YAMAHA MOTOR PVT LTD","4","5","7","5","2","1","1","3","3","1","2","3","37"
"INDUS ELECTROTHERM INDIA LTD","0","0","0","1","1","0","0","0","0","0","0","0","2"
"JCB INDIA LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","1","1","0","0","0","0","0","0","0","0","0","0","2"
"MAHINDRA & MAHINDRA LIMITED","0","3","0","4","1","0","0","0","0","0","0","0","8"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","0","0","1","0","0","0","0","1"
"MAHINDRA ELECTRIC MOBILITY LIMITED","0","1","2","1","1","0","0","0","0","0","1","0","6"
"MAHINDRA LAST MILE MOBILITY LTD","0","1","1","0","1","0","0","0","0","0","0","1","4"
"MARUTI SUZUKI INDIA LTD","3","8","9","12","9","12","10","6","1","0","1","3","74"
"NISSAN MOTOR INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"OTHERS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","1","4","7","2","4","1","2","0","0","1","0","3","25"
"RENAULT INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"REVOLT INTELLICORP PVT LTD","0","0","0","1","0","1","1","0","1","0","1","1","6"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","7","21","12","8","13","10","3","1","3","4","7","7","96"
"SUZUKI MOTORCYCLE INDIA PVT LTD","4","21","21","16","14","18","11","13","15","15","19","36","203"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","1","0","0","0","0","0","0","0","0","0","1","2"
"TATA MOTORS LTD","0","0","1","1","0","1","2","0","0","0","0","0","5"
"TATA MOTORS PASSENGER VEHICLES LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","0","0","1","1","0","0","0","0","0","0","0","2"
"TVS MOTOR COMPANY LTD","6","13","15","24","17","17","6","4","12","8","15","18","155"
"ULTRA MOTORS INDIA PVT LTD","0","0","3","0","0","0","0","1","0","1","0","0","5"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","0","1","0","0","0","0","0","0","0","0","0","1"
