"Maker and Month Wise Data for Maharashtra (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"3EV INDUSTRIES PVT LTD","0","1","6","0","0","1","0","0","0","5","9","4","26"
"A K AUTTO ELECTRICAL","0","1","1","0","0","0","0","0","0","0","0","0","2"
"A P I MOTORS PVT LTD","0","0","0","0","0","0","2","0","0","0","9","0","11"
"AAHANA COMMERCE PVT LTD","0","0","0","0","0","3","0","0","0","0","0","0","3"
"ACTION CONSTRUCTION EQUIPMENT LTD.","63","61","81","72","67","72","51","62","58","55","75","70","787"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","1","0","1","0","1","0","0","0","0","0","3"
"ADISHWAR AUTO RIDE INDIA PVT LTD","34","45","43","23","25","33","15","10","10","22","9","9","278"
"ADRIS ELECTRIC PVT LTD","5","2","5","5","5","1","0","0","2","0","0","0","25"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","9","0","3","3","15"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","1","2","0","0","0","0","5","0","0","8"
"AGRO INDUSTRIES","2","1","1","3","9","0","1","0","0","0","3","1","21"
"AHITESHAM AGRO ENGINEERING","0","1","1","1","0","2","1","0","1","2","1","1","11"
"AJANTA KRUSHI YANTRA","0","33","1","0","0","1","2","2","1","29","0","2","71"
"AJAX ENGINEERING LTD","13","20","29","23","31","28","34","20","28","12","31","28","297"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","2","2","1","0","0","0","0","0","0","1","0","6"
"AKASH AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AKASH TRAILOR","2","0","3","5","3","1","0","5","1","4","4","2","30"
"AKSHAY INDUSTRIES","7","4","0","0","0","0","0","0","0","0","0","0","11"
"ALL TERRAIN CRANE","12","13","17","8","6","6","3","13","10","5","15","9","117"
"ALTIGREEN PROPULSION LABS PVT LTD","0","5","0","10","11","0","10","21","5","0","14","34","110"
"ALTIUS TECHNOLOGIES","0","4","0","1","0","0","0","0","0","0","0","0","5"
"AMAR AGRO SALES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AMBIKA INDUSTRIES","0","2","0","0","0","0","0","0","0","0","0","0","2"
"AMMANN INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","0","0","0","0","0","7","5","17","9","38"
"AMPERE VEHICLES PRIVATE LIMITED","815","902","1407","1011","961","1175","899","936","878","1305","1443","362","12094"
"ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE","0","0","0","0","0","0","0","0","0","0","5","1","6"
"ANVITA AUTO TECH WORKS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","1","2","1","1","3","1","1","0","1","1","0","12"
"ARD EXIM","0","1","3","1","0","0","0","0","0","1","0","0","6"
