"Maker and Month Wise Data for Meghalaya (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","1","2","3","1","1","3","3","0","3","7","3","2","29"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","1","2"
"AJAX ENGINEERING LTD","3","2","0","3","0","2","2","1","3","9","1","1","27"
"ALL TERRAIN CRANE","4","0","0","0","0","0","0","0","0","0","0","0","4"
"ASHOK LEYLAND LTD","18","26","14","7","12","2","8","4","4","4","5","3","107"
"ASIA BODY BUILDERS & MANUFACTURERS","0","2","0","0","0","0","0","0","0","0","0","0","2"
"ATHER ENERGY LTD","1","3","1","1","0","0","0","1","0","1","7","5","20"
"AUDI AG","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","325","444","370","332","456","333","292","288","272","352","323","177","3964"
"BEST WAY AGENCIES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","2","1","0","0","0","0","2","0","1","0","0","1","7"
"BULL MACHINES PVT LTD","0","0","1","1","0","1","0","0","0","1","1","1","6"
"BYD INDIA PRIVATE LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","6","0","3","3","1","0","1","0","4","2","0","1","21"
"CATERPILLAR INDIA PRIVATE LIMITED","0","1","0","0","0","0","1","2","1","1","1","1","8"
"CLASSIC LEGENDS PVT LTD","9","5","6","1","2","7","2","1","0","7","4","1","45"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","0","0","1","1","0","0","0","0","2"
"CONVENIENT MACHINES PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","1","2","2","0","0","7","0","0","1","8","3","24"
"DEMAG DEMAG HC 340","0","0","2","0","0","0","0","0","0","0","0","0","2"
"DUCATI INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"EICHER TRACTORS","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","0","0","0","0","0","2","0","0","0","3"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","2","1","2","3","1","2","1","0","1","5","1","5","24"
"ESCORTS TRACTORS LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"FEDE INDUSTRIES PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","1","0","1","0","0","0","0","0","2"
"FORCE MOTORS LIMITED","3","1","7","2","3","2","4","2","0","2","3","2","31"
"FRED INDIA PVT LTD","0","0","5","0","0","0","0","0","0","0","0","0","5"
"GENERAL MOTORS INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GROVE INDIA PVT LTD","0","0","4","0","0","0","0","0","0","0","0","0","4"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","0","0","0","0","1","0","0","0","0","0","2"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"HERO HONDA MOTORS  LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"HERO MOTOCORP LTD","40","35","88","50","45","59","71","75","38","58","60","39","658"
"HONDA CARS INDIA LTD","3","2","2","2","3","0","0","0","2","1","2","4","21"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","7","9","14","2","7","8","57","75","60","65","62","27","393"
"HYUNDAI MOTOR INDIA LTD","131","124","126","76","116","91","90","79","97","121","85","84","1220"
"IDEAL JAWA INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"INDIA KAWASAKI MOTORS PVT LTD","1","0","1","3","5","7","1","2","2","2","10","5","39"
"INDIA YAMAHA MOTOR PVT LTD","413","561","647","454","584","490","627","545","583","574","533","338","6349"
"INTERNATIONAL TRACTORS LIMITED","1","0","0","1","1","0","0","1","0","0","0","0","4"
"ISUZU MOTORS INDIA PVT LTD","0","1","4","0","3","2","4","0","2","1","0","0","17"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","0","0","0","0","1","0","1","0","2"
"JCB INDIA LIMITED","46","36","38","30","27","12","17","20","48","62","47","18","401"
"JSW MG MOTOR INDIA PVT LTD","3","2","0","0","4","0","2","1","2","1","2","2","19"
"JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP)","0","0","0","0","0","0","3","0","1","0","0","0","4"
"KAISER WILLYS JEEP","0","0","0","0","0","0","0","0","1","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","6","13","4","2","5","5","6","7","6","3","1","1","59"
"KLB KOMAKI PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"LIUGONG INDIA PVT. LTD","0","0","0","0","0","1","0","1","0","0","0","0","2"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","0","1","0","0","0","1","0","1","0","3"
"MAHINDRA & MAHINDRA LIMITED","406","412","373","434","417","293","352","272","276","320","254","210","4019"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","0","0","0","0","2","0","0","0","0","0","0","2"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","1","0","0","0","0","1","1","0","2","0","0","5"
"MAHINDRA LAST MILE MOBILITY LTD","3","17","328","66","7","11","74","3","10","14","28","2","563"
"MANITOU EQUIPMENT INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","1","0","2"
"MARUTI SUZUKI INDIA LTD","1055","896","944","817","863","693","802","803","729","983","1083","655","10323"
"MARUTI UDYOG LTD","0","2","1","1","2","1","0","3","0","0","0","0","10"
"MERCEDES -BENZ AG","1","0","0","2","0","0","0","0","0","0","0","0","3"
"MERCEDES-BENZ INDIA PVT LTD","3","0","0","1","1","0","2","2","2","0","1","0","12"
"NEW HOLLAND FIAT INDIA PVT. LTD.","0","0","0","0","0","0","0","0","0","0","0","1","1"
"NISSAN MOTOR INDIA PVT LTD","2","4","2","1","0","0","0","0","0","0","3","2","14"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","24","8","2","0","16","20","34","5","13","10","4","12","148"
"OM INDUSTRIES","0","0","0","0","0","0","0","0","0","4","0","0","4"
"PIAGGIO VEHICLES PVT LTD","60","58","74","68","150","104","89","83","102","65","64","43","960"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","1","0","0","1","0","0","0","0","0","0","0","0","2"
"RENAULT INDIA PVT LTD","0","3","2","0","3","1","1","2","3","0","3","1","19"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","87","111","109","83","95","127","87","116","109","154","127","69","1274"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","0","0","0","1","0","1","1","1","0","0","0","4"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","6","1","5","3","3","4","4","0","2","4","3","35"
"SML MAHINDRA LTD","0","0","0","0","1","0","0","0","0","5","0","0","6"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"STELLANTIS INDIA PVT LTD","1","1","0","1","0","0","0","1","0","0","0","1","5"
"SUZUKI MOTORCYCLE INDIA PVT LTD","162","106","164","151","183","159","233","254","215","222","175","121","2145"
"TAFE LIMITED","0","0","0","0","0","0","0","1","0","0","0","0","1"
"TATA ADVANCED SYSTEMS LTD","0","16","8","0","0","0","0","0","0","0","0","0","24"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","1","1","0","0","0","0","0","0","1","0","0","3"
"TATA MOTORS LTD","90","120","81","119","67","58","69","56","57","67","77","89","950"
"TATA MOTORS PASSENGER VEHICLES LTD","64","51","40","43","29","38","49","50","38","56","40","39","537"
"TATA PASSENGER ELECTRIC MOBILITY LTD","0","3","3","2","4","3","2","1","1","3","1","1","24"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","21","16","18","29","17","15","22","13","19","30","20","18","238"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","2","1","0","0","0","0","0","0","0","3"
"TVS MOTOR COMPANY LTD","539","600","824","576","790","630","683","633","663","697","535","241","7411"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","1","1","0","1","0","0","1","1","0","5"
"VE COMMERCIAL VEHICLES LTD","5","2","4","4","0","3","1","0","2","0","1","0","22"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"WIRTGEN INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","2","0","3"
"WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP)","0","0","0","0","3","0","1","0","0","0","1","1","6"
"XCMG CONSTRUCTION MACHINERY CO. LTD.","0","0","0","0","0","0","0","3","0","0","0","0","3"
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ZENIAK INNOVATION INDIA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","0","1","0","0","0","0","0","1","0","1","3"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","0","0","1","1","0","0","0","0","0","1","0","3"
