"Maker and Month Wise Data for Manipur (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"AJAX FIORI ENGINEERING PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ASHOK LEYLAND LTD","2","17","35","10","11","6","3","2","9","6","18","12","131"
"AUDI AG","0","0","0","0","0","1","0","2","0","1","3","0","7"
"BAJAJ AUTO LTD","112","100","124","213","165","178","153","116","69","243","129","158","1760"
"BAJAJ IMPLEMENTS PVT. LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BEML LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CAPTAIN TRACTORS PVT. LTD.","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CASE EQUIPMENT PRIVATE LTD","0","1","0","0","0","0","0","0","1","1","5","0","8"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CHEVROLET SALES INDIA PVT LTD","0","0","0","1","0","0","0","0","1","0","0","0","2"
"CHRYSLER MOTORS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","1","0","0","0","1","0","1","0","0","1","4"
"EICHER MOTORS LTD","0","0","1","1","0","0","0","0","2","0","2","5","11"
"EICHER POLARIS PVT. LTD.","0","0","0","0","0","0","0","0","0","0","0","2","2"
"EICHER TRACTORS","0","0","0","0","0","0","0","2","0","0","0","0","2"
"ELECTROTHERM (I) LIMITED","0","0","0","0","2","0","0","0","0","0","0","0","2"
"ESCORT JCB LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","0","1","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","0","1","2","0","2","0","1","2","4","1","0","1","14"
