"Maker and Month Wise Data for Manipur (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"AAHANA COMMERCE PVT LTD","0","0","2","0","0","0","0","0","0","2"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","1","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","1","0","0","0","0","0","0","2"
"AJAX ENGINEERING LTD","0","0","0","2","0","0","0","0","0","2"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","2","0","0","0","0","2"
"APSARA ENTERPRISE","0","0","0","0","4","1","0","0","0","5"
"ASHOK LEYLAND LTD","0","0","1","1","0","1","0","1","2","6"
"ATUL GREENTECH PRIVATE LIMITED","0","2","0","0","0","0","1","0","0","3"
"BAJAJ AUTO LTD","123","133","229","62","152","109","36","47","1","892"
"BIG BULL TRADER PVT LTD","11","13","18","11","24","16","10","17","3","123"
"BMW INDIA PVT LTD","0","0","0","0","2","0","0","0","0","2"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","0","1","0","0","1"
"CLASSIC LEGENDS PVT LTD","1","12","1","10","2","14","4","6","0","50"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","0","0","0","1","1"
"ESCORTS LTD","0","0","1","0","0","0","0","0","0","1"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","1","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","1","0","0","0","0","13","0","0","0","14"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","3","0","0","0","0","0","0","0","3"
"HERO MOTOCORP LTD","135","159","228","171","212","236","143","252","26","1562"
"HONDA CARS INDIA LTD","7","4","6","0","12","1","3","7","0","40"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1144","1215","1280","917","1383","1105","212","207","27","7490"
"HOOGHLY MOTORS PVT LTD","0","0","0","0","0","3","0","0","0","3"
"HOTAGE INDIA","1","0","1","0","0","0","0","0","0","2"
"HYUNDAI MOTOR INDIA LTD","59","71","72","47","52","42","14","15","2","374"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","2","0","0","0","0","2"
"INDIA YAMAHA MOTOR PVT LTD","41","39","35","21","104","73","46","80","7","446"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","0","0","1","0","1"
"ISUZU MOTORS INDIA PVT LTD","0","0","1","0","0","0","0","0","0","1"
"J. S. AUTO (P) LTD","0","0","0","0","0","1","0","0","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","1","1","0","0","0","0","0","0","0","2"
"JCB INDIA LIMITED","1","7","5","3","9","12","0","2","2","41"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","1","0","1","0","0","0","0","0","0","2"
"JSW MG MOTOR INDIA PVT LTD","9","10","7","8","3","8","9","5","2","61"
"KIA INDIA PRIVATE LIMITED","14","22","27","15","20","14","17","6","3","138"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","0","0","2","1","0","0","0","0","3"
"LIUGONG INDIA PVT. LTD","1","0","0","0","0","1","0","0","0","2"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","0","3","0","0","0","0","3"
"MAHINDRA & MAHINDRA LIMITED","146","193","150","113","132","95","81","80","8","998"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","1","2","0","1","1","1","0","0","6"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","1","1","0","1","2","0","1","1","7"
"MAHINDRA LAST MILE MOBILITY LTD","26","26","30","23","37","16","0","4","0","162"
"MARUTI SUZUKI INDIA LTD","336","333","341","206","332","150","67","68","11","1844"
"MERCEDES-BENZ INDIA PVT LTD","1","0","0","0","0","0","0","2","0","3"
