"Maker and Month Wise Data for Madhya Pradesh (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","12","4","21","20","22","27","19","32","157"
"A D AGRO WORKS","0","1","0","0","0","1","0","1","0","0","0","0","3"
"A K GUPTA & CO.","4","6","4","2","0","1","0","0","0","2","0","0","19"
"A P I MOTORS PVT LTD","11","6","5","1","6","1","2","1","1","4","1","2","41"
"A.J ENTERPRISES","0","0","0","0","0","0","1","2","0","0","0","0","3"
"A.V.AUTOMOTIVES PVT LTD","25","21","8","10","10","7","8","20","14","14","21","8","166"
"AADHYA ENTERPRISES","0","0","0","0","0","0","0","0","3","1","2","0","6"
"AAHANA COMMERCE PVT LTD","0","1","0","1","2","0","0","0","0","0","0","0","4"
"ACCRETION POWER AUTOS","0","0","0","0","0","3","1","0","0","0","0","0","4"
"ACTION CONSTRUCTION EQUIPMENT LTD.","37","46","49","47","38","44","45","52","40","53","54","64","569"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","1","0","0","0","0","2","0","0","0","3"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","1","0","0","1","0","0","2"
"ADM TECHNOLOGIES PVT. LTD.","0","0","0","0","0","0","0","9","0","1","0","0","10"
"ADRIS ELECTRIC PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","1","0","5","0","0","1","0","1","8"
"AJAX ENGINEERING LTD","32","36","55","43","42","28","25","21","16","46","29","21","394"
"AJAY MOTORS PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AKAL AGRO INDUSTRY","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ALL TERRAIN CRANE","0","0","0","0","0","0","0","0","0","0","0","1","1"
