"Maker and Month Wise Data for Mizoram (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","1","0","0","0","0","1","0","0","0","1","0","0","3"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AJAX ENGINEERING LTD","0","2","3","5","0","0","0","0","0","3","2","1","16"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","1","0","0","0","0","0","2","4","0","0","0","7"
"ASHOK LEYLAND LTD","30","36","33","23","1","16","7","26","25","30","45","19","291"
"ATHER ENERGY LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BAJAJ AUTO LTD","82","54","52","44","0","18","24","29","32","40","48","58","481"
"BMW INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","1","0","2"
"BULL MACHINES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","4","2","0","0","0","1","0","0","5","0","0","12"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","1","0","2","4"
"CLASSIC LEGENDS PVT LTD","34","33","38","25","0","11","8","16","11","27","30","18","251"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","3","1","0","0","0","1","7","3","1","0","16"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","1","0","0","0","0","0","1","0","0","0","3","5"
"FORCE MOTORS LIMITED","0","0","0","0","0","0","0","0","0","0","0","2","2"
"FORD INDIA PVT LTD","5","4","3","2","0","0","0","0","0","1","0","0","15"
"H-D MOTOR COMPANY INDIA PVT LTD","1","0","0","0","0","0","0","1","0","1","0","0","3"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HERO HONDA MOTORS  LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HERO MOTOCORP LTD","54","52","77","28","0","26","11","14","62","49","65","37","475"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","363","306","284","187","1","104","124","127","164","256","196","200","2312"
"HYUNDAI MOTOR INDIA LTD","95","68","69","60","1","39","34","58","37","48","48","41","598"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","1","0","0","1","0","0","0","0","1","1","5"
"INDIA YAMAHA MOTOR PVT LTD","690","558","490","342","9","49","221","242","317","439","457","495","4309"
"ISUZU MOTORS INDIA PVT LTD","0","0","0","1","0","0","2","0","0","1","0","1","5"
"JCB INDIA LIMITED","4","22","34","15","0","16","9","3","5","18","15","11","152"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","0","0","0","0","0","0","2","1","0","0","3"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","1","0","1","2","0","3","0","0","2","0","3","1","13"
"LIUGONG INDIA PVT. LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","1","0","0","0","0","0","0","1","0","0","0","2"
"MAHINDRA & MAHINDRA LIMITED","122","97","101","68","3","139","90","81","88","77","120","82","1068"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","1","1","1","2","0","0","0","0","0","0","1","0","6"
"MANITOU EQUIPMENT INDIA PVT LTD","0","1","0","0","0","0","1","0","1","0","1","0","4"
"MARUTI SUZUKI INDIA LTD","267","299","291","152","2","155","122","126","161","174","193","257","2199"
"MARUTI UDYOG LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"NISSAN MOTOR INDIA PVT LTD","5","13","11","3","0","6","5","2","4","0","4","1","54"
"PIAGGIO VEHICLES PVT LTD","109","101","95","62","1","27","31","20","35","49","50","55","635"
"RENAULT INDIA PVT LTD","12","4","22","16","0","14","5","5","13","8","9","11","119"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","89","105","96","60","0","36","40","44","61","42","35","66","674"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","1","2"
"SML MAHINDRA LTD","29","27","38","18","2","15","3","8","23","15","16","11","205"
"STELLANTIS INDIA PVT LTD","0","0","1","0","0","1","1","1","0","0","1","1","6"
"SUZUKI MOTORCYCLE INDIA PVT LTD","879","1067","953","633","3","259","531","533","674","840","837","727","7936"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","1","0","0","0","0","0","2","0","2","0","5"
"TATA MOTORS LTD","172","183","158","102","2","92","77","73","112","115","147","101","1334"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","4","0","0","0","0","3","0","0","1","0","2","10"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","0","0","0","1","0","1","0","2","4"
"TVS MOTOR COMPANY LTD","319","272","246","166","1","121","108","37","132","160","129","100","1791"
"VE COMMERCIAL VEHICLES LTD","0","15","0","0","0","0","0","0","2","0","3","0","20"
"WIRTGEN INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA","0","0","0","0","0","0","0","0","0","2","0","0","2"
