"Maker and Month Wise Data for Nagaland (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","12","0","14","14","14","8","11","4","9","1","8","7","102"
"AGRO INDUSTRIES","0","0","0","0","0","3","0","0","0","0","0","0","3"
"AJAX FIORI ENGINEERING PVT LTD","0","1","5","1","6","0","4","0","3","0","0","2","22"
"ALL TERRAIN CRANE","0","0","6","0","0","0","0","1","0","1","0","0","8"
"AMW MOTORS LIMITED","0","0","6","2","0","0","0","0","0","2","0","1","11"
"ASHOK LEYLAND LTD","184","85","982","484","191","249","249","250","287","230","195","246","3632"
"ATLAS COPCO INDIA LIMITED","0","0","1","0","1","0","0","0","0","0","0","0","2"
"AUDI AG","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BAJAJ AUTO LTD","97","38","132","93","99","88","122","143","126","116","64","61","1179"
"BALVI KRUPA INDUSTRIES","0","0","0","0","0","0","0","1","0","0","1","0","2"
"BEML LIMITED","1","0","0","0","0","2","0","0","1","1","1","0","6"
"CARGOTEC INDIA PVT LTD","0","1","0","0","0","0","1","0","0","0","0","0","2"
"CASE EQUIPMENT PRIVATE LTD","3","1","11","3","5","5","2","2","5","6","2","4","49"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","1","0","0","0","0","0","0","1","0","0","2"
"CATERPILLAR INDIA PRIVATE LIMITED","5","1","28","1","3","2","6","2","18","4","3","5","78"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","1","0","1","1","1","0","3","0","1","0","8"
"COLES CRANE","0","0","3","0","1","0","0","1","1","0","0","1","7"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","97","2","122","189","25","39","39","31","105","115","64","49","877"
"DELTA AUTOCORP LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"DEMAG DEMAG HC 340","1","0","0","1","1","0","2","0","1","2","1","1","10"
"DEMAGE MOTORS LTD","0","0","0","2","1","1","3","0","1","4","1","3","16"
"DOOSAN INT INDIA PVT LTD","0","0","0","0","0","0","0","0","5","0","0","0","5"
"EICHER MOTORS LTD","3","8","27","5","7","9","2","2","0","0","3","0","66"
"EICHER TRACTORS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","15","8","40","13","13","13","14","5","9","3","4","1","138"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","0","0","0","0","0","0","0","0","0","1"
"EXPO MACHINERY LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"FORCE MOTORS LIMITED","1","3","7","13","1","2","4","0","1","1","5","3","41"
"FORD INDIA PVT LTD","11","2","9","23","9","11","13","8","17","6","9","3","121"
"GENERAL MOTORS INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","1","2"
"GODREJ AND BOYCE MFG CO LTD","0","0","1","0","2","1","0","0","1","0","0","0","5"
"GOTTWALD","1","0","0","0","0","0","0","0","0","1","0","1","3"
"GREAVES COTTON LTD.","0","0","0","0","1","1","0","0","0","0","0","0","2"
"GREAVES INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GROVE INDIA PVT LTD","1","0","6","1","6","3","5","4","0","5","4","2","37"
"H-D MOTOR COMPANY INDIA PVT LTD","0","1","0","0","0","1","0","0","0","0","0","0","2"
"HAMM AG","0","0","0","2","0","0","0","0","0","0","0","0","2"
"HERO HONDA MOTORS  LTD","0","3","2","2","3","2","3","4","0","0","1","2","22"
"HERO MOTOCORP LTD","86","69","104","130","81","108","92","93","119","85","151","78","1196"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","0","0","0","1","0","1","0","0","0","0","2"
"HONDA CARS INDIA LTD","3","1","4","3","2","2","2","2","1","1","1","1","23"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","61","51","102","120","132","101","94","117","106","126","74","46","1130"
"HYUNDAI MOTOR INDIA LTD","60","9","64","68","48","48","50","44","31","55","35","31","543"
"INDIA YAMAHA MOTOR PVT LTD","54","20","73","110","101","89","73","64","75","47","66","37","809"
"INDITAL CONSTRUCTION MACHINERY","0","0","0","0","1","0","0","0","0","0","0","0","1"
"INDO FARM EQUIPMENT LIMITED","0","0","0","2","0","2","0","0","0","0","1","3","8"
"INGERSOLL RAND INDIA LTD.","0","0","1","0","0","0","0","1","0","0","0","0","2"
"INTERNATIONAL TRACTORS LIMITED","1","0","0","0","0","1","2","2","1","0","1","0","8"
"ISUZU MOTORS INDIA PVT LTD","1","0","0","0","0","0","1","1","2","3","0","1","9"
"JCB INDIA LIMITED","10","6","23","4","10","6","9","3","4","3","5","8","91"
"JCB INDIA LTD","11","2","45","20","22","13","14","17","11","16","17","13","201"
"JCBL LIMITED","0","0","0","1","0","0","0","0","0","0","0","0","1"
"JEEP CHEROKEE","0","0","0","0","0","0","0","0","0","0","0","2","2"
"JESSOP & COMPANY LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","1","0","0","0","0","0","1","0","0","0","0","0","2"
"KALMER INDUSTRIES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"KINETIC MOTOR COMPANY LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"KOMATSU INDIA PRIVATE LIMITED","0","0","9","1","4","1","5","2","1","0","2","0","25"
"KRUP P","0","0","0","0","0","0","0","0","0","1","0","0","1"
"KRUPPA  PVT LTD","0","0","1","1","2","2","0","1","0","5","1","1","14"
"L & T CASE EQUIPMENT PVT LTD","1","0","1","0","5","2","1","0","0","0","2","1","13"
"LEEBOY INDIA","1","0","0","0","0","0","0","0","0","0","0","1","2"
"LIEBHERR","1","0","4","0","0","1","1","0","4","0","5","1","17"
"LIUGONG IND PVT LTD","0","0","0","1","0","1","0","0","0","0","0","0","2"
"LIUGONG INDIA PVT. LTD","5","0","6","12","4","2","2","2","0","0","0","0","33"
"LML LIMITED","1","0","2","2","1","0","0","0","1","0","0","0","7"
"LORAIN","0","0","1","0","0","0","0","0","0","0","0","0","1"
"LUNA LTD","0","0","0","0","1","0","0","0","1","0","0","1","3"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"MAHINDRA & MAHINDRA LIMITED","145","54","306","197","152","142","203","186","209","182","140","141","2057"
"MAHINDRA TWO WHEELERS LTD","13","6","10","34","7","9","5","3","2","1","1","0","91"
"MAN TRUCKS INDIA PVT. LTD.","0","4","6","1","1","1","0","10","8","0","6","3","40"
"MARUTI SUZUKI INDIA LTD","223","82","307","273","273","259","266","253","237","277","214","251","2915"
"MASSEY FERGUSON LTD","1","0","1","0","0","0","0","0","0","0","0","0","2"
"MERCEDES-BENZ INDIA PVT LTD","0","1","0","0","0","0","1","0","0","0","0","0","2"
"MITSUBISHI MOTORS CORPORATION","0","0","2","0","4","0","1","1","0","0","1","0","9"
"NISSAN MOTOR INDIA PVT LTD","54","11","58","54","55","37","46","27","36","32","45","25","480"
"OMEGA CONST. EQUIPT. PVT. LTD.","0","0","0","0","0","0","2","0","0","0","0","0","2"
"OTHERS","13","2","34","30","13","37","30","24","20","25","32","24","284"
"P AND H INDIA LIMITED","0","0","1","1","0","0","0","0","1","0","1","0","4"
"PIAGGIO VEHICLES PVT LTD","0","5","16","10","5","10","4","10","9","16","26","24","135"
"PVT MAKER","0","0","1","1","1","2","0","0","0","0","0","0","5"
"RENAULT INDIA PVT LTD","60","11","43","49","56","42","43","27","35","50","34","19","469"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","29","15","41","45","40","35","24","40","32","38","34","37","410"
"SANY HEAVY INDUSTRY INDIA PVT LTD","1","0","0","0","1","0","1","1","0","0","0","0","4"
"SANY HEAVY INT. LTD. PR C","0","0","0","0","1","0","0","0","0","0","0","0","1"
"SANY INDIA","0","0","0","0","0","0","0","1","0","0","0","0","1"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","8","0","4","4","10","0","0","2","2","1","0","0","31"
"SIMON ENGG DUDLEY LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"SML MAHINDRA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"STANDARD CORPORATION INDIA LTD","0","0","2","0","0","0","0","1","1","0","0","0","4"
"SUZUKI MOTORCYCLE INDIA PVT LTD","38","14","91","116","71","39","54","34","45","62","34","21","619"
"TADANO LIMITED","0","0","0","1","1","1","0","1","2","0","0","0","6"
"TAFE LIMITED","0","1","0","2","0","0","4","1","11","0","0","0","19"
"TATA ADVANCED SYSTEMS LTD","0","1","0","1","0","0","0","0","0","0","0","0","2"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"TATA HITACHI MACHINERY CONSTRUCTION LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"TATA MOTORS LTD","509","442","2570","1088","395","450","557","466","778","707","656","589","9207"
"TEREX CORPORATION","3","0","1","3","2","1","2","1","1","2","1","2","19"
"TEREX EQUIPMENT PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"TIL LIMITED","6","1","14","4","2","8","8","6","3","5","0","5","62"
"TIL LTD","0","0","1","0","0","2","0","0","0","3","2","0","8"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","19","4","28","25","19","13","30","23","15","29","18","9","232"
"TVS MOTOR COMPANY LTD","26","34","90","252","74","65","52","54","52","71","38","102","910"
"VE COMMERCIAL VEHICLES LTD","98","24","184","84","29","16","25","109","104","71","61","46","851"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"VOLTAS LIMITED","0","0","3","1","0","1","5","0","1","1","8","5","25"
"VOLTAS MATERIAL HANDLING PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"VOLVO","0","0","1","0","0","0","0","0","0","0","0","0","1"
"VOLVO AUTO INDIA PVT LTD","0","1","22","1","0","0","0","0","0","0","0","0","24"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","1","1","0","1","0","0","0","0","0","0","3"
"VOLVO GROUP INDIA PVT LTD","5","2","66","13","4","19","8","8","5","3","5","12","150"
"WIRTGEN INDIA PVT LTD","0","0","2","2","2","1","0","1","0","0","0","2","10"
"XCMG CONSTRUCTION MACHINERY CO. LTD.","0","0","1","2","1","0","0","4","1","0","0","0","9"
"ZOOMLION INDIA PVT LTD","0","0","0","0","0","0","0","0","0","2","6","0","8"
