"Maker and Month Wise Data for Odisha (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"A.S.R BODY WORKS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","13","17","21","36","28","24","22","24","17","15","18","19","254"
"ADISHAKTI TRACTORS","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","7","5","6","3","4","4","5","3","2","2","3","1","45"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","5","2","0","1","8"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"AGRO INDUSTRIES","1","0","0","0","5","0","0","0","1","0","0","0","7"
"AJAX ENGINEERING LTD","15","15","19","11","12","6","12","7","3","6","7","13","126"
"AJAY AGRO ENTERPRISES,SBP","2","4","2","4","3","0","2","1","1","1","0","2","22"
"AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","1","1","0","0","0","0","0","0","0","0","0","0","2"
"AJAY ENTERPRISES","0","1","2","0","1","0","0","2","1","0","1","0","8"
"ALL TERRAIN CRANE","0","0","0","0","1","1","0","0","0","0","0","0","2"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","5","0","0","0","0","5"
"AMAN AGRO INDUSTRIES","1","1","3","6","9","2","2","0","0","2","3","6","35"
"AMMANN INDIA PVT LTD","1","2","1","1","2","0","0","0","1","0","0","2","10"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","1","1","3","4","5","4","31","35","36","27","147"
"AMPERE VEHICLES PRIVATE LIMITED","193","222","328","422","437","350","445","319","343","694","580","187","4520"
"AMRIT ENGG WORKS,DKL","5","0","3","10","3","1","2","1","1","1","1","2","30"
"ANUP ENTERPRISES,SNG","0","4","1","0","1","1","0","0","0","0","0","1","8"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","1","3","1","2","1","2","1","0","0","4","0","15"
"APOLLO INFFRATECH PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ARATI ENTERPRISES, BHPATNA","3","0","2","1","0","0","0","1","1","0","0","1","9"
"ASHOK FABRIC & ENGG,RAIRAKHOL","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","302","255","327","429","331","320","240","233","277","309","449","430","3902"
"ATHER ENERGY LTD","0","0","1","0","0","0","0","0","0","0","1","72","74"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","0","0","6","4","1","3","14"
"ATUL AUTO LTD","84","74","82","97","99","91","101","96","110","120","101","91","1146"
"AUDI AG","1","1","0","0","1","1","1","0","1","0","0","0","6"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","2","0","0","0","0","0","0","1","3"
"BABA HARI DAS FABRICATION","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BAJAJ AUTO LTD","3837","3479","4038","3755","3208","2929","2683","2497","3149","5646","3313","3521","42055"
"BALAN ENGINEERING PVT LTD","0","0","0","0","0","2","0","1","1","4","0","0","8"
"BANKU BODY BUILDER","0","0","0","0","0","0","0","0","0","0","1","2","3"
"BASUDEB ENGINEERING, CUTTACK","0","3","1","4","3","1","2","0","0","3","5","4","26"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","0","0","0","0","0","0","0","0","6","18","24"
"BAUTI ENGINEERING,NAYAGARH","1","1","0","0","1","1","0","1","1","0","0","0","6"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","51","40","41","18","32","22","54","47","51","78","52","24","510"
"BEST WAY AGENCIES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BIDISHA ENTERPRISES PVT LTD","1","1","2","5","1","1","1","0","5","2","1","2","22"
"BMW INDIA PVT LTD","31","24","30","30","21","24","25","34","39","32","35","23","348"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","0","0","0","0","0","27","61","32","120"
"BULL MACHINES PVT LTD","2","0","1","2","1","4","1","0","0","1","2","5","19"
"BYD INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","12","11","6","15","12","13","5","19","11","15","26","15","160"
"CATERPILLAR INDIA PRIVATE LIMITED","4","12","15","11","7","15","13","7","4","7","20","7","122"
"CHAMPION POLY PLAST","0","0","0","0","0","0","0","0","1","0","0","0","1"
"CHANDANA CORPORATION","8","8","5","3","2","4","3","3","3","3","2","4","48"
"CLASSIC LEGENDS PVT LTD","132","200","196","172","189","170","151","142","164","213","141","184","2054"
"CNH INDUSTRIAL (INDIA) PVT LTD","46","43","43","30","50","80","85","65","84","45","59","61","691"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","69","70","50","66","39","66","46","33","43","49","82","73","686"
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI","3","0","2","1","5","0","3","0","0","0","0","0","14"
"DELTA AUTOCORP LTD","0","0","0","0","0","0","0","0","0","1","0","2","3"
"DEV ENGINEERING WORKS","2","3","3","8","5","0","3","1","0","2","1","0","28"
"DHANALAKSHMI ENGINEERING WORKS","3","4","5","2","1","1","0","1","2","0","0","2","21"
"DHANAVENKAT ENGG.WORKS","0","0","2","0","1","0","1","0","2","1","1","0","8"
"DHANNLAXMI AUTOWORKS","0","2","0","2","0","0","0","0","0","0","0","0","4"
"DIAMOND ENGG,CTC","0","1","8","4","3","2","7","0","4","0","4","1","34"
"DOOSAN BOBCAT INDIA PVT LTD","5","3","3","7","8","6","4","1","5","7","3","6","58"
"DUCATI INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DULEVO INDIA PVT LTD","0","0","0","0","1","0","0","0","0","2","2","0","5"
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM","0","0","0","2","0","1","0","0","0","0","0","0","3"
"DURGA AGRO ENGG,BALASORE","2","4","2","3","4","4","5","2","1","0","2","3","32"
"DURGA ENGINEERING WORKS","0","1","5","3","0","1","1","0","0","0","0","1","12"
"DURGA&DURGA ENGG WORKS,BHMPUR","0","0","0","0","0","1","0","0","0","0","1","1","3"
"DWARI ENGG WORKS,SAMBALPUR","1","3","1","0","1","0","1","0","0","1","0","0","8"
"EICHER TRACTORS","84","56","52","55","64","83","71","61","35","36","53","47","697"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","51","45","57","44","52","90","83","52","56","55","69","60","714"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","30","24","27","30","27","23","28","25","25","20","27","32","318"
"ESSAR ENGINEERING","3","0","1","6","1","0","1","0","3","1","0","1","17"
"ESSAR ENGINEERING MAYURBHANJ BARIPADA","0","0","0","0","0","0","0","0","0","0","1","0","1"
