"Maker and Month Wise Data for Punjab (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"A D AGRO WORKS","14","4","10","6","9","27","0","3","5","8","1","9","96"
"A K GUPTA & CO.","0","1","0","0","1","0","0","0","4","24","0","0","30"
"A R AGRO TECH","0","0","0","0","0","0","0","0","0","0","0","2","2"
"AADITYA GARBAGE PRODUCTS PVT LTD","0","0","0","0","1","8","0","0","0","1","3","0","13"
"ACTION CONSTRUCTION EQUIPMENT LTD.","9","4","6","7","8","37","2","3","6","14","3","5","104"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","3","0","1","0","0","0","0","0","0","0","0","0","4"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","1","0","0","1","0","16","0","0","0","0","0","0","18"
"AJAX ENGINEERING LTD","0","0","1","2","3","3","2","1","4","0","4","4","24"
"AJIT ENGINEERING WORKS","3","0","0","0","1","2","0","0","0","0","0","0","6"
"AKAL AGRO INDUSTRY","0","2","2","1","1","1","0","0","4","3","0","0","14"
"ALL TERRAIN CRANE","1","1","1","1","0","0","0","0","0","0","0","0","4"
"ALLFINE INDUSTRIES PVT LTD","69","83","93","50","123","170","114","117","86","88","104","72","1169"
"ALTIER ELECTRIC VEHICLES PVT LTD","2","7","13","6","15","10","29","27","19","53","62","50","293"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","1","1","1","4","6","4","4","21"
"AMAR AGRO SALES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMAR ENGG. WORKS","0","2","0","0","0","15","0","0","0","0","0","0","17"
"AMARJEET HARVESTER INDUSTRY","4","2","2","1","1","4","3","0","0","2","1","0","20"
"AMPERE VEHICLES PRIVATE LIMITED","97","75","93","36","290","82","15","43","28","31","10","145","945"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ARD EXIM","0","0","0","2","0","0","0","0","0","0","0","0","2"
"ARNA ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","5","5","5","15","9","39"
"ASHOK LEYLAND LTD","206","273","293","313","315","229","192","189","201","200","247","220","2878"
"ATHER ENERGY LTD","0","14","4","2","153","4","27","26","37","33","57","21","378"
"ATTOLENT AUTO GROUP PVT LTD","0","3","0","3","2","4","0","1","2","5","5","3","28"
"ATUL AUTO LTD","20","17","36","18","16","16","11","11","51","24","8","10","238"
"ATUL GREENTECH PRIVATE LIMITED","0","0","0","0","0","0","0","0","12","26","21","22","81"
"ATUT SANGAM","0","7","17","2","2","1","5","17","7","20","8","10","96"
"AUDI AG","3","3","5","2","3","1","1","1","3","1","0","0","23"
"AVL ELECTRIC VEHICLES PVT LTD","4","0","0","4","30","5","6","9","9","4","13","0","84"
"AVON CYCLES LTD","6","7","17","16","2","3","7","8","9","11","17","7","110"
"AVTAR ENGINEERING WORKS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"B24 ROKET EV","0","0","0","0","0","0","0","0","0","0","0","5","5"
"BABA E-VEHICLES","0","0","2","5","16","22","17","21","15","48","18","1","165"
"BAJAJ AUTO LTD","4855","5203","5161","3964","4474","4487","5264","5354","5328","4926","7774","7631","64421"
"BAJAJ IMPLEMENTS PVT. LTD","0","0","0","0","0","8","0","5","4","15","5","14","51"
"BALJEET ENGG. WORKS","0","0","2","1","0","0","0","0","0","0","0","0","3"
"BANSAL AGRICULTURE IMPLEMENTS","0","0","0","0","0","0","0","0","0","1","1","0","2"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","2","7","45","2","7","10","4","10","5","11","103"
"BAXY LTD","0","0","0","0","0","0","0","0","0","0","8","0","8"
"BEML LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","11","7","5","11","9","4","8","2","2","12","3","0","74"
"BEST WAY AGENCIES PVT LTD","23","8","12","32","31","34","36","31","29","18","49","54","357"
"BHAGWAN AGRO INDUSTRIES","0","0","1","1","2","5","0","0","1","1","0","0","11"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","0","2","0","1","0","0","2","4","4","4","17"
"BHOGAL COMBINE SPARE PARTS","0","0","0","3","2","0","0","0","0","0","5","5","15"
"BMW INDIA PVT LTD","10","14","21","19","35","30","30","24","36","22","28","41","310"
"BRIGHT AUTOZONE PVT LTD","0","0","2","0","0","0","0","0","0","1","1","0","4"
"BSMS AGRICULTURE WORKSHOP","0","2","8","1","2","10","0","8","7","4","3","6","51"
"BULL MACHINES PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BYD INDIA PRIVATE LIMITED","1","6","0","0","7","6","3","2","5","3","3","5","41"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","3","4","5","7","0","1","1","3","6","0","30"
"CATERPILLAR INDIA PRIVATE LIMITED","2","4","8","5","1","1","0","5","1","2","8","0","37"
"CEEON INDIA","1","1","8","5","15","7","6","7","13","27","5","12","107"
"CHAANY AGRO INDUSTRIES","0","0","0","0","4","4","0","0","0","0","0","0","8"
"CHAMPION POLY PLAST","2","0","3","2","2","5","1","4","1","8","1","4","33"
"CHANNY AGRO INDUSTRIES","0","0","0","0","2","5","0","0","0","0","0","2","9"
"CHAUHAN AUTO INDUSTRIES","17","4","7","1","14","12","26","15","20","27","23","14","180"
"CHETAK TECHNOLOGY LIMITED","0","0","1","0","31","1","1","7","0","0","0","0","41"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","0","0","0","0","0","0","0","7","0","2","0","9"
"CLAAS AGRICULTURAL MACHINERY PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
