"Maker and Month Wise Data for Punjab (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"A D AGRO WORKS","3","8","16","4","0","6","2","14","5","58"
"A K GUPTA & CO.","19","0","0","0","0","11","7","1","0","38"
"A P I MOTORS PVT LTD","1","0","0","0","0","0","0","0","0","1"
"A R AGRO TECH","1","1","0","0","0","0","2","3","0","7"
"A.R. MOTOR","13","0","14","0","8","17","10","33","5","100"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","5","2","1","0","0","0","8"
"AAKK AUTO PVT LTD","0","1","0","10","0","0","2","0","0","13"
"ACTION CONSTRUCTION EQUIPMENT LTD.","11","12","9","14","12","19","22","14","2","115"
"AFKON AUTOMOTIVES PVT LTD","2","0","11","0","15","26","8","10","2","74"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","3","4","3","2","0","2","0","0","14"
"AJAX ENGINEERING LTD","2","2","2","5","6","7","0","4","1","29"
"AKAL AGRO INDUSTRY","1","0","0","0","1","0","0","0","0","2"
"AKG INTERNATIONAL","11","24","17","31","12","31","29","25","1","181"
"ALLFINE INDUSTRIES PVT LTD","8","21","22","34","21","24","25","39","9","203"
"ALTIER ELECTRIC VEHICLES PVT LTD","2","2","0","60","7","21","3","30","11","136"
"AMAN AUTOMOBILES","0","1","0","0","0","0","0","0","0","1"
"AMAR ENGG. WORKS","0","0","0","1","0","0","0","0","0","1"
"AMARJEET HARVESTER INDUSTRY","0","1","2","2","1","1","0","2","0","9"
"AMBIKA ENTERPRISES","0","3","0","1","0","0","0","1","0","5"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","3","0","0","1","0","0","4"
"ANGAD AGRO INDUSTRIES","5","1","0","0","0","0","0","0","0","6"
"ARNA ELECTRIC AUTO PVT LTD","4","0","0","0","1","0","0","0","0","5"
"ASHOK LEYLAND LTD","295","234","396","426","235","296","285","272","73","2512"
"ATHER ENERGY LTD","255","226","424","351","347","313","347","300","37","2600"
"ATUL AUTO LTD","9","9","6","8","5","11","16","11","2","77"
"ATUL GREENTECH PRIVATE LIMITED","0","1","0","9","0","3","2","1","0","16"
"ATUT SANGAM","9","3","4","3","2","0","0","3","0","24"
"AUDI AG","0","0","1","0","1","0","0","1","0","3"
"AVL ELECTRIC VEHICLES PVT LTD","0","31","30","25","26","27","11","21","9","180"
"AVON CYCLES LTD","5","5","2","12","6","6","2","24","0","62"
"B24 ROKET EV","13","22","16","11","4","14","22","10","1","113"
"BABA E-VEHICLES","2","2","0","0","0","1","0","1","0","6"
"BAJAJ AUTO LTD","7474","5925","6431","5513","5803","6098","6194","6026","1044","50508"
"BAJAJ IMPLEMENTS PVT. LTD","5","1","6","7","1","0","0","1","0","21"
"BALJEET ENGG. WORKS","0","0","1","0","0","0","0","0","0","1"
"BANSAL AGRICULTURE IMPLEMENTS","0","0","0","0","0","0","1","0","2","3"
"BAXY LTD","5","8","33","24","50","77","60","46","2","305"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","2","0","0","0","0","0","0","0","0","2"
"BEST WAY AGENCIES PVT LTD","1","4","4","4","2","1","4","4","0","24"
"BHARAT MECHANICAL WORKS","0","1","0","1","2","0","0","5","0","9"
"BHAVE ELECTRIC VEHICLES PVT LTD","2","0","0","1","0","5","1","0","0","9"
"BHOGAL COMBINE SPARE PARTS","0","4","1","0","0","0","10","0","0","15"
"BMW INDIA PVT LTD","40","51","18","43","33","31","31","29","10","286"
"BRIGHT AUTOZONE PVT LTD","6","4","0","23","0","0","2","1","6","42"
"BSMS AGRICULTURE WORKSHOP","1","1","4","0","0","1","0","0","0","7"
"BULL MACHINES PVT LTD","1","4","3","2","8","0","3","1","1","23"
"BYD INDIA PRIVATE LIMITED","7","11","6","19","16","23","23","20","2","127"
"CART INDIA","0","0","0","0","7","5","0","12","0","24"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","9","7","5","9","8","12","5","3","61"
"CATERPILLAR INDIA PRIVATE LIMITED","2","3","2","3","2","0","2","0","0","14"
"CEEON INDIA","4","4","0","0","0","1","0","2","0","11"
"CHAANY AGRO INDUSTRIES","0","0","0","0","2","1","0","0","0","3"
"CHAMPION POLY PLAST","0","4","3","4","1","3","3","3","0","21"
"CHANNY AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","1"
"CHAUHAN AUTO INDUSTRIES","13","13","17","21","7","21","6","14","0","112"
"CLASSIC LEGENDS PVT LTD","279","235","232","259","222","218","264","289","65","2063"
"CNH INDUSTRIAL (INDIA) PVT LTD","776","621","798","848","732","658","782","860","114","6189"
"CONMAT HEAVY INDUSTRIES PVT LTD","1","0","0","0","0","0","1","0","1","3"
"CONTINENTAL ENGINES PVT LTD","0","0","0","1","0","0","0","0","0","1"
"CRANE KRAFT INDIA PRIVATE LIMITED","3","0","1","2","2","2","5","3","0","18"
