"Maker and Month Wise Data for Puducherry (2025)"

"Maker","2025-Jan","2025-Feb","2025-Mar","2025-Apr","2025-May","2025-Jun","2025-Jul","2025-Aug","2025-Sep","2025-Oct","2025-Nov","2025-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","2","1","1","0","0","0","0","0","0","4"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AJAX ENGINEERING LTD","0","0","1","0","1","1","0","0","0","0","0","0","3"
"ASHOK LEYLAND LTD","16","22","14","21","17","14","20","11","28","30","9","12","214"
"ATHER ENERGY LTD","51","53","50","52","46","47","42","43","52","43","45","46","570"
"ATUL AUTO LTD","3","1","3","3","1","3","9","0","3","2","5","3","36"
"ATUL GREENTECH PRIVATE LIMITED","3","7","8","10","4","1","0","4","1","1","1","2","42"
"AUDI AG","0","0","1","0","0","0","0","0","0","2","1","0","4"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","1","0","0","3","0","0","4"
"BAJAJ AUTO LTD","660","451","469","478","494","456","458","452","426","599","509","404","5856"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","0","1","0","0","0","0","0","1","0","0","2"
"BGAUSS AUTO PRIVATE LIMITED","6","10","17","6","5","5","1","0","26","26","33","27","162"
"BMW INDIA PVT LTD","30","27","23","17","13","16","18","8","12","19","22","16","221"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"BULL MACHINES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BYD INDIA PRIVATE LIMITED","0","1","2","1","0","1","1","0","0","0","1","0","7"
"CLASSIC LEGENDS PVT LTD","13","23","13","15","13","20","13","14","15","18","17","9","183"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","0","1","0","0","0","0","0","1","2"
"CONVENIENT MACHINES PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","4","3","3","2","0","8","3","11","4","5","0","3","46"
"DILLI ELECTRIC AUTO PVT LTD","0","0","1","3","1","1","0","1","0","1","0","0","8"
"DSR EV MOBILITY PVT LTD","2","1","0","1","1","0","3","1","0","2","0","0","11"
"DUCATI INDIA PVT LTD","3","1","0","2","1","0","1","0","0","0","1","0","9"
"E ROYCE MOTORS INDIA PVT LTD","0","0","0","0","0","40","60","0","0","0","0","0","100"
"EICHER TRACTORS","0","0","1","3","1","0","0","0","2","3","0","0","10"
"ENVISION ELECTRIC VEHICLES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","1","0","1","0","0","0","1","0","0","0","0","3"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","0","0","1","0","0","0","0","0","1","0","0","3"
"FERRARI SPA (IMPORTER:SELECT CARS P LTD)","0","0","0","0","0","0","0","0","0","0","1","0","1"
"FORCE MOTORS LIMITED","2","8","16","7","9","12","19","16","15","17","19","11","151"
"GAURA ELECTRIC VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"GREAVES ELECTRIC MOBILITY LTD","20","19","13","19","9","11","19","13","6","10","10","8","157"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","2","1","1","1","0","0","0","0","0","0","6"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","0","1","0","0","0","0","1","2"
"HERO MOTOCORP LTD","626","473","569","608","515","591","626","538","505","934","610","500","7095"
"HONDA CARS INDIA LTD","67","37","35","35","38","18","40","37","22","34","29","54","446"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","567","572","623","614","605","619","678","564","456","801","670","606","7375"
"HYUNDAI MOTOR INDIA LTD","116","109","110","115","98","85","113","102","81","126","110","163","1328"
"INDIA KAWASAKI MOTORS PVT LTD","3","2","3","3","2","1","1","0","0","1","0","3","19"
"INDIA YAMAHA MOTOR PVT LTD","480","320","277","355","354","336","351","353","339","477","259","294","4195"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","1","0","1","0","0","0","0","0","0","2"
"ISUZU MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","1","2","0","1","4"
"JAGUAR LAND ROVER INDIA LIMITED","5","2","4","7","3","4","4","8","3","1","6","4","51"
"JCB INDIA LIMITED","0","0","1","1","1","0","0","0","0","0","1","2","6"
"JIANGSU SUNHOU (IMPORTER: SABOO TOR)","0","1","0","0","0","0","0","0","0","0","0","0","1"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","2","0","0","0","2","0","1","0","0","0","0","6","11"
"JSW MG MOTOR INDIA PVT LTD","43","30","22","30","21","17","15","12","14","14","6","14","238"
"KIA INDIA PRIVATE LIMITED","120","85","112","121","77","74","88","85","74","113","82","119","1150"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","9","8","6","14","6","3","8","7","6","4","7","2","80"
"KLB KOMAKI PVT LTD","1","1","0","0","0","0","1","1","0","1","0","2","7"
"KTM MOTORRAD AG","0","0","0","0","1","0","0","0","0","0","0","0","1"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","0","2","0","4","0","0","0","0","1","0","0","0","7"
"LECTRIX E VEHICLES PVT LTD","0","0","0","0","0","0","0","2","1","0","0","0","3"
"LOTUS CARS LTD (IMPORTER: EXCLUSIVE MOTORS P LTD)","0","0","0","1","0","0","0","0","0","0","0","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","1","0","1","0","0","0","0","0","0","0","1","3"
"MAHINDRA & MAHINDRA LIMITED","132","115","105","143","85","110","127","101","67","104","109","119","1317"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","1","0","0","4","6","0","4","3","1","0","0","3","22"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","0","0","0","6","0","3","3","1","2","5","6","26"
"MAHINDRA LAST MILE MOBILITY LTD","4","18","7","13","17","8","11","8","7","10","9","9","121"
