"Maker and Month Wise Data for Sikkim (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ASHOK LEYLAND LTD","17","1","0","12","0","1","1","1","2","2","1","1","39"
"ATLAS AUTO INDUSTRIES         ","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AUDI AG","2","0","1","0","0","0","0","0","0","0","0","1","4"
"BAJAJ AUTO LTD","33","17","15","13","30","30","20","20","15","16","25","10","244"
"BAJAJ TEMPO LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BMW INDIA PVT LTD","1","0","0","1","0","0","1","0","1","0","0","0","4"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","3","0","0","0","0","0","0","0","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","0","0","0","1","0","1","2","4"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"CHEVROLET SALES INDIA PVT LTD","0","0","4","1","0","1","1","0","2","1","1","0","11"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","1","0","0","0","0","0","3","4"
"DSK MOTOWHEELS PVT LTD.","0","1","0","0","0","1","0","0","1","0","0","0","3"
"DUCATI MOTOR HOLDING S.P.A","0","1","0","0","0","0","0","0","0","0","1","0","2"
"EICHER MOTORS LTD","0","1","3","5","0","4","0","1","3","0","15","4","36"
"FORCE MOTORS LIMITED","1","0","0","0","0","2","0","1","0","1","1","1","7"
"FORD INDIA PVT LTD","7","5","7","6","14","6","12","15","10","11","5","9","107"
"GENERAL MOTORS INDIA PVT LTD","1","0","0","0","3","1","1","1","1","0","0","0","8"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","0","0","0","1","1","1","1","4"
"HERO HONDA MOTORS  LTD","3","5","3","2","2","2","1","3","3","0","1","0","25"
"HERO MOTOCORP LTD","1","0","1","1","0","1","1","1","0","1","0","0","7"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","0","0","0","1","0","0","3","2","1","0","7"
"HMT LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"HONDA CARS INDIA LTD","1","1","1","0","0","2","4","6","0","2","0","1","18"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","8","9","6","7","2","12","17","6","11","12","12","6","108"
"HYUNDAI MOTOR INDIA LTD","26","22","32","28","25","30","25","29","26","32","21","19","315"
"INDIA YAMAHA MOTOR PVT LTD","14","8","11","13","13","14","16","16","22","8","7","7","149"
"ISUZU MOTORS INDIA PVT LTD","0","0","1","0","0","0","0","0","0","2","0","1","4"
"JCB INDIA LIMITED","0","0","1","0","2","3","0","1","0","0","4","0","11"
"MAHINDRA & MAHINDRA LIMITED","92","104","130","100","109","105","91","97","93","85","77","59","1142"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"MAHINDRA TWO WHEELERS LTD","0","0","1","1","0","0","0","1","1","0","1","0","5"
"MAN TRUCKS INDIA PVT. LTD.","0","0","3","7","2","1","2","0","5","0","11","1","32"
"MARUTI SUZUKI INDIA LTD","160","187","192","191","174","187","176","179","182","157","180","138","2103"
"MARUTI UDYOG LTD","3","1","1","2","2","1","2","3","0","4","2","0","21"
"MERCEDES-BENZ INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1","0","1","3"
"NISSAN MOTOR INDIA PVT LTD","6","1","1","2","2","2","0","2","1","1","1","3","22"
"OTHERS","0","0","0","1","0","1","1","0","1","1","0","2","7"
"PIAGGIO VEHICLES PVT LTD","0","1","0","1","0","0","0","0","0","1","0","1","4"
"RENAULT INDIA PVT LTD","14","14","9","18","13","5","8","19","14","7","15","4","140"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","17","18","8","16","17","16","13","19","23","18","16","15","196"
"SCOOTERS INDIA LTD","0","1","0","0","0","0","1","0","0","0","1","0","3"
"SDLG","0","0","0","0","0","0","0","0","0","0","0","1","1"
"SKODA AUTO INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"SML MAHINDRA LTD","0","0","0","0","3","2","1","0","2","0","0","0","8"
"SUZUKI MOTORCYCLE INDIA PVT LTD","0","1","1","0","0","0","1","2","0","0","0","1","6"
"SWARAJ AUTOMOTIVES LTD","0","0","0","1","1","0","0","0","0","0","0","0","2"
"TATA MOTORS LTD","31","46","38","33","25","33","29","36","24","7","13","10","325"
"TELCO LTD","1","0","0","1","0","0","0","0","0","0","0","0","2"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","9","13","22","26","12","28","14","17","21","26","15","17","220"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"TVS MOTOR COMPANY LTD","0","1","0","0","0","1","0","0","0","0","0","1","3"
"VE COMMERCIAL VEHICLES LTD","1","0","0","0","1","0","0","0","0","1","1","0","4"
"VOLKSWAGEN INDIA PVT LTD","0","0","1","0","0","2","2","0","0","0","0","0","5"
