"Maker and Month Wise Data for Sikkim (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","1","1","0","0","0","1","0","0","3"
"AJAX ENGINEERING LTD","2","1","0","0","0","0","0","0","0","3"
"ASHOK LEYLAND LTD","0","0","3","3","5","4","8","5","7","35"
"ATHER ENERGY LTD","0","6","0","0","0","0","0","0","0","6"
"BAJAJ AUTO LTD","24","23","32","29","22","18","22","23","6","199"
"BMW INDIA PVT LTD","0","1","1","1","0","0","0","0","0","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","2","0","0","0","0","0","0","2"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","1","0","1"
"CLASSIC LEGENDS PVT LTD","3","0","5","2","3","6","9","6","0","34"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","6","2","8","3","0","2","0","2","23"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","1","0","0","0","0","0","0","0","2"
"FORCE MOTORS LIMITED","2","9","8","8","4","11","1","6","3","52"
"HERO HONDA MOTORS  LTD","0","0","0","0","0","0","1","0","0","1"
"HERO MOTOCORP LTD","12","24","17","12","30","19","7","24","8","153"
"HONDA CARS INDIA LTD","1","0","0","0","0","0","0","0","0","1"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","25","14","18","23","18","26","35","22","7","188"
"HYUNDAI MOTOR INDIA LTD","59","54","49","57","57","64","52","51","11","454"
"INDIA KAWASAKI MOTORS PVT LTD","2","0","0","0","0","0","1","1","0","4"
"INDIA YAMAHA MOTOR PVT LTD","41","47","53","34","53","44","36","32","3","343"
"ISUZU MOTORS INDIA PVT LTD","1","0","0","0","1","0","1","0","0","3"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","1","0","0","1","0","0","2"
"JCB INDIA LIMITED","1","1","3","0","1","0","4","7","0","17"
"JSW MG MOTOR INDIA PVT LTD","1","1","0","0","0","0","0","0","0","2"
"KIA INDIA PRIVATE LIMITED","8","2","8","8","7","14","11","7","2","67"
"M/S GENERAL MOTORS LLC","0","0","0","0","1","0","0","0","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","214","159","135","166","128","143","141","126","24","1236"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","0","0","0","1","0","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","120","124","166","140","162","121","155","157","23","1168"
"MERCEDES-BENZ INDIA PVT LTD","0","0","1","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","0","0","0","1","1","0","1","0","0","3"
"PIAGGIO VEHICLES PVT LTD","1","0","0","0","0","1","1","0","1","4"
"RENAULT INDIA PVT LTD","2","0","0","1","4","9","3","0","0","19"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","144","130","146","148","117","127","103","148","13","1076"
"SKODA AUTO INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","0","3","0","1","4"
"SML MAHINDRA LTD","1","2","4","1","4","2","0","0","0","14"
"SUZUKI MOTORCYCLE INDIA PVT LTD","5","5","9","4","12","15","18","8","3","79"
"TATA MOTORS LTD","17","31","22","14","12","12","19","10","0","137"
"TATA MOTORS PASSENGER VEHICLES LTD","33","31","42","32","39","43","41","24","5","290"
"TATA PASSENGER ELECTRIC MOBILITY LTD","3","0","0","0","1","0","0","1","0","5"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","24","27","48","43","45","39","33","32","7","298"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","0","0","1","0","0","1"
"TVS MOTOR COMPANY LTD","415","292","335","337","369","380","393","330","59","2910"
"VE COMMERCIAL VEHICLES LTD","6","7","7","2","4","6","12","21","9","74"
