"Maker and Month Wise Data for Telangana (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","15","9","14","29","26","27","43","23","19","9","23","17","254"
"ADAPT MOTORS PVT LTD","3","0","0","0","0","0","1","0","0","1","0","0","5"
"ADISHWAR AUTO RIDE INDIA PVT LTD","41","52","41","29","34","32","28","27","24","13","31","19","371"
"ADM TECHNOLOGIES PVT. LTD.","0","0","0","0","0","0","0","0","0","1","0","1","2"
"AJAX ENGINEERING LTD","4","7","7","4","9","7","4","7","6","2","6","6","69"
"AJAX FIORI ENGINEERING PVT LTD","0","1","1","1","0","1","1","0","0","0","0","0","5"
"ALPHA SERVICES","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","5","0","0","0","5","0","0","15","15","42","82"
"AMAR ENGINEERING WORKS","0","1","1","0","0","3","1","3","1","0","2","2","14"
"AMMAN ENGINEERING COMPANY","0","0","0","0","1","2","0","0","0","0","0","0","3"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AMPERE VEHICLES PVT LTD","195","270","345","349","273","360","285","254","279","321","534","291","3756"
"ANJANEYA AGRO LTD","2","2","2","4","1","10","3","8","3","1","2","1","39"
"ANNAPURNA TRAILER IMPLEMENTS AP312671033","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ANVITA AUTO TECH WORKS PVT LTD","0","0","0","0","0","1","1","0","1","0","0","0","3"
"ASHOK LEYLAND LTD","655","716","981","968","948","1094","1053","852","979","956","982","1042","11226"
"ASTON MARTIN LAGONDA LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","158","167","147","130","221","267","154","185","315","437","462","318","2961"
"AUDI AG","16","19","19","26","16","24","17","18","14","19","15","21","224"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BAJAJ AUTO LTD","9441","8663","9536","8273","7617","7794","7479","7026","7825","9011","10966","8115","101746"
"BAJAJ TEMPO LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BALAJI AGRO INDUSTRIES","2","6","6","1","1","2","1","2","1","0","2","1","25"
"BALAJI ENGG WORKS","12","4","9","6","10","4","5","2","6","7","12","10","87"
"BALAJI INDUSTRIES","0","2","8","2","6","7","4","1","6","5","6","5","52"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","0","0","0","0","0","0","0","0","1","5","6"
