"Maker and Month Wise Data for Tamil Nadu (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"3EV INDUSTRIES PVT LTD","0","17","11","3","0","22","0","0","0","6","1","2","62"
"ACTION CONSTRUCTION EQUIPMENT LTD.","35","38","52","49","46","51","42","45","37","33","47","27","502"
"ADISHWAR AUTO RIDE INDIA PVT LTD","45","28","43","38","25","20","28","25","16","9","16","11","304"
"ADRIS ELECTRIC PVT LTD","3","4","4","7","8","4","1","3","3","1","0","1","39"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","2","1","1","4","5","4","0","0","3","6","3","4","33"
"AJAX ENGINEERING LTD","9","8","16","20","14","21","19","11","20","13","18","15","184"
"ALL TERRAIN CRANE","3","1","0","0","1","1","1","0","0","5","0","2","14"
"ALLFINE INDUSTRIES PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ALTIGREEN PROPULSION LABS PVT LTD","10","0","0","10","1","11","0","18","6","26","12","11","105"
"AMMANN INDIA PVT LTD","8","6","10","7","8","6","9","0","3","5","4","7","73"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","2","4","0","2","2","3","1","2","8","24"
"AMPERE VEHICLES PRIVATE LIMITED","896","924","1409","1091","872","873","1007","941","1006","1143","1821","192","12175"
"ANVITA AUTO TECH WORKS PVT LTD","1","5","2","1","1","2","1","3","1","0","1","0","18"
"ARD EXIM","0","1","2","0","0","0","2","1","1","0","1","0","8"
"ASHOK LEYLAND LTD","1762","1719","2032","2046","1993","1869","1968","2073","2245","1723","1942","1719","23091"
"ASTON MARTIN LAGONDA LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","395","238","371","348","354","469","158","718","871","788","979","1049","6738"
"ATUL AUTO LTD","62","55","70","53","63","70","62","71","54","55","57","48","720"
"AUDI AG","13","4","6","0","2","4","5","8","2","1","5","2","52"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","1","1","1","0","0","0","3","1","0","1","8"
"BAJAJ AUTO LTD","17004","13780","14535","11654","10227","9984","10243","12756","14561","13433","14857","9123","152157"
"BAJAJ TEMPO LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BALAN ENGINEERING PVT LTD","1","0","2","4","4","4","5","4","6","2","4","4","40"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","0","0","0","0","0","0","0","0","0","7","7"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","236","276","295","95","109","195","194","190","177","137","195","109","2208"
"BENTLEY MOTORS LIMITED","0","0","0","1","0","0","1","0","0","0","0","1","3"
"BEST WAY AGENCIES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","0","0","0","0","0","0","0","31","40","73","149","115","408"
"BLIX CYCLES AND E-VEHICLES PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BMW INDIA PVT LTD","129","133","193","156","170","150","138","137","183","143","169","158","1859"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","0","0","0","0","0","0","0","0","2","4","1","7"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","0","0","0","0","15","26","19","21","81"
"BULL MACHINES PVT LTD","7","7","13","7","10","9","5","13","13","9","8","15","116"
