"Maker and Month Wise Data for Tripura (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","2","0","0","0","0","0","1","0","0","1","4"
"AJAX ENGINEERING LTD","0","0","0","0","2","1","0","0","2","1","0","0","6"
"AJAX FIORI ENGINEERING PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AMMANN INDIA PVT LTD","0","0","0","0","2","0","0","0","1","0","0","0","3"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"APSARA ENTERPRISE","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ARROW AUTOMOTIVE","2","7","5","2","5","3","1","1","10","1","3","1","41"
"ASHOK LEYLAND LTD","1","5","11","6","1","10","1","6","3","14","13","15","86"
"ATUL AUTO LTD","0","0","0","0","0","0","1","0","1","0","0","0","2"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","2","0","0","0","8","1","11","12","34"
"AVON CYCLES LTD","0","3","0","1","0","0","0","0","3","0","0","0","7"
"BAJAJ AUTO LTD","1490","1348","1525","1329","925","693","1026","1162","1266","1463","1639","1704","15570"
"BENTINCK INDUSTRIES PVT. LTD.","0","1","0","1","1","0","0","0","0","5","5","0","13"
"BIG BULL TRADER PVT LTD","2","1","1","1","1","0","5","2","7","1","9","1","31"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","0","0","0","0","0","8","2","0","10"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","1","7","3","0","0","0","5","9","10","0","0","35"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"CHAMPION POLY PLAST","0","0","0","1","0","1","0","0","4","0","2","0","8"
"CLASSIC LEGENDS PVT LTD","0","0","2","1","0","1","0","2","0","3","1","1","11"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","2","2","1","0","0","2","0","0","0","0","2","9"
"DELTA AUTOCORP LTD","0","6","10","18","2","0","2","4","0","10","0","7","59"
"ELECTRECA VEHICLES","0","0","0","4","0","1","0","0","0","0","0","0","5"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","0","0","0","0","0","3","0","0","3"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","0","1","0","0","0","1","0","1","0","4"
"EXIDE INDUSTRIES LTD","8","7","11","19","2","6","7","2","9","12","7","8","98"
"FORCE MOTORS LIMITED","0","0","0","0","0","0","0","8","1","0","2","0","11"
"FORD INDIA PVT LTD","1","0","0","0","0","1","1","1","1","0","0","0","5"
"FRED INDIA PVT LTD","0","0","0","0","0","0","0","1","1","0","0","0","2"
"G.K. RICKSHAW LTD","47","27","46","19","33","13","7","26","18","26","15","22","299"
"GREAVES COTTON LTD.","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GREEN VALLEY MOTORS","0","0","0","0","0","0","0","1","0","1","0","0","2"
"HERO HONDA MOTORS  LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HERO MOTOCORP LTD","861","798","805","789","437","312","564","575","628","774","892","766","8201"
