"Maker and Month Wise Data for Tripura (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"AAHANA COMMERCE PVT LTD","17","1","2","1","1","5","0","9","0","36"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","1","0","0","0","1","0","2"
"AJAX ENGINEERING LTD","7","9","3","4","5","8","4","2","0","42"
"ARROW AUTOMOTIVE","0","0","2","0","0","0","0","0","0","2"
"ASHOK LEYLAND LTD","11","31","42","33","36","28","10","13","4","208"
"ATHER ENERGY LTD","5","8","13","3","17","24","15","8","0","93"
"ATUL GREENTECH PRIVATE LIMITED","1","3","0","0","0","0","1","2","0","7"
"AVON CYCLES LTD","0","0","0","1","0","0","0","0","0","1"
"BAJAJ AUTO LTD","1628","1590","1292","1249","1138","1191","1234","1202","104","10628"
"BMW INDIA PVT LTD","0","0","0","0","1","0","0","0","0","1"
"BULL MACHINES PVT LTD","0","2","5","0","1","2","2","1","0","13"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","6","3","2","2","0","0","1","3","20"
"CATERPILLAR INDIA PRIVATE LIMITED","0","1","1","0","1","0","0","0","0","3"
"CLASSIC LEGENDS PVT LTD","26","20","14","27","15","19","9","3","7","140"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","2","0","0","2"
"DILLI ELECTRIC AUTO PVT LTD","2","2","2","1","0","0","1","0","0","8"
"DSR EV MOBILITY PVT LTD","0","1","0","0","1","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","1","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","1","0","0","0","0","2","0","0","3"
"FORCE MOTORS LIMITED","5","0","0","0","1","0","2","2","0","10"
"G.K. RICKSHAW LTD","1","2","2","1","0","0","4","1","0","11"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","0","0","0","1","0","0","1","0","2"
"GREAVES ELECTRIC MOBILITY LTD","7","4","5","6","3","23","2","12","0","62"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","1","0","0","0","1","0","0","2"
"HERO MOTOCORP LTD","426","417","401","393","374","507","531","493","74","3616"
"HONDA CARS INDIA LTD","1","1","3","0","1","1","0","0","0","7"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","353","442","515","356","455","345","551","486","24","3527"
"HOOGHLY MOTORS PVT LTD","13","0","17","3","10","11","12","5","0","71"
"HOTAGE INDIA","1","0","1","0","0","0","0","0","0","2"
"HYUNDAI MOTOR INDIA LTD","7","31","38","38","39","42","40","57","2","294"
"INDIA KAWASAKI MOTORS PVT LTD","1","0","0","0","1","0","0","0","0","2"
"INDIA YAMAHA MOTOR PVT LTD","221","175","150","147","194","200","147","168","42","1444"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","1","0","1","0","0","2"
"JAIDKA POWER SYSTEMS PVT LTD","0","0","0","0","0","0","1","3","0","4"
"JCB INDIA LIMITED","11","11","17","16","5","3","6","7","1","77"
"JOYRAM STEEL FABRICATION WORKS","0","0","0","0","0","0","0","1","0","1"
"JSW MG MOTOR INDIA PVT LTD","0","2","1","0","2","0","1","0","0","6"
"KIA INDIA PRIVATE LIMITED","1","1","2","1","3","1","14","12","1","36"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","1","0","0","0","0","0","0","0","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","2","1","1","0","2","0","6"
"MAC AUTO INDIA","0","0","0","0","0","0","1","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","184","156","219","180","143","146","176","179","7","1390"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","5","3","2","1","3","1","0","0","15"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","1","0","0","0","0","2","2","1","6"
"MAHINDRA LAST MILE MOBILITY LTD","139","164","267","167","200","288","234","279","68","1806"
"MANITOU EQUIPMENT INDIA PVT LTD","1","0","2","0","2","0","0","1","0","6"
"MARUTI SUZUKI INDIA LTD","371","336","385","418","427","371","400","419","15","3142"
"MERCEDES-BENZ INDIA PVT LTD","1","0","0","0","0","0","0","1","0","2"
"MLR AUTO LTD","0","1","0","0","0","0","1","0","0","2"
"MOHAN GENERAL TRADING COMPANY","0","5","1","1","0","5","3","0","0","15"
"MOVE STONE SERVICES PVT LTD","0","0","0","0","0","4","3","1","0","8"
"NISSAN MOTOR INDIA PVT LTD","0","0","0","0","0","0","1","2","0","3"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","5","4","4","3","7","0","6","0","0","29"
"OMEGA SEIKI PVT LTD","5","3","4","2","2","3","2","0","0","21"
"PAI MACHINES PVT LTD","0","0","0","1","0","0","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","27","26","51","48","72","84","64","79","5","456"
"PRAG MOTORS","0","0","2","2","1","1","0","0","0","6"
"RCJ AUTO FORGE PVT LTD","0","0","0","0","0","0","1","0","0","1"
"RENAULT INDIA PVT LTD","1","0","2","0","1","0","1","1","0","6"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","211","175","220","217","173","236","178","222","54","1686"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","0","3","3","0","0","0","1","0","7"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","1","1","0","0","1","1","0","0","4"
"SML MAHINDRA LTD","8","26","26","1","1","2","2","0","0","66"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","0","0","5","5","3","3","5","4","0","25"
"STELLANTIS INDIA PVT LTD","0","0","1","0","0","0","0","0","0","1"
"SUMFONL AUTO TRADERS PVT LTD","0","0","2","0","0","1","0","0","0","3"
"SUZUKI MOTORCYCLE INDIA PVT LTD","51","55","44","57","45","43","62","65","2","424"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","0","0","0","1","0","1"
"TATA ADVANCED SYSTEMS LTD","0","0","16","0","0","0","0","1","0","17"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","1","0","0","0","0","0","1"
"TATA MOTORS LTD","154","141","87","83","90","55","67","42","3","722"
