"Maker and Month Wise Data for Uttarakhand (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","2","1","0","0","0","0","0","0","0","0","3"
"A P I MOTORS PVT LTD","3","3","6","3","2","3","4","2","2","4","0","4","36"
"A.R. MOTOR","0","0","0","0","0","3","5","4","4","0","5","2","23"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AAKK AUTO PVT LTD","0","0","0","0","0","0","0","0","0","1","4","1","6"
"ACTION CONSTRUCTION EQUIPMENT LTD.","2","16","6","12","5","12","7","6","3","8","7","5","89"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","1","1","0","1","0","1","0","1","1","1","7"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","2","0","0","0","0","0","0","0","0","1","0","3"
"ADITYA SAI INDUSTRIES","8","16","2","9","12","5","20","8","4","6","8","0","98"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","2","3","2","2","1","2","7","3","5","3","1","2","33"
"ALBEDO VISION PVT LTD","0","0","0","0","0","0","0","2","0","0","0","0","2"
"ALL TERRAIN CRANE","0","0","0","0","1","0","0","0","0","0","0","1","2"
"ALLFINE INDUSTRIES PVT LTD","1","1","0","0","2","0","2","0","0","1","0","0","7"
"ALTIER ELECTRIC VEHICLES PVT LTD","12","5","16","2","13","8","2","5","6","14","6","9","98"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","1","2","0","0","2","1","0","0","0","6"
"ANJALI AUTO COMPONENTS","0","4","1","0","0","0","2","4","0","0","1","0","12"
"APARNA INDUSTRIES","0","1","2","0","1","0","0","0","0","1","0","0","5"
"APOLLO CARMIX EQUIPMENTS PVT LTD","3","0","0","0","0","0","0","0","0","0","0","0","3"
"ASHOK LEYLAND LTD","137","71","90","119","122","66","48","55","46","95","69","43","961"
"ATHER ENERGY LTD","42","49","68","18","44","43","66","75","103","118","127","100","853"
"ATUT SANGAM","0","0","0","0","0","0","0","0","0","0","3","3","6"
"AUDI AG","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AUTOLITE (INDIA) LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AUTOMOBILI LAMBORGHINI S.P.A","0","1","0","0","0","0","2","0","0","0","0","0","3"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","1","11","25","19","27","20","7","28","138"
"B24 ROKET EV","0","0","1","3","0","0","2","5","5","0","5","4","25"
"BABA E-VEHICLES","13","12","16","10","15","14","11","9","6","4","11","3","124"
"BAGHWAN RIKSHAW UDYOG","0","1","0","0","0","0","1","0","0","0","0","0","2"
"BAJAJ AUTO LTD","915","1043","973","965","1156","1029","1032","1081","997","1334","2479","1331","14335"
"BAJAJ IMPLEMENTS PVT. LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BALI AUTO INDUSTRIES","10","12","8","7","7","4","19","6","13","4","5","4","99"
"BATTRE ELECTRIC MOBLITY PVT LTD","0","0","4","0","0","0","0","0","0","0","0","0","4"
"BAXY LTD","5","6","3","5","6","9","2","6","6","11","9","8","76"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BEST WAY AGENCIES PVT LTD","3","0","1","5","1","1","0","0","0","0","0","0","11"
"BGAUSS AUTO PRIVATE LIMITED","5","23","7","2","10","29","27","12","10","24","40","15","204"
"BMW INDIA PVT LTD","14","18","7","17","13","11","18","9","10","14","12","14","157"
"BOUNCE ELECTRIC 1 PVT LTD","7","7","7","7","1","6","1","5","0","3","3","0","47"
"BULL MACHINES PVT LTD","3","3","0","1","1","3","7","0","2","3","2","6","31"
"BYD INDIA PRIVATE LIMITED","0","0","1","0","1","2","1","0","0","0","3","0","8"
"CART INDIA","0","0","0","1","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","1","2","1","2","0","1","0","0","0","0","0","7"
"CATERPILLAR INDIA PRIVATE LIMITED","5","3","6","2","1","0","4","0","2","4","3","2","32"
"CEEON INDIA","0","0","2","0","0","0","0","0","1","1","1","0","5"
"CHAMPION POLY PLAST","7","9","8","12","27","9","10","8","8","10","8","7","123"
"CLASSIC LEGENDS PVT LTD","28","55","47","48","61","29","37","51","35","79","94","33","597"
"CNH INDUSTRIAL (INDIA) PVT LTD","9","12","2","2","8","7","8","2","2","3","5","6","66"
"CONMAT HEAVY INDUSTRIES PVT LTD","1","1","0","0","0","1","0","0","0","0","0","0","3"
"CONTINENTAL ENGINES PVT LTD","1","1","0","0","0","0","0","0","0","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","4","12","18","8","8","6","9","4","8","6","18","10","111"
"DAKSH INDUSTRY PVT LTD","7","18","24","13","26","34","47","49","35","51","65","21","390"
"DELTA AUTOCORP LTD","0","3","0","0","3","0","0","0","0","0","0","0","6"
"DEV MOTORS","0","0","0","0","0","1","7","7","3","13","4","6","41"
