"Maker and Month Wise Data for Uttarakhand (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"A P I MOTORS PVT LTD","0","1","0","1","0","2","1","0","0","5"
"A.R. MOTOR","7","5","3","5","4","7","2","2","0","35"
"AAKK AUTO PVT LTD","6","0","1","3","5","2","2","1","0","20"
"ACTION CONSTRUCTION EQUIPMENT LTD.","5","1","6","7","10","9","1","7","1","47"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","1","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","0","0","0","0","0","0","0","1"
"ADITYA SAI INDUSTRIES","13","9","11","2","7","10","7","3","0","62"
"AJAX ENGINEERING LTD","2","4","11","9","4","5","2","3","0","40"
"AKG INTERNATIONAL","1","1","0","2","2","2","8","4","0","20"
"ALIED E MOBILITY PVT LTD","3","0","0","1","0","0","0","0","0","4"
"ALLFINE INDUSTRIES PVT LTD","1","0","0","0","0","0","0","0","0","1"
"ALTIER ELECTRIC VEHICLES PVT LTD","1","0","2","3","4","3","4","5","1","23"
"AMAN AUTOMOBILES","0","0","0","0","0","0","1","0","0","1"
"ANJALI AUTO COMPONENTS","0","0","0","1","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","1","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","139","105","112","124","78","56","59","70","20","763"
"ATHER ENERGY LTD","152","161","218","257","162","209","232","143","21","1555"
"ATUT SANGAM","0","1","0","1","0","1","1","3","1","8"
"AUDI AG","0","0","0","0","0","0","1","0","0","1"
"AVL ELECTRIC VEHICLES PVT LTD","19","13","16","6","3","13","23","17","0","110"
"AVON CYCLES LTD","2","1","0","1","1","3","3","1","0","12"
"B24 ROKET EV","0","0","1","0","1","0","0","0","0","2"
"BABA E-VEHICLES","1","1","0","0","1","0","1","0","0","4"
"BAJAJ AUTO LTD","1207","1108","1187","1215","1364","1171","1547","1127","285","10211"
"BALI AUTO INDUSTRIES","0","4","1","2","0","1","1","0","0","9"
"BAXY LTD","7","7","6","6","6","5","7","5","2","51"
"BENTLEY MOTORS LIMITED","0","1","0","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","20","16","21","28","7","22","51","23","10","198"
"BHM AUTOMOTIVES PVT LTD","6","3","9","6","0","12","7","4","0","47"
"BMW INDIA PVT LTD","18","17","15","19","8","10","25","14","1","127"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","1","0","0","0","0","1"
"BULL MACHINES PVT LTD","5","5","4","4","5","2","3","3","2","33"
"BYD INDIA PRIVATE LIMITED","4","3","3","8","9","7","3","13","0","50"
"CARRY MOTORS","0","0","0","0","0","2","1","1","0","4"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","2","0","0","0","2"
"CATERPILLAR INDIA PRIVATE LIMITED","1","0","2","0","2","3","4","3","1","16"
"CEEON INDIA","0","0","0","0","0","0","1","0","0","1"
"CHAMPION POLY PLAST","1","2","2","4","2","2","4","1","0","18"
"CHANDAKE-AUTOMOBILES LLP","0","0","1","0","0","0","0","0","0","1"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","1","0","0","0","1","1","1","0","4"
"CLASSIC LEGENDS PVT LTD","79","71","65","82","82","58","102","85","21","645"
"CNH INDUSTRIAL (INDIA) PVT LTD","11","6","15","12","19","36","6","7","2","114"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","1"
"CREATIVE AUTOMOTIVE","0","0","0","0","2","6","7","6","2","23"
"D&V AUTO INDUSTRIES PVT LTD","0","0","0","0","1","0","3","1","0","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","13","5","4","13","4","37","11","24","0","111"
"DAKSH INDUSTRY PVT LTD","30","46","36","35","42","25","44","44","17","319"
"DELTA AUTOCORP LTD","4","0","4","0","0","0","0","1","0","9"
"DEV MOTORS","19","6","4","15","8","6","18","0","5","81"
"DEVCHHAYA MOTORS","1","0","0","0","1","0","1","0","0","3"
"DIAMOND E VEHICLES","1","1","0","1","1","1","0","0","0","5"
"DILLI ELECTRIC AUTO PVT LTD","74","51","41","42","49","58","78","61","10","464"
"DIVYA ENTERPRISES","0","0","0","0","0","0","0","1","0","1"
"DOOSAN BOBCAT INDIA PVT LTD","2","0","1","0","1","0","1","3","0","8"
"DUCATI INDIA PVT LTD","2","0","0","0","0","2","0","0","0","4"
"E-MOTION AUTOMOTIVE INDUSTRY LLP","0","0","0","1","2","0","0","0","0","3"
"ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD","0","0","0","0","0","0","0","1","0","1"
"ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS)","2","0","0","0","0","0","0","0","0","2"
"EICHER TRACTORS","8","0","4","10","4","7","4","2","0","39"
"EMPTY001","0","0","0","0","0","1","0","0","0","1"
"ENERGY ELECTRIC VEHICLES","1","0","0","2","3","3","4","5","0","18"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","28","29","31","15","33","27","33","17","0","213"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","1","0","0","1","2","1","1","0","7"
"EULER MOTORS PVT LTD","2","3","2","7","6","1","2","1","2","26"
"EVCO AUTOMOBILES PVT LTD","12","9","13","10","9","12","15","9","4","93"
"EVOLUTION AUTOTECH","0","0","0","4","2","0","0","1","0","7"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"FIVE ELEMENTS","2","0","0","3","0","1","0","0","0","6"
"FORCE MOTORS LIMITED","22","33","50","62","53","41","38","29","5","333"
"GALAXY GREEN VEHICLES PVT LTD","0","2","0","0","1","1","0","0","0","4"
"GAYATRI ELECTRIC VEHICLES PVT LTD","2","5","5","3","3","4","2","4","2","30"
"GODAWARI ELECTRIC MOTORS PVT LTD","5","2","1","2","0","0","2","0","0","12"
"GRD MOTORS","0","0","1","0","0","0","0","0","0","1"
