"Maker and Month Wise Data for Uttar Pradesh (2018)"

"Maker","2018-Jan","2018-Feb","2018-Mar","2018-Apr","2018-May","2018-Jun","2018-Jul","2018-Aug","2018-Sep","2018-Oct","2018-Nov","2018-Dec","Total"
"3GB TECHNOLOGY PVT LTD","0","4","5","4","6","1","1","2","3","0","1","8","35"
"A B EXCAVATORS & EARTHMOVER LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"A D AGRO WORKS","0","0","0","0","0","0","0","1","1","2","0","0","4"
"A K AUTTO ELECTRICAL","1","0","0","0","0","0","1","0","0","1","0","1","4"
"A K GUPTA & CO.","0","0","1","3","1","3","2","0","0","0","0","0","10"
"A P I MOTORS PVT LTD","1","8","11","7","15","22","8","18","10","17","20","21","158"
"A.V.AUTOMOTIVES PVT LTD","19","22","25","17","27","12","22","26","22","55","44","31","322"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","0","0","1","4","0","0","1","6"
"A3T INCORPORTED","4","3","13","11","6","13","11","6","4","7","11","16","105"
"AADITYA EMOTORS INDIA PVT LTD","2","7","8","2","3","2","2","3","1","7","0","1","38"
"AASHI INDIA AUTOMOBILES PVT LTD","1","1","0","1","0","0","5","0","3","0","3","1","15"
"ACCRETION POWER AUTOS","2","24","15","8","20","17","16","17","35","34","29","56","273"
"ACTION CONSTRUCTION EQUIPMENT LTD.","70","82","108","91","73","76","77","67","114","77","59","91","985"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","4","0","4","20","34","23","15","13","13","26","22","29","203"
"ADITYA AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ADITYA SAI INDUSTRIES","4","0","0","2","2","2","8","2","3","10","2","3","38"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","6","1","0","1","0","0","0","1","4","1","1","1","16"
"AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AJAX ENGINEERING LTD","2","0","7","5","3","7","8","3","4","9","6","6","60"
"AJAX FIORI ENGINEERING PVT LTD","2","0","0","0","0","0","0","0","1","0","0","0","3"
"AKASH AGRO INDUSTRIES","0","2","2","12","20","9","1","2","1","5","1","4","59"
"ALBEDO VISION PVT LTD","0","0","0","0","0","0","0","10","3","2","0","0","15"
"ALLFINE INDUSTRIES PVT LTD","34","28","31","27","37","9","27","20","48","34","36","52","383"
"AMAN AUTOMOBILES","0","2","1","1","2","1","1","2","5","1","1","1","18"
