"Maker and Month Wise Data for West Bengal (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"A1 HEAVY EQUIPMENTS DEVELOPER","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AADHYA ENTERPRISES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","9","8","10","9","11","27","27","30","20","18","29","26","224"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AFZAL ENGG WORKS,JUNAGARH","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","0","3","0","0","0","1","1","0","0","1","0","6"
"AJAX FIORI ENGINEERING PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AKSHAY INDUSTRIES","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ALL TERRAIN CRANE","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMW MOTORS LIMITED","0","0","1","0","0","0","1","0","0","0","0","0","2"
"ANADI ENGINEERING","14","9","9","0","0","0","0","0","0","0","0","0","32"
"ANIRUDH RAJ AGRO LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"APARNA INDUSTRIES","0","0","0","0","1","1","0","0","0","0","0","0","2"
"ASHOK LEYLAND LTD","311","307","619","471","300","215","222","254","310","293","455","364","4121"
"ASIS ENG.WORKS, BERHAMPUR","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ATUL AUTO LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AUDI AG","17","16","19","14","13","21","26","16","25","27","22","10","226"
"BAJAJ AUTO LTD","5811","5124","7808","7747","8176","6673","7605","7149","6088","5032","8802","5999","82014"
"BEML LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BEST WAY AGENCIES PVT LTD","0","0","0","0","0","0","0","0","2","0","0","0","2"
"BHAI BHAI ENGINEERING WORKS","0","0","3","0","0","0","0","0","0","0","0","0","3"
