"Fuel and Month Wise Data for Bihar (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,2342,2231,2042,1830,1873,1752,2011,1765,1382,3148,2312,1881,2071,2126,1863,1811,1794,1659,1778,1726,241,39638
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,7551,6347,7793,6978,7482,7781,7856,5583,3157,11738,10570,8193,9684,8914,8862,8410,8372,9222,9529,6874,896,161792
DIESEL/HYBRID,1,1,0,2,1,4,8,8,3,18,15,12,13,12,13,15,18,6,11,16,1,178
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),6588,5713,5733,4283,4944,5173,5505,5163,2839,6968,5826,5637,4524,3892,3456,3626,3829,3899,4183,3790,689,96260
ETHANOL(E100),17,16,17,9,15,9,4,1,2,2,3,2,0,4,2,0,3,0,0,0,0,106
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,341,39,411
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,333,287,266,238,270,342,347,253,306,504,346,347,307,285,107,15,10,8,8,13,1,4593
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,583,498,472,389,500,529,294,491,260,248,317,695,776,718,418,499,601,448,542,420,68,9766
PETROL,68066,81264,90171,103838,102239,68794,48279,39534,26643,121931,104372,23729,33458,37336,42157,53155,44345,38317,29210,26874,3933,1187645
PETROL(E20),1949,2279,2761,11199,28144,26922,23364,20320,17541,79010,93300,44393,58042,66753,73620,84736,74320,65458,54520,49098,6402,884131
PETROL(E20)/CNG,0,2,0,1,1,0,0,2,3,195,1245,1204,2159,2126,2270,2471,2294,2687,2828,2640,305,22433
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,126,421,370,639,544,550,526,486,413,411,491,58,5035
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,1935,1571,1652,1581,1628,1472,1640,1357,740,3981,1138,617,779,559,280,196,174,184,222,194,34,21934
PETROL/HYBRID,569,477,403,471,465,401,375,351,158,889,216,82,127,97,97,82,91,88,67,62,7,5575
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PURE EV,2626,2148,3637,3535,4264,4974,5964,5736,4143,8882,7067,6449,6522,5827,7887,7945,9172,10570,11944,11743,1978,133013
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,51,53,45,53,62,47,62,47,17,117,49,50,61,67,74,72,70,63,88,54,6,1208
Total,92611,102887,114992,134407,151888,118200,95709,80611,57195,237758,227199,93661,119163,129260,141656,163559,145579,133022,115372,104336,14658,2573723
