"Fuel and Month Wise Data for UT of DNH and DD (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,17,13,9,12,11,9,18,13,22,25,27,16,12,18,24,18,30,20,12,24,0,350
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,622,510,608,718,445,364,546,602,511,745,522,571,450,464,655,430,435,453,415,661,117,10844
DIESEL/HYBRID,25,13,15,18,15,11,19,17,18,46,36,26,33,27,29,17,19,28,22,22,5,461
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),18,5,4,7,3,4,7,4,2,12,7,4,2,1,2,3,2,2,1,5,0,95
ETHANOL(E100),0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,3,0,9,6,3,3,6,7,12,4,8,0,0,12,10,0,2,7,6,3,0,101
PETROL,1618,1132,1013,1446,984,865,1003,874,834,1047,1207,674,542,489,343,383,339,498,472,411,92,16266
PETROL(E20),25,28,26,54,98,135,234,242,202,335,1598,1314,1079,1117,838,753,857,958,959,992,231,12075
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,3,131,128,156,142,134,118,109,113,125,142,15,1316
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,14,1,19,44,36,28,49,22,31,28,30,39,7,348
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,180,127,96,134,98,66,132,116,109,198,104,37,29,23,20,10,16,6,11,14,3,1529
PETROL/HYBRID,79,37,37,37,59,34,26,55,36,63,44,31,42,23,33,26,21,32,21,20,4,760
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,4
PURE EV,21,10,19,21,14,15,15,8,26,15,27,32,19,27,23,27,31,31,24,35,3,443
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,41,21,15,28,27,18,28,27,19,31,30,36,33,38,36,30,25,41,31,35,10,600
Total,2649,1896,1851,2481,1757,1527,2034,1965,1805,2525,3760,2913,2433,2410,2197,1837,1917,2217,2129,2405,487,45195
