"Fuel and Month Wise Data for Goa (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,27,16,19,19,10,8,13,25,20,15,20,12,15,19,19,15,9,19,19,14,1,334
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,596,403,444,409,284,336,342,477,402,624,461,410,574,446,494,428,353,372,481,393,79,8808
DIESEL/HYBRID,4,2,4,5,2,3,7,3,6,10,4,8,10,10,6,1,5,4,2,6,3,105
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),260,195,318,216,184,307,218,366,283,299,169,132,146,121,248,207,133,185,103,47,12,4149
ETHANOL(E100),1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,13
PETROL,4993,4171,5234,3881,2770,2779,2999,4597,4084,6754,2740,2137,1762,1909,2204,1764,1577,1560,1425,1303,182,60825
PETROL(E20),1012,686,669,909,1003,993,1212,1804,1679,2475,3755,3965,4548,3840,4549,3429,3185,3317,3352,3750,1050,51182
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,2,6,64,54,90,120,136,73,81,94,108,97,11,936
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,5,48,214,246,315,204,221,177,154,153,146,305,29,2217
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,122,96,109,74,60,66,72,102,58,130,34,30,16,9,6,7,5,4,4,5,1,1010
PETROL/HYBRID,339,188,223,175,147,135,165,250,139,271,57,27,27,18,24,25,31,20,27,19,2,2309
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,680,402,702,397,434,610,412,472,580,689,531,511,619,616,1228,907,790,1062,1012,1145,214,14013
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,41,37,67,50,32,43,37,49,28,53,36,40,45,36,42,34,25,42,38,31,10,816
Total,8075,6198,7789,6137,4926,5280,5477,8145,7286,11374,8085,7572,8167,7348,9177,7077,6348,6832,6717,7116,1594,146720
