"Fuel and Month Wise Data for Gujarat (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,40,46,29,30,31,34,33,36,40,96,129,76,46,40,36,41,19,23,14,45,64,82,48,26,23,26,11,2,14,18,9,6,22,9,7,2,1253
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,20546,21884,20809,21424,21901,19539,16952,16249,16104,30037,24373,15754,18413,19651,29521,18322,13986,20730,23331,21170,19256,20845,23982,15572,22527,19368,19170,19068,17435,17264,30663,21295,16966,21136,19496,16987,731726
DIESEL/HYBRID,7,8,5,10,9,13,22,9,10,24,11,8,11,31,76,155,460,784,860,718,835,1263,1361,747,1188,1009,908,943,850,670,661,550,601,636,717,613,16783
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),7,16,6,29,18,13,6,7,7,9,18,5,9,6,19,40,8,6,3,6,24,13,19,20,41,16,21,26,28,28,41,32,42,107,59,59,814
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
