"Fuel and Month Wise Data for Jharkhand (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,531,492,426,423,422,421,455,401,436,644,547,450,512,479,404,493,432,401,453,401,43,9266
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,4536,4073,4131,4500,4594,4506,5083,4534,3850,5340,5567,5124,5048,5003,4757,5265,5087,5663,6392,4695,563,98311
DIESEL/HYBRID,4,5,5,2,8,4,9,6,5,8,13,10,11,12,18,19,8,11,15,6,0,179
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1188,1226,1378,994,1316,1180,1524,1428,1389,1489,1712,1367,1013,1146,902,1039,1019,1011,1071,1107,151,24650
ETHANOL(E100),1,3,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,10,86
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,96,159,135,89,142,176,159,150,136,252,176,131,109,84,100,7,13,11,7,15,1,2148
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,54,52,41,41,72,41,50,35,27,48,79,64,31,28,23,68,42,15,18,9,5,843
PETROL,37362,34712,42328,46503,36755,29966,22993,21076,21744,59947,23236,10166,14037,11637,15280,17397,13974,12546,10974,10285,1384,494302
PETROL(E20),1104,1088,1480,6801,12552,14013,12015,11862,15611,43117,34271,26272,33830,29850,37649,42446,36684,34028,30704,28020,3481,456878
PETROL(E20)/CNG,0,0,0,0,0,0,0,1,2,54,369,426,727,662,769,887,762,821,873,845,112,7310
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,4,165,465,536,819,623,626,758,597,590,516,653,85,6437
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,545,437,445,530,443,395,454,422,462,849,203,95,102,84,44,43,29,33,41,22,4,5682
PETROL/HYBRID,737,495,498,591,594,489,514,473,557,900,260,74,84,73,76,95,76,94,100,49,10,6839
PETROL/HYBRID/CNG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,897,773,1203,1000,1354,1551,1577,1696,1717,2269,2044,1756,1755,1721,2412,2378,3022,3269,3736,3471,447,40048
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,52,42,44,54,62,47,62,59,38,90,70,43,67,52,51,64,55,51,66,41,2,1112
Total,47108,43557,52118,61529,58315,52789,44895,42144,45979,115174,69012,46514,58145,51454,63111,70959,61800,58544,54976,49685,6298,1154106
