"Fuel and Month Wise Data for Karnataka (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,4659,3931,3466,3234,3974,4317,4278,4823,3991,5447,4569,3214,4411,4373,3775,5036,5004,5695,5587,5304,1062,90150
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,18717,15234,17366,15055,16910,16213,15509,16754,14752,20327,19123,16560,21134,19187,19849,19221,18468,20632,20051,18023,3460,362545
DIESEL/HYBRID,49,46,62,66,64,151,77,130,101,146,79,84,111,69,118,84,143,81,126,96,4,1887
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,51
ELECTRIC(BOV),5757,4363,4381,3509,3613,3224,3979,4699,3650,4494,3285,3280,3968,3626,4812,3847,3654,4054,2584,1324,210,76313
ETHANOL(E100),19,16,15,24,18,29,22,15,2,0,0,0,0,0,0,0,0,0,0,0,0,160
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,38
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,1,0,0,0,20,0,3,0,0,0,0,0,0,8,0,0,0,0,0,14,0,46
LPG ONLY,483,345,326,294,381,406,363,417,454,617,660,432,723,639,589,194,157,121,129,184,36,7950
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,1183,992,1311,935,986,1139,1147,1078,1453,1298,1608,1117,1071,1216,1296,1145,1138,1168,1402,1133,245,24061
PETROL,117856,89153,101187,89379,77430,66086,59342,72049,55515,120172,60277,27589,41069,37291,41964,36461,35553,36645,35404,34540,5964,1240926
PETROL(E20),4428,4265,8687,18409,29636,33969,33851,43069,40332,77520,70827,62221,97975,81751,97104,89377,81659,88072,85265,90362,16433,1155212
PETROL(E20)/CNG,3,0,1,0,0,0,1,7,17,144,2674,2141,4949,3824,4709,4567,4157,4441,4765,5499,980,42879
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,3,13,228,1334,1314,2092,1517,1859,1929,1453,1667,1494,2132,382,17417
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PETROL/CNG,4041,2968,3160,3169,2946,2673,3287,3892,2729,5510,1358,712,924,488,342,202,280,202,327,295,49,39554
PETROL/HYBRID,2684,1348,1690,1624,1380,1277,1193,1908,1304,1864,686,439,730,345,485,503,394,542,428,365,90,21279
PETROL/HYBRID/CNG,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
PETROL/LPG,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
PURE EV,11137,8076,16004,10881,12208,13102,11825,14285,14290,17864,14283,11508,16173,14165,24859,21516,21113,24302,27082,25485,4329,334487
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,907,801,999,877,773,811,933,1199,910,1176,1015,822,1266,994,1178,1334,914,1056,952,791,144,19852
Total,171925,131540,158656,147490,150340,143398,135811,164329,139514,256807,181779,131433,196602,169493,202939,185418,174087,188689,185607,185579,33394,3434830
