"Fuel and Month Wise Data for Meghalaya (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,539,429,516,443,420,348,375,309,375,402,445,377,490,506,508,374,350,429,354,319,61,8369
DIESEL/HYBRID,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,1,2,0,2,0,0,12
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),33,29,23,34,52,67,88,55,47,68,86,28,35,33,50,30,12,26,38,26,9,869
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
PETROL,2662,1998,2293,2296,1922,1851,2228,1918,1980,2858,1360,940,989,1011,1034,1039,1186,1170,1162,1056,144,33097
PETROL(E20),452,440,573,603,952,917,978,1047,1174,1445,2030,1757,2123,1953,2067,2030,2288,2479,2163,2244,459,30174
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,6
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,1,3,68,85,106,75,84,78,87,93,75,121,13,889
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PETROL/HYBRID,102,65,71,68,49,58,77,89,76,112,26,8,22,8,5,6,10,2,7,7,1,869
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,17,3,13,11,16,27,27,36,39,41,75,30,36,21,72,76,36,43,52,32,4,707
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,9,9,7,4,4,6,9,5,6,6,10,17,9,7,10,11,4,4,4,7,0,148
Total,3816,2973,3497,3460,3415,3274,3784,3459,3698,4938,4101,3242,3812,3616,3830,3647,3976,4247,3857,3813,691,75146
