"Fuel and Month Wise Data for All State (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,47889,39048,38292,37075,36521,37405,40425,40237,39323,54913,43998,33814,46542,42537,40640,39438,35848,39450,42985,38986,4657,820023
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,280829,219951,246697,228225,222840,226248,237380,232234,203031,299397,311861,277034,329541,288971,290105,263430,247126,274149,305640,255232,30429,5270350
DIESEL/HYBRID,548,454,516,532,486,601,781,832,822,1315,1020,818,1051,1074,1120,979,1006,1042,1155,1011,134,17297
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
DUAL DIESEL/LNG,0,0,0,30,0,0,9,0,0,0,0,0,0,0,0,0,0,11,10,0,0,60
ELECTRIC(BOV),84352,67840,74430,64787,63547,58059,64650,59253,54580,62241,68207,69202,60272,51199,51654,43876,43016,45844,44707,36740,3941,1172397
ETHANOL(E100),189,131,134,157,118,158,118,103,60,68,36,20,7,7,5,2,5,0,1,0,1,1320
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230,2446,316,2995
FUEL CELL HYDROGEN,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,11
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,19,27,52,39,30,53,66,82,72,74,66,27,57,15,0,15,30,99,0,22,29,874
LPG ONLY,3433,2815,2733,2235,2582,2798,2979,7406,5741,3884,3317,2836,3103,3239,2272,1086,537,445,438,426,46,54351
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,7663,6467,7774,6452,5517,5317,5059,5197,6576,7071,8951,9000,9013,8872,8150,6944,5980,5992,6349,4947,652,137943
PETROL,1678443,1431214,1536721,1635896,1388544,1124770,1027147,1008544,891271,2195354,1478589,524509,735215,668629,751158,720476,662724,623205,582688,536109,65808,21267014
PETROL(E20),60878,57383,80099,204981,378865,425244,448483,474854,497473,1184703,1252241,966974,1319353,1177014,1287338,1309833,1216472,1209114,1219610,1162848,142333,16076093
PETROL(E20)/CNG,20,28,41,80,100,129,195,243,847,6352,47154,55365,89857,77417,96593,86093,87898,93530,94559,94010,8513,839024
PETROL(E20)/HYBRID,0,1,1,0,0,0,0,5,156,3048,14319,18661,26741,18169,20111,19313,18587,18825,18408,24001,2490,202836
PETROL(E20)/HYBRID/CNG,7,2,7,3,1,7,3,2,3,3,24,35,67,45,46,31,29,26,18,4,0,363
PETROL(E20)/LPG,5,5,4,6,6,15,13,12,15,36,253,295,544,292,248,122,96,90,75,8,0,2140
PETROL/CNG,110101,66089,77299,73929,65879,67270,75057,74442,70411,130652,42020,29418,35110,21158,14140,11162,10645,11567,12268,10155,1010,1009782
PETROL/HYBRID,31510,18934,19386,21189,17235,16306,17332,17561,15059,25090,9579,5664,7937,5213,5383,5260,5099,5617,5138,3714,561,258767
PETROL/HYBRID/CNG,109,44,54,41,39,39,65,46,35,78,27,11,32,30,18,10,8,6,2,0,0,694
PETROL/LPG,1941,1556,1867,1541,1636,1466,1448,967,976,1672,732,595,1033,884,656,233,257,347,214,202,0,20223
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
PLUG-IN HYBRID EV,11,8,14,8,5,6,10,4,1,3,2,1,6,2,3,1,1,1,2,5,0,94
PURE EV,92828,77444,139267,110119,123363,130004,132680,136014,136954,182646,160350,144054,168817,152593,240377,207744,233599,264749,287667,263416,31158,3415843
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
STRONG HYBRID EV,9565,7605,9237,9454,8716,8567,9501,9206,7628,11814,8630,8556,11679,9357,10257,10063,8874,9669,9749,7842,1029,186998
Total,2410340,1997046,2234627,2396779,2316033,2104462,2063401,2067245,1931035,4170416,3451376,2146889,2845981,2526717,2820274,2726113,2577838,2603783,2631915,2442124,293107,50757501
