"Fuel and Month Wise Data for Madhya Pradesh (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1623,1314,1193,1009,1107,1239,1424,1280,1197,1977,1288,898,1357,1294,1208,896,936,1257,1696,1377,159,25729
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,22678,17517,22331,14142,15012,15692,17181,14901,14052,19783,22734,20932,25763,23984,25064,14868,16725,18228,20448,16072,2290,380397
DIESEL/HYBRID,12,22,22,11,4,10,12,17,18,24,20,9,29,71,28,18,17,22,19,12,0,397
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),3109,2507,2569,2123,2199,2198,3231,2505,2545,3123,2594,1967,1889,1586,1776,947,1230,1114,1314,974,122,41622
ETHANOL(E100),5,6,7,6,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,25,121
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,10,5,7,6,7,6,11,6,7,16,7,5,5,8,5,0,1,3,5,3,0,123
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,87,42,61,44,35,42,27,31,40,22,41,53,59,51,51,54,29,43,35,17,3,867
PETROL,94935,82136,91960,109394,88742,58576,50447,52666,49368,178905,76733,23613,41085,36866,42201,49642,38884,33212,27018,27301,4679,1258363
PETROL(E20),1085,1427,2747,7860,17830,16386,17496,20272,23428,88292,65480,42339,70743,64943,70760,67593,58854,53114,51958,50489,8974,802070
PETROL(E20)/CNG,3,7,10,6,12,9,25,9,55,389,1903,1794,5418,6212,8434,3265,3978,4288,4408,4213,625,45063
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,11,126,467,502,1004,714,965,562,481,461,435,705,102,6535
PETROL(E20)/HYBRID/CNG,2,0,3,0,0,0,0,1,1,1,8,3,15,11,19,5,5,9,8,2,0,93
PETROL(E20)/LPG,3,1,0,2,3,9,4,7,9,14,64,79,170,76,93,16,17,21,18,3,0,609
PETROL/CNG,6066,4960,6220,3106,2780,2851,3279,3287,3553,7135,1841,1199,2473,2213,1252,363,413,475,538,420,57,54481
PETROL/HYBRID,1348,882,1015,584,481,437,534,462,452,1136,272,127,228,185,262,124,140,185,153,94,12,9113
PETROL/HYBRID/CNG,12,9,8,2,10,3,8,8,8,10,4,3,5,3,2,1,1,1,1,0,0,99
PETROL/LPG,357,152,336,152,136,151,263,242,255,481,140,99,201,74,64,8,11,8,7,3,0,3140
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,6773,5714,10041,6782,7905,9017,9098,8290,10183,15775,10515,9156,13245,12182,19071,10786,13522,15543,18221,14972,2433,229224
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,151,167,334,131,110,87,128,107,78,183,98,128,172,240,383,92,127,127,134,97,14,3088
Total,138259,116868,138864,145360,136374,106719,103170,104092,105261,317392,184209,102906,163861,150713,171638,149240,135371,128111,126420,116846,19495,2861169
