"Fuel and Month Wise Data for Odisha (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,35,31,77,60,62,71,89,85,126,122,123,118,104,105,146,120,140,145,157,192,206,235,183,159,172,170,196,203,201,191,236,206,217,340,245,249,5517
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,4826,4243,5243,5214,4997,5681,5581,4724,4849,5445,5588,5389,6002,5585,6855,5943,6383,5876,6863,6495,6242,7273,8007,7401,7745,8300,8370,7319,6766,6598,8036,6670,5376,8395,7104,6193,227577
DIESEL/HYBRID,0,0,0,0,0,0,1,1,1,2,4,0,2,1,2,1,0,3,3,5,6,7,4,7,7,9,6,7,3,1,7,7,10,5,7,6,125
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),1470,1382,2606,2449,1904,1903,2040,2217,2431,3978,3318,2745,2821,2867,3655,3195,4246,2640,3361,3317,3613,4739,5065,5023,4443,4419,7914,4622,4618,3480,4258,3361,2210,3340,2624,1533,119807
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
