"Fuel and Month Wise Data for Rajasthan (2019-2021)"\n\nFuel,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,15,37,13,11,23,20,23,13,14,18,12,9,9,24,30,21,0,24,14,21,48,65,66,84,73,162,220,128,35,137,288,335,604,777,972,862,5207
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,20362,18649,20000,17891,19017,16923,18673,14126,11818,15980,19115,18381,18915,18889,22988,6628,3163,10922,15968,10687,13435,13552,14024,18071,14986,16018,17659,11340,3753,15542,18915,14129,13589,12090,13843,15934,545975
DIESEL/HYBRID,480,412,344,319,238,135,94,89,83,171,148,83,119,82,34,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2855
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),757,638,870,555,391,233,380,390,414,589,744,674,593,559,406,23,31,243,458,348,704,478,748,1021,847,1117,2188,578,67,914,2207,2054,2953,2910,3774,3870,35726
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
LPG ONLY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,3,6,51,54,38,66,65,84,68,51,25,11,15,2,43,141,141,145,86,130,112,1386
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOT APPLICABLE,93,70,120,148,100,46,84,34,25,38,29,28,286,158,140,32,9,43,93,72,97,53,47,70,137,54,57,26,1,32,41,29,19,46,51,65,2473
PETROL,94871,87494,94357,102730,107317,88671,85280,84844,67920,122110,199263,102961,83379,89056,146623,26076,11104,51774,70001,65066,50902,72528,139643,111460,71270,71705,74111,56197,20618,67327,75496,63207,54393,73232,151295,68090,3002371
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
PETROL(E20)/CNG,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,0,0,3,0,1,1,0,1,0,0,1,2,2,0,20
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,9
PETROL(E20)/LPG,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10
PETROL/CNG,720,765,729,846,745,650,612,613,427,957,950,655,814,766,708,74,121,395,597,515,571,851,1203,1104,1119,1292,1087,743,225,853,1349,1091,1035,991,1157,976,28306
PETROL/HYBRID,257,210,153,164,205,163,180,164,187,367,244,168,155,209,198,35,40,156,253,301,241,407,546,442,406,389,352,244,49,291,408,311,290,438,523,287,9433
PETROL/HYBRID/CNG,3,5,1,3,2,2,6,1,5,8,2,0,2,2,1,0,1,5,11,5,3,11,8,8,5,7,9,4,0,5,9,3,6,10,20,2,175
PETROL/LPG,975,990,1062,1113,1042,893,1015,892,579,1064,1089,791,1164,956,975,135,91,254,376,349,443,481,518,553,694,601,608,280,44,309,389,365,326,304,321,297,22338
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,118533,109272,117650,123782,129081,107738,106350,101166,81472,141304,221597,123752,105436,110713,172155,33048,14567,63867,87826,77404,66514,88493,156888,132884,89592,91371,96303,69557,24794,85455,99243,81667,73362,90887,172089,90496,3656308
