"Fuel and Month Wise Data for Tamil Nadu (2022-2024)"\n\nFuel,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,717,685,938,775,925,832,729,1335,1288,1164,1455,1352,1634,1918,2338,2008,1049,3338,2955,2766,2553,2692,2534,2270,2813,3795,3352,2998,2728,2908,3640,2872,2763,3015,2938,2069,76141
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,11616,12294,15252,12394,12352,12700,12469,13200,13981,11034,12944,11085,13737,13654,16175,13533,13252,13667,13519,14382,13198,13972,11407,10429,13703,14969,14781,13204,12453,11922,14567,12847,12789,12439,11275,10158,467353
DIESEL/HYBRID,1,1,0,1,1,7,10,16,10,6,9,19,15,15,14,10,9,11,14,16,20,39,20,22,23,25,46,36,26,21,22,25,30,21,21,32,614
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),4471,4878,8177,5846,3930,4604,4633,5848,5516,5858,7722,5534,5830,7217,9356,7420,11495,6148,7293,7405,6247,7439,8078,6319,8732,9807,14769,8020,7707,7525,10072,7241,7075,6078,5946,4263,254499
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,32
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,1,8,36,1,0,6,0,15,0,2,0,0,3,0,0,5,92
LPG ONLY,103,89,115,68,61,77,56,123,131,87,147,115,116,175,172,128,184,258,274,265,255,305,324,217,247,324,237,182,180,188,238,205,184,172,168,135,6305
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,1,0,0,15
PETROL,136021,117036,132475,114802,112985,121465,112232,129993,131602,119090,126533,87248,148049,125032,124378,97696,108106,123657,117426,125765,114281,130096,115494,81521,148119,136720,115579,118207,114217,113916,126725,118706,112644,109752,123118,78402,4269088
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,149,3125,4794,6049,9239,10276,12787,11656,14301,12011,8736,17682,15011,11797,12659,12777,13024,14878,13750,12721,12849,13972,8154,252397
PETROL(E20)/CNG,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,2,0,1,2,1,1,0,0,1,1,3,0,0,22
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,5
PETROL(E20)/LPG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/CNG,578,546,868,944,767,811,650,790,902,680,882,944,1170,765,875,624,717,889,1073,1754,1621,2064,1373,1517,2074,1617,1812,2056,2375,2242,2445,2275,2333,2317,2490,1721,49561
PETROL/HYBRID,1613,1136,923,620,1656,1831,1096,1285,1439,1440,1901,1517,2081,1893,2288,1684,1767,2218,1691,2139,2134,2645,1849,1801,2668,2445,2108,1926,1820,1642,1839,1639,1754,1843,1564,1605,63500
PETROL/HYBRID/CNG,3,1,0,1,2,1,1,1,0,0,1,1,4,0,0,1,2,0,0,0,1,2,0,3,3,2,4,6,3,2,3,2,2,5,0,0,57
PETROL/LPG,164,130,270,147,103,136,92,100,152,105,124,92,116,126,147,62,24,15,10,15,10,8,8,4,9,4,3,8,3,2,5,2,3,6,2,4,2211
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
PURE EV,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48,490,2220,4245,3917,5414,5683,7029,5169,34221
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,209,298,354,502,505,534,529,491,459,4023
Total,155289,136796,159020,135599,132782,142466,131970,152691,155023,139464,151719,107907,172753,150946,158869,127960,142656,159441,154538,167305,151979,173573,153134,112843,196073,184726,164632,159578,155079,155971,179182,163987,158250,154714,169024,112201,5480140
