"Fuel and Month Wise Data for Tamil Nadu (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,2926,2823,2862,2577,2377,2659,2630,2232,2070,2559,2368,2271,2577,3094,3265,3057,2484,2956,2929,2963,457,54136
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,15045,12864,13553,14205,11742,13320,14125,12965,11916,15041,14664,14403,18714,19072,19820,17289,13442,17267,19211,16369,2479,307506
DIESEL/HYBRID,40,31,38,53,38,44,63,61,38,80,61,51,50,57,56,69,40,53,84,74,12,1093
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),4941,3813,3655,2782,2420,2315,2818,2584,2117,2157,2020,1703,1719,1788,2522,2491,1745,2068,1874,1267,196,48995
ETHANOL(E100),38,26,16,24,15,30,36,25,12,2,1,3,0,1,0,0,0,0,0,0,0,229
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,24
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,3,0,0,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,28
LPG ONLY,181,132,184,144,147,165,173,189,225,238,293,379,356,468,369,129,59,71,63,36,5,4006
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4
PETROL,152514,116017,107197,104493,79023,84764,87866,80193,68939,109283,69774,41174,62671,56855,52336,49894,43408,56363,57439,48792,6338,1535333
PETROL(E20),18062,13786,14750,28124,37454,50113,56643,54266,52208,83147,90369,93818,148787,132030,118671,113876,98358,125194,133265,124111,18363,1605395
PETROL(E20)/CNG,3,0,1,3,1,3,2,5,11,72,1578,2469,2462,3300,3418,3541,3045,3512,3473,4114,412,31425
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,13,178,1191,2146,2724,1957,2136,2027,1824,2272,2509,2897,347,22221
PETROL(E20)/HYBRID/CNG,1,0,2,0,0,1,1,0,1,0,0,3,4,5,4,2,1,1,0,0,0,26
PETROL(E20)/LPG,0,1,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,8
PETROL/CNG,3991,2245,2355,2635,2048,2176,2464,2371,2225,3294,1090,636,594,406,280,220,142,176,201,180,29,29758
PETROL/HYBRID,2737,1491,1448,1738,1267,1425,1566,1502,1373,1666,692,585,767,386,487,485,354,586,526,379,43,21503
PETROL/HYBRID/CNG,7,4,2,4,3,2,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,31
PETROL/LPG,6,5,4,2,4,2,5,2,2,3,5,1,2,2,2,0,0,0,0,0,0,47
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6
PURE EV,8759,7785,10583,9510,9371,11301,11160,11075,12368,12667,13066,15254,17111,16085,24889,20110,18959,26084,27160,23044,3473,309814
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
STRONG HYBRID EV,582,605,624,733,595,652,725,656,557,786,658,767,904,749,902,921,521,763,849,652,82,14283
Total,209834,161628,157277,167028,146505,168975,180290,168139,154076,231180,197836,175665,259442,236256,229158,214111,184384,237366,249584,224895,32244,3985873
