"Fuel and Month Wise Data for Uttarakhand (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,304,184,197,129,94,86,76,95,154,86,70,57,76,94,66,85,64,62,84,66,11,2140
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,2153,1833,1985,2170,2282,1988,1726,1661,1424,2364,2612,1757,2753,2250,2244,2565,2403,2168,2301,2122,392,43153
DIESEL/HYBRID,2,2,2,1,2,6,6,6,9,19,13,7,20,19,13,17,10,8,21,15,6,204
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),854,605,683,584,635,476,695,600,598,517,654,452,483,410,339,453,381,397,521,402,63,10802
ETHANOL(E100),0,2,4,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,12
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,21,6,9,4,15,7,7,13,16,15,38,40,40,31,9,3,10,8,6,4,1,303
PETROL,17274,14846,14400,18113,15422,12155,11544,10177,8905,24073,19154,3824,5914,4999,4928,6295,5669,5181,5455,5013,802,214143
PETROL(E20),341,375,487,1376,3636,4473,5413,5216,5226,12968,18817,11235,16343,12934,12962,15484,14055,12865,16138,14161,2955,187460
PETROL(E20)/CNG,0,0,0,0,2,0,2,1,1,8,202,211,484,380,520,519,578,604,613,557,110,4792
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,65,282,278,674,375,388,438,388,390,374,573,89,4314
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/CNG,570,427,466,524,453,384,365,363,307,489,267,110,179,118,58,65,47,40,59,35,9,5335
PETROL/HYBRID,505,364,311,410,346,303,286,272,217,515,236,59,99,67,50,58,43,64,72,43,9,4329
PETROL/HYBRID/CNG,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURE EV,623,456,662,850,1068,1197,1279,1258,1075,1706,1570,1146,1160,1110,1477,1703,1980,2025,2506,1956,355,27162
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,73,48,53,59,64,41,36,54,56,68,81,76,165,95,99,104,119,112,115,114,24,1656
Total,22721,19149,19259,24223,24020,21118,21437,19717,17988,42894,43996,19252,28390,22882,23153,27789,25748,23924,28266,25072,4826,505824
