"Fuel and Month Wise Data for West Bengal (2016-2018)"\n\nFuel,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,44
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,7739,8481,8119,6958,8025,7846,6596,7295,6973,6477,7156,6880,7474,6691,10434,8063,7172,6208,6746,7604,7396,5253,9560,8426,8553,10009,10512,10600,9360,8745,8858,9826,8278,7755,8798,9396,290262
DIESEL/HYBRID,16,37,35,38,31,33,39,40,29,33,25,39,65,134,239,219,292,311,300,257,247,127,186,134,93,154,133,124,130,129,103,126,98,90,115,141,4342
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),14,111,464,222,65,84,47,66,80,59,182,135,156,93,490,245,387,374,485,683,673,194,244,428,508,651,598,466,261,481,483,512,380,906,546,936,12709
ETHANOL(E100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,187,240,607,137,228,144,76,104,41,19,22,22,32,63,34,41,111,131,437,610,486,170,348,390,179,231,300,449,351,234,184,424,381,354,251,387,8405
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,103,73,69,55,47,53,32,66,64,59,58,56,80,76,74,21,29,31,28,22,22,30,69,67,88,56,79,33,54,44,39,40,43,28,42,55,1885
PETROL,65070,70123,64483,57216,80776,85277,72826,71237,76096,58554,74133,72693,66677,58743,84557,80914,82248,76103,84158,77843,73563,54832,103302,83717,57861,70962,101474,97936,99298,107275,75656,75554,50614,39058,83819,135844,2770492
PETROL(E20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
PETROL/CNG,45,44,22,18,60,40,28,163,348,45,17,11,9,13,22,12,11,14,6,6,28,12,21,6,7,7,11,18,13,12,9,17,5,12,29,18,1159
PETROL/HYBRID,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,2,6,5,2,1,1,4,1,1,2,0,1,1,2,2,0,1,48,52,75,153,372
PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PETROL/LPG,781,706,675,435,463,557,479,450,521,490,425,368,769,599,960,716,572,734,727,857,546,482,649,553,549,887,830,862,957,608,621,861,718,580,613,946,23546
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
