"Fuel and Month Wise Data for West Bengal (2025-2026)"\n\nFuel,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNG ONLY,374,290,230,198,240,244,248,196,176,140,191,203,214,218,250,294,228,313,257,210,26,4740
DI-METHYL ETHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIESEL,6710,6040,6192,6153,5961,6284,7317,5606,5703,5218,7034,7097,7342,7525,7011,5879,6080,7881,7797,6488,1388,132706
DIESEL/HYBRID,21,18,12,21,14,10,16,17,11,29,29,22,15,21,22,25,20,25,23,25,5,401
DUAL DIESEL/BIO CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELECTRIC(BOV),3345,2396,2440,1820,2201,1958,2653,2304,2938,2156,9275,20859,13441,8621,5245,3673,3945,5105,5665,3624,786,104450
ETHANOL(E100),27,15,16,26,15,16,9,13,14,25,16,8,0,1,0,0,0,0,0,0,0,201
FLEX-FUEL(BIO-DIESEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,82,8,103
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDROGEN(ICE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPG ONLY,1125,1015,916,659,738,823,804,767,583,434,592,616,460,587,415,248,146,104,92,76,17,11217
METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOT APPLICABLE,9,5,16,3,7,8,7,18,12,5,31,59,44,48,30,10,11,72,36,49,17,497
PETROL,74081,67786,72773,83764,71227,57010,46136,38510,37427,71756,50951,22508,21439,21407,24022,22713,23813,25413,23053,16009,2707,874505
PETROL(E20),7147,6665,7045,12774,24262,29987,28331,25634,37758,64810,68845,68083,68070,66509,71663,70559,74843,78095,73424,53044,10353,947901
PETROL(E20)/CNG,1,0,0,1,0,0,5,3,6,37,843,931,1044,1182,1501,1068,1296,1509,1485,1521,200,12633
PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,10,76,475,643,784,639,632,590,558,657,687,694,100,6545
PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,4,0,1,0,10
PETROL(E20)/LPG,1,1,0,0,1,1,1,0,2,3,46,57,80,66,66,48,46,36,21,3,0,479
PETROL/CNG,852,604,790,802,608,731,894,804,1083,832,437,160,143,129,97,51,70,104,96,95,18,9400
PETROL/HYBRID,834,573,565,746,561,588,647,533,664,542,314,149,171,94,104,123,108,103,98,71,24,7612
PETROL/HYBRID/CNG,1,3,1,3,1,1,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,17
PETROL/LPG,241,144,220,211,161,162,207,172,203,231,139,104,122,51,36,19,23,26,9,2,0,2483
PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLUG-IN HYBRID EV,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
PURE EV,2270,1947,3665,3089,3141,3362,3534,3149,3331,3431,5600,10083,7484,6459,7235,5476,6760,9234,9904,7866,1610,108630
SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRONG HYBRID EV,128,125,137,177,118,125,149,121,121,174,172,178,233,180,167,156,175,185,183,157,44,3205
Total,97167,87627,95018,110447,109256,101310,90961,77847,90042,149902,144991,131760,121089,113738,118497,110934,118124,128866,122843,90017,17303,2227739
