"Maker and Month Wise Data for All State (2022)"

"Maker","2022-Jan","2022-Feb","2022-Mar","2022-Apr","2022-May","2022-Jun","2022-Jul","2022-Aug","2022-Sep","2022-Oct","2022-Nov","2022-Dec","Total"
"3EV INDUSTRIES PVT LTD","0","109","61","34","0","70","10","0","0","30","50","25","389"
"3S INDUSTRIES PRIVATE LIMITED","3","5","1","1","3","3","12","11","6","10","6","7","68"
"A B EXCAVATORS & EARTHMOVERS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","1","2"
"A D AGRO WORKS","1","29","26","7","3","5","5","5","12","3","4","25","125"
"A K AUTTO ELECTRICAL","0","2","1","0","0","0","0","0","0","0","0","0","3"
"A K GUPTA & CO.","31","38","42","2","13","35","39","14","65","82","37","35","433"
"A K S ENG AGRO INDUSTRIES","3","0","0","1","1","0","0","1","0","0","0","0","6"
"A P I MOTORS PVT LTD","38","50","73","69","61","75","82","59","80","91","88","71","837"
"A.S.R BODY WORKS","0","1","0","0","0","1","0","0","0","0","0","0","2"
"A.V.AUTOMOTIVES PVT LTD","50","51","64","79","117","109","141","186","163","226","181","86","1453"
"A1 HEAVY EQUIPMENTS DEVELOPER","4","0","0","1","1","2","1","0","0","3","2","6","20"
"A3T INCORPORTED","0","1","2","1","0","2","2","1","0","0","0","0","9"
"AADHYA ENTERPRISES","0","4","6","14","23","30","57","70","80","66","93","73","516"
"AADITYA EMOTORS INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AADITYA GARBAGE PRODUCTS PVT LTD","1","0","0","0","0","0","1","0","0","0","0","8","10"
"AAHANA COMMERCE PVT LTD","4","32","15","8","4","15","17","46","44","28","56","40","309"
"AARGEE ELECTRIC","0","0","8","1","2","2","0","0","0","0","0","0","13"
"AARON INDUSTRIES","0","0","0","0","0","0","0","0","0","0","3","38","41"
"ACCRETION POWER AUTOS","52","40","24","34","28","42","71","73","65","58","57","63","607"
"ACTION CONSTRUCTION EQUIPMENT LTD.","624","560","823","753","726","750","687","593","566","507","681","657","7927"
"ADAPT MOTORS PVT LTD","3","0","0","1","0","0","1","0","0","1","0","2","8"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","68","56","87","104","91","149","213","171","187","361","144","106","1737"
"ADIDEV TECHNOA PVT LTD","4","1","6","7","10","7","20","12","23","12","25","41","168"
"ADISHAKTI TRACTORS","23","15","15","32","14","14","12","23","58","49","48","24","327"
"ADISHWAR AUTO RIDE INDIA PVT LTD","211","203","233","168","154","166","141","114","98","88","90","55","1721"
"ADITYA AGRO INDUSTRIES","0","0","6","0","5","5","6","7","2","3","6","1","41"
"ADITYA ENTERPRISES","0","1","0","0","2","0","0","0","0","0","0","0","3"
"ADITYA SAI INDUSTRIES","3","11","11","2","13","14","16","10","25","4","13","7","129"
"ADM TECHNOLOGIES PVT. LTD.","0","0","0","0","0","0","0","0","0","1","0","1","2"
"ADRIS ELECTRIC PVT LTD","13","9","13","19","19","14","4","5","8","41","15","66","226"
"AFTEK MOTORS INDIA PVT LTD","3","3","3","14","8","15","22","19","48","10","26","15","186"
"AFZAL ENGG WORKS,JUNAGARH","7","11","5","3","1","4","2","1","0","0","1","0","35"
"AGNEE IRON WORKS,BARIPADA","0","0","0","0","0","1","0","0","0","0","0","0","1"
"AGP ENGINEERING PRODUCTS","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AGRASEN ENGINEERING WORKS","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AGRAWAL RENEWABLE ENERGY PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","2","4","2","7","7","5","0","2","5","11","3","6","54"
"AGRO INDUSTRIES","29","20","45","29","28","13","18","15","17","6","20","19","259"
"AGROMAX TRACTORS AND EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AHITESHAM AGRO ENGINEERING","0","1","1","1","0","2","1","0","1","2","2","1","12"
"AJANTA KRUSHI YANTRA","0","33","1","0","0","1","2","2","1","29","0","2","71"
"AJAX ENGINEERING LTD","127","134","199","199","163","171","145","128","166","111","169","211","1923"
