"Maker and Month Wise Data for Andaman & Nicobar Island (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","0","1","0","1","0","0","2"
"AJAX FIORI ENGINEERING PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AMW MOTORS LIMITED","0","0","0","0","0","0","0","2","0","0","0","0","2"
"ASHOK LEYLAND LTD","1","0","1","6","2","0","2","7","3","3","2","2","29"
"AUDI AG","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","72","72","89","87","101","97","89","104","102","114","92","72","1091"
"BMW INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BRITANNIA ENGINEERING LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","1","0","0","0","0","0","1","2","0","0","0","4"
"DAEWOO MOTORS INDIA LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"DSK MOTOWHEELS PVT LTD.","0","0","0","0","0","0","1","1","0","0","0","0","2"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"FORCE MOTORS LIMITED","4","2","2","2","1","1","1","5","1","4","3","2","28"
"FORD INDIA PVT LTD","44","30","38","35","36","26","43","56","48","48","64","40","508"
"GENERAL MOTORS INDIA PVT LTD","2","1","0","0","0","0","0","0","0","0","2","0","5"
"GOOD ENERGY INDIA","0","0","0","0","1","0","0","0","0","3","1","1","6"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"HERO HONDA MOTORS  LTD","1","1","1","3","2","0","0","2","1","3","1","2","17"
"HERO MOTOCORP LTD","151","154","163","128","150","139","119","187","162","127","138","119","1737"
"HONDA CARS INDIA LTD","22","16","31","24","22","21","17","22","25","28","26","20","274"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","203","136","131","164","192","148","164","219","200","167","182","118","2024"
"HYUNDAI MOTOR INDIA LTD","7","10","21","28","25","18","22","32","25","26","33","25","272"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"INDIA YAMAHA MOTOR PVT LTD","59","35","49","40","54","52","48","46","64","71","48","37","603"
"JCB INDIA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"KION INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"LML LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","13","25","19","17","24","25","15","19","19","22","44","23","265"
"MAHINDRA NAVISTAR  AUTOMOTIVES LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA TWO WHEELERS LTD","19","20","8","15","10","17","7","2","11","8","5","5","127"
"MARUTI SUZUKI INDIA LTD","79","92","87","73","71","66","62","100","98","101","109","85","1023"
"PIAGGIO VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"RENAULT INDIA PVT LTD","0","6","21","21","9","8","5","8","6","6","12","9","111"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","12","13","20","16","12","12","5","17","15","18","20","12","172"
"SKODA AUTO INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","1","2"
"SML MAHINDRA LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"STELLANTIS INDIA PVT LTD","0","0","0","0","0","0","0","0","1","1","0","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","16","20","29","32","20","24","11","24","21","16","23","8","244"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"TATA HITACHI MACHINERY CONSTRUCTION LIMITED","0","0","0","0","0","0","0","1","0","0","0","0","1"
"TATA MOTORS LTD","17","14","23","27","13","6","7","6","3","2","13","3","134"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","0","0","0","0","0","1","1","2","0","1","0","5"
"TVS MOTOR COMPANY LTD","34","49","56","59","50","70","54","70","72","69","80","79","742"
"VE COMMERCIAL VEHICLES LTD","0","0","0","0","1","0","0","0","0","1","0","0","2"
