"Maker and Month Wise Data for Andaman & Nicobar Island (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","1","0","0","0","0","1"
"ASHOK LEYLAND LTD","2","4","2","2","5","1","6","2","1","25"
"BAJAJ AUTO LTD","121","92","136","89","98","102","118","85","22","863"
"BMW INDIA PVT LTD","0","0","0","1","0","0","1","0","0","2"
"CLASSIC LEGENDS PVT LTD","0","2","0","1","2","0","1","0","0","6"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","4","0","0","1","0","0","0","5"
"FORCE MOTORS LIMITED","4","2","0","2","1","0","0","4","0","13"
"HERO MOTOCORP LTD","147","94","121","88","91","114","117","90","44","906"
"HONDA CARS INDIA LTD","1","1","2","3","1","2","1","1","0","12"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","211","200","225","225","208","232","268","151","78","1798"
"HYUNDAI MOTOR INDIA LTD","54","37","46","33","30","36","50","26","16","328"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","1","0","0","0","1","0","0","2"
"INDIA YAMAHA MOTOR PVT LTD","39","39","35","41","29","41","35","27","8","294"
"JCB INDIA LIMITED","0","0","0","1","0","0","0","0","0","1"
"JSW MG MOTOR INDIA PVT LTD","11","2","9","3","1","2","4","5","1","38"
"KIA INDIA PRIVATE LIMITED","21","17","22","21","19","21","22","16","4","163"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","1","0","0","0","1","0","0","0","0","2"
"MAHINDRA & MAHINDRA LIMITED","25","33","44","37","23","35","49","31","15","292"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","1","0","0","0","0","1"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","1","0","1","0","0","0","0","0","2"
"MARUTI SUZUKI INDIA LTD","80","83","100","88","90","103","107","68","33","752"
"NISSAN MOTOR INDIA PVT LTD","1","1","1","2","1","0","2","0","1","9"
"PIAGGIO VEHICLES PVT LTD","0","0","0","0","2","0","0","2","0","4"
"RENAULT INDIA PVT LTD","1","0","0","2","0","2","2","0","0","7"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","16","11","23","16","10","12","33","31","7","159"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","1","0","0","1","0","1","0","0","0","3"
"SML MAHINDRA LTD","0","0","1","0","0","0","0","0","0","1"
"SUZUKI MOTORCYCLE INDIA PVT LTD","79","81","78","69","63","83","85","51","43","632"
"TATA MOTORS LTD","20","20","22","20","8","15","23","32","6","166"
"TATA MOTORS PASSENGER VEHICLES LTD","32","21","37","24","19","32","34","15","16","230"
"TATA PASSENGER ELECTRIC MOBILITY LTD","4","4","3","1","2","2","2","1","0","19"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","27","24","36","15","21","29","25","16","3","196"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","167","161","180","162","157","195","228","177","81","1508"
"VE COMMERCIAL VEHICLES LTD","1","0","2","0","0","0","0","0","0","3"
