"Maker and Month Wise Data for Andhra Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"786 ENGINEERING WORKS AP105382023","0","0","0","0","2","0","1","0","0","3"
"A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428","2","2","6","4","8","0","0","4","0","26"
"AAHANA COMMERCE PVT LTD","0","0","1","1","0","0","0","0","0","2"
"ACTION CONSTRUCTION EQUIPMENT LTD.","41","21","29","46","31","51","45","37","5","306"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","2","0","1","0","0","0","0","0","4"
"AERODRIVE PVT LTD","1","0","0","0","0","0","0","0","0","1"
"AGRO TRAILERS AP312870751","3","2","6","9","4","6","0","0","0","30"
"AJAX ENGINEERING LTD","5","17","28","20","15","19","14","15","3","136"
"AL-KHADEER ENGINEERING WORKS, KURNOOL AP117791028","5","2","4","2","3","1","0","4","1","22"
"AMBIKA INDUSTRIES","1","0","0","1","0","0","0","0","0","2"
"AMMANN INDIA PVT LTD","0","1","4","4","0","2","1","0","0","12"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","1"
"ANNAPURNA TRAILER IMPLEMENTS AP312671033","4","3","8","9","9","5","6","6","0","50"
"APSAGROINDUSTRIESDEVOLPMENTCORPORATIONLTAP67413584","0","0","0","1","1","1","0","0","0","3"
"ASHOK LEYLAND LTD","630","983","1143","915","766","1038","957","831","163","7426"
"ASTON MARTIN LAGONDA LTD","0","0","0","1","0","0","0","0","0","1"
"ATHER ENERGY LTD","860","1087","2095","1430","1292","1891","1534","1487","229","11905"
"ATUL AUTO LTD","83","79","66","59","54","101","80","86","22","630"
"ATUL GREENTECH PRIVATE LIMITED","4","3","0","0","1","4","1","1","0","14"
"AZAD INDIA MOBILITY LTD","0","0","10","0","0","4","3","0","0","17"
"BABAR AGRO INDUSTRIES AP1510243976","2","3","1","1","1","5","0","0","0","13"
"BAJAJ AUTO LTD","11387","13990","15071","13982","12233","14246","13950","13018","2182","110059"
"BALAJI FARM & STEEL WORKS","2","0","1","0","2","3","8","0","0","16"
"BATTRE ELECTRIC MOBLITY PVT LTD","4","4","6","6","1","2","0","3","0","26"
"BAXY LTD","23","19","23","19","39","71","66","77","22","359"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","2","2","7","2","1","2","0","0","6","22"
"BGAUSS AUTO PRIVATE LIMITED","25","60","71","68","60","116","157","109","27","693"
"BHARATHI TRAILERS","2","3","3","5","2","2","0","0","0","17"
"BHASKARA INDUSTRIES","2","0","1","3","1","0","0","1","1","9"
"BMR EV INDUSTRIES PVT LTD","0","0","0","2","0","0","0","0","0","2"
"BMW INDIA PVT LTD","50","33","38","46","40","39","40","39","9","334"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","0","0","1","0","0","0","0","0","1"
"BULL MACHINES PVT LTD","4","11","13","32","14","14","14","20","3","125"
"BYD INDIA PRIVATE LIMITED","5","5","15","13","22","33","19","20","2","134"
"CAPTAIN TRACTORS PVT. LTD.","4","1","0","20","0","1","29","4","0","59"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","4","4","4","10","6","6","3","8","0","45"
"CATERPILLAR INDIA PRIVATE LIMITED","6","3","9","7","12","11","6","8","2","64"
"CHANDANA CORPORATION","0","1","0","5","1","1","3","2","1","14"
"CHARWICK ENGINEERING WORKS AP004V00001","4","7","5","3","5","1","0","9","2","36"
"CHEHAK BATTERIES","1","2","0","1","0","2","0","0","0","6"
"CHINA HAOCHEN (IMPORTER: ADMS MARKETING)","1","1","0","0","0","0","0","0","0","2"
"CHITRA MANUFACTURERS LLP","0","2","2","1","1","0","1","1","0","8"
"CLASSIC LEGENDS PVT LTD","125","160","203","175","150","174","174","166","13","1340"
"CNH INDUSTRIAL (INDIA) PVT LTD","71","82","70","58","108","92","87","72","17","657"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","1","0","0","0","0","1"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","0","4","2","0","2","1","0","0","9"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","212","219","215","198","172","150","165","161","30","1522"
"DAO EVTECH PRIVATE LIMITED","0","0","0","0","0","0","0","1","0","1"
"DASMESH MECHANICAL WORKS PVT.LTD","10","10","3","2","1","1","0","3","0","30"
"DEVI ENGG WORKS AP235530181","3","1","1","2","2","0","0","5","0","14"
"DILLI ELECTRIC AUTO PVT LTD","2","4","7","7","2","22","4","6","0","54"
"DIVYA VARALAKSHMI INDUSTRY","6","6","7","9","4","1","3","6","2","44"
"DOOSAN BOBCAT INDIA PVT LTD","0","1","3","2","0","2","3","1","0","12"
"DUCATI INDIA PVT LTD","3","0","1","0","0","0","0","0","0","4"
"DYS IMPEX PRIVATE LIMITED","0","0","1","0","0","0","0","0","0","1"
"E ROYCE MOTORS INDIA PVT LTD","12","26","0","0","2","1","4","63","13","121"
"EICHER TRACTORS","188","212","199","186","195","251","253","145","40","1669"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","1","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","172","205","205","180","215","271","275","231","46","1800"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","16","15","9","24","25","27","19","12","2","149"
"EULER MOTORS PVT LTD","13","21","13","38","30","75","73","75","8","346"
"EVCO AUTOMOBILES PVT LTD","0","0","2","0","3","22","11","14","1","53"
"EXIDE INDUSTRIES LTD","0","0","1","3","0","4","0","2","2","12"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1"
"FORCE MOTORS LIMITED","42","63","118","115","84","151","128","115","19","835"
"FRIENDS ENGINEERING WORKS","0","2","2","3","1","1","1","0","0","10"
"GANESH ENGINEERING WORKS AP118063632","10","14","8","13","12","5","15","11","0","88"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","1","1"
"GODAWARI ELECTRIC MOTORS PVT LTD","6","3","0","3","0","0","0","0","0","12"
"GODREJ & BOYCE MFG. CO. LTD","4","2","0","1","0","0","0","2","0","9"
"GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD","0","0","0","0","0","5","0","0","0","5"
"GREAVES ELECTRIC MOBILITY LTD","122","174","213","279","309","284","349","272","56","2058"
"GROMAX AGRI EQUIPMENT LTD","12","23","24","10","15","16","14","13","4","131"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","1","0","1","0","0","0","0","0","2"
"GURMUKH AGRO INDUSTRIES","0","0","1","0","0","0","1","1","0","3"
"HARIKIRISHNA ENGINEERING WORKS AP046000056","0","0","0","0","0","1","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","2","0","1","0","0","1","0","0","0","4"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","0","0","0","0","1","0","1","0","2"
"HERO MOTOCORP LTD","7000","9442","11164","10594","9038","8955","11258","10911","1787","80149"
"HINDUSTAN ENGINEERING WORKS AP312870753","3","4","6","4","6","6","2","0","0","31"
"HIRA AGRO INDUSTRIES","4","3","5","2","2","0","0","3","0","19"
"HONDA CARS INDIA LTD","165","115","145","156","115","181","162","158","29","1226"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","13429","16567","20156","19474","16349","18802","18610","17921","3026","144334"
"HONGKONG YIXING (IMPORTER: ADMS MARKETING)","2","8","0","4","1","2","0","0","0","17"
"HSU DRAGON (IMPORTER: BMR ELECTRIC)","0","0","5","9","2","6","9","4","0","35"
"HSU DRAGON (IMPORTER: BMR EV INDUSTRIES)","0","0","2","0","0","0","0","1","2","5"
"HYUNDAI MOTOR INDIA LTD","1253","1017","988","1051","1053","1058","1000","996","218","8634"
"INDIA KAWASAKI MOTORS PVT LTD","10","5","23","12","8","8","18","13","3","100"
"INDIA YAMAHA MOTOR PVT LTD","1551","1822","2123","1893","1755","1997","2191","2127","343","15802"
"INDO FARM EQUIPMENT LIMITED","6","4","4","7","1","4","5","5","0","36"
"INTERNATIONAL TRACTORS LIMITED","318","338","368","489","454","566","751","485","84","3853"
"IPL TECH ELECTRIC PVT LTD","8","0","2","0","0","0","0","0","0","10"
"ISHWAR FARMLINE EQUIPMENTS PVT LTD","0","2","0","0","0","0","0","0","0","2"
"ISUZU MOTORS INDIA PVT LTD","11","12","18","18","12","26","22","23","3","145"
"JAGUAR LAND ROVER INDIA LIMITED","7","6","5","15","7","13","13","7","2","75"
"JAI BHARATI ENGINEERING WORKS AP105380083","4","3","4","5","5","2","6","3","0","32"
"JAYA LAKSHMI ENGINEERING WORKS AP105380085","4","6","4","4","7","5","6","9","2","47"
"JBM ELECTRIC VEHICLES PVT LTD","0","0","0","6","0","0","0","0","0","6"
"JCB INDIA LIMITED","133","149","164","200","176","231","228","230","57","1568"
"JIANGSU AIMA (IMPORTER: QUANTUM ENERGY)","0","0","1","0","0","0","0","0","0","1"
"JIANGSU ZHONGXING (IMPORTER: CAL-ON INDUSTRIES)","1","0","0","0","0","0","0","0","0","1"
"JKM ELECTRIC AUTOMOBILES PVT LTD","0","0","0","0","0","1","1","0","0","2"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","280","376","404","332","371","436","458","327","44","3028"
"JSW MG MOTOR INDIA PVT LTD","160","155","186","221","176","225","179","203","42","1547"
"JUPITER ELECTRIC MOBILITY PVT LTD","0","0","0","1","5","0","0","0","0","6"
"JVR ENGINEERING WORK SHOP KURNOOL AP118064366","0","0","0","3","2","3","0","0","0","8"
"K.S. AGRICULTURAL INDUSTRIES PVT. LTD","2","6","2","0","1","1","0","2","0","14"
"KAILASH WELDING WORK AP1913663560","7","2","1","3","5","2","0","5","3","28"
"KAINING (HONGKONG) (IMPORTER: BMR EV INDUSTRIES)","1","4","2","0","2","3","1","0","0","13"
"KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP)","0","0","0","0","0","0","9","13","2","24"
"KANAKADURGA AGRO ENGINEERING WORKS AP67274389","0","3","2","0","2","0","1","1","0","9"
"KARTAR AGRO INDUSTRIES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","589","517","617","697","610","642","631","607","102","5012"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","35","65","49","51","59","35","74","50","10","428"
"KINETIC WATTS AND VOLTS LTD","0","0","0","0","0","13","73","98","21","205"
"KION INDIA PVT LTD","0","0","2","0","0","2","1","0","0","5"
"KLB KOMAKI PVT LTD","11","35","57","44","35","59","52","65","10","368"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","2","0","1","1","2","2","0","0","0","8"
"KURSHEED ENGINEERING WORKS AP105191423","0","3","3","1","1","1","0","0","0","9"
"L.B AGRO PRODUCTS AP1913663006","12","8","10","10","3","10","0","3","0","56"
"LAKSHMI GANAPATHI INDUSTRIES AP235700185","6","7","0","2","8","0","0","8","0","31"
"LAKSHMI TEJASWINI ENGINEERING WORKS AP178703503","5","9","4","0","9","4","1","8","6","46"
"LEADER AGRO ENGINEERING WORKS AP1510200936","0","8","6","6","2","1","0","0","0","23"
"LECTRIX E VEHICLES PVT LTD","4","3","5","5","2","5","9","3","0","36"
"LIUGONG INDIA PVT. LTD","1","9","6","9","2","3","4","0","0","34"
"LOCAL TRAILER MANUFACTURER","0","3","0","2","0","0","0","1","0","6"
"LOHIA AUTO INDUSTRIES","0","19","10","4","18","0","0","0","0","51"
"M A N AGRO INUSTRIES AP203570130","1","0","0","0","1","2","0","2","0","6"
"M/S ARUNA ENGINEERING WORKSHOP AP118063424","0","0","4","11","4","11","0","0","5","35"
