"Maker and Month Wise Data for Arunachal Pradesh (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"A B EXCAVATORS & EARTHMOVERS PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"A D AGRO WORKS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","3","0","0","4","0","0","0","1","0","1","0","2","11"
"A3T INCORPORTED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","1","2","0","0","0","1","0","1","0","0","1","6"
"AGRO INDUSTRIES","0","1","0","0","0","0","1","0","3","2","0","1","8"
"AJAX ENGINEERING LTD","0","0","0","1","1","0","0","0","0","0","2","1","5"
"AJAX FIORI ENGINEERING PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AKASH TRAILOR","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ALL TERRAIN CRANE","1","6","0","2","4","2","1","1","1","0","1","3","22"
"AMW MOTORS LIMITED","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ASHOK LEYLAND LTD","49","62","154","22","2","2","2","5","15","7","17","19","356"
"ATUL AUTO LTD","5","3","15","0","0","0","0","0","0","0","0","0","23"
"AUDI AG","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","369","142","239","58","28","31","53","55","91","118","106","122","1412"
"BEML LIMITED","0","1","0","0","0","0","0","0","0","0","0","1","2"
"BENTLEY MOTORS LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BHARAT PUMP COMP. LTD","0","0","0","9","0","0","0","0","0","0","0","0","9"
"BMW INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CASE EQUIPMENT PRIVATE LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","5","9","12","0","1","2","0","0","0","1","5","2","37"
"CATERPILLAR INDIA PRIVATE LIMITED","1","1","3","0","2","0","1","0","2","2","1","1","14"
"CLASSIC LEGENDS PVT LTD","10","7","2","1","0","0","0","0","1","4","14","21","60"
"CNH INDUSTRIAL (INDIA) PVT LTD","5","5","5","0","3","5","0","2","3","3","8","8","47"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","0","0","0","0","2","0","0","0","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","9","6","11","1","0","0","0","0","1","3","2","12","45"
"DEMAG DEMAG HC 340","0","0","3","0","0","0","0","0","0","0","0","0","3"
"DOOSAN BOBCAT INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DUCATI INDIA PVT LTD","0","1","11","0","0","0","0","0","0","0","0","0","12"
"EICHER MOTORS LTD","0","1","1","1","0","0","0","0","0","0","0","0","3"
"EICHER POLARIS PVT. LTD.","3","0","0","0","0","0","0","0","0","0","0","0","3"
"EICHER TRACTORS","0","0","2","0","0","0","0","1","0","0","0","1","4"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","2","0","6","0","0","0","0","0","3","11"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","2","0","0","0","1","0","1","0","2","4","10"
"ESCORTS TRACTORS LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","40","3","5","0","0","0","0","5","1","3","29","0","86"
"FORD INDIA PVT LTD","10","7","6","1","1","1","3","5","3","8","10","7","62"
"FRED INDIA PVT LTD","0","0","2","0","0","0","0","0","0","0","0","1","3"
"GENERAL MOTORS INDIA PVT LTD","0","5","0","0","0","0","0","0","0","0","0","0","5"
"GODREJ AND BOYCE MFG CO LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"GROVE INDIA PVT LTD","0","1","2","0","0","1","0","0","2","0","0","2","8"
"H-D MOTOR COMPANY INDIA PVT LTD","1","0","5","0","0","0","0","0","0","0","0","0","6"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","0","0","0","0","0","1","0","0","0","0","2"
"HERO ELECTRIC VEHICLE PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"HERO HONDA MOTORS  LTD","0","0","0","3","0","0","0","0","0","0","0","0","3"
"HERO MOTOCORP LTD","609","153","464","54","5","29","55","101","153","136","234","144","2137"
"HONDA CARS INDIA LTD","1","1","2","2","0","0","0","0","0","2","0","3","11"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","581","126","252","124","13","70","36","108","166","159","193","189","2017"
"HYUNDAI MOTOR INDIA LTD","128","70","168","31","33","67","35","47","82","93","88","98","940"
"IDEAL JAWA INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","5","0","0","0","0","0","0","1","0","0","6"
"INDIA YAMAHA MOTOR PVT LTD","268","139","287","104","60","122","73","193","244","238","281","218","2227"
"INDO FARM EQUIPMENT LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ISUZU MOTORS INDIA PVT LTD","3","2","3","0","0","0","0","0","1","0","1","1","11"
"J. S. AUTO (P) LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","1","0","0","0","0","1","0","1","0","3"
"JCB INDIA LIMITED","30","27","33","2","9","17","6","15","22","22","33","43","259"
"JCB INDIA LTD","1","2","0","1","0","0","0","0","0","0","0","0","4"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"JSW MG MOTOR INDIA PVT LTD","0","0","1","0","0","0","0","2","2","0","1","4","10"
"KAWASAKI HEAVY INDUSTRIES LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","3","1","2","1","3","2","0","2","2","2","11","6","35"
"KONE CRANE SWEDEN","0","0","1","0","0","0","0","0","0","0","0","0","1"
"KRUP P","1","0","0","0","0","1","0","0","0","0","0","2","4"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","1","1","0","0","0","0","0","0","0","0","1","3"
"LIEBHERR","0","0","3","0","0","0","0","0","0","0","0","0","3"
"LIEBHERR INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"LIUGONG INDIA PVT. LTD","0","1","1","0","0","0","0","0","0","0","0","1","3"
"LOHIA AUTO INDUSTRIES","0","1","1","0","0","0","0","0","0","0","0","0","2"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","1","0","0","0","0","0","1","1","0","0","2","5"
"MAHABIR INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","309","160","247","71","14","79","29","117","214","186","184","201","1811"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","1","0","1","0","1","0","0","0","0","0","0","0","3"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","3","10","9","6","1","1","16","11","25","11","29","26","148"
"MAHINDRA GUJARAT TRACTOR LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"MAHINDRA NAVISTAR  AUTOMOTIVES LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"MAHINDRA VEHICLE MANUFACTURER LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"MANITOU EQUIPMENT INDIA PVT LTD","0","1","0","0","0","1","0","0","0","0","0","0","2"
"MARUTI SUZUKI INDIA LTD","227","179","262","50","62","115","99","167","247","302","265","296","2271"
"MARUTI UDYOG LTD","4","0","0","0","0","1","1","7","2","0","0","0","15"
"MERCEDES-BENZ INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MITSUBISHI MOTORS CORPORATION","1","0","0","0","0","0","0","0","0","0","0","0","1"
"MLR AUTO LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","47","8","22","14","0","1","0","0","0","1","2","2","97"
"OTHERS","51","0","0","1","0","0","0","0","0","1","0","0","53"
"PIAGGIO VEHICLES PVT LTD","56","30","66","23","0","13","3","9","10","23","28","14","275"
"PUR ENERGY PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"R.N.GUPTA & CO LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"REEP INDUSTRIES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"RENAULT INDIA PVT LTD","69","48","71","18","3","41","11","38","50","31","64","74","518"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","105","60","78","7","18","38","19","35","47","56","51","48","562"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","0","0","0","0","0","0","0","1","0","1","0","2"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"SHRI VISHWAKARMA AUTOMOBILE","0","0","0","0","1","0","0","0","0","0","0","0","1"
"SKODA AUTO INDIA PVT LTD","0","2","1","1","0","0","0","0","0","0","0","0","4"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"SML MAHINDRA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"SONALIKA INTERNATIONAL TRACTORS LIMITED","0","0","0","1","0","0","0","0","0","0","0","0","1"
"STELLANTIS INDIA PVT LTD","1","1","0","0","0","0","0","0","0","0","2","2","6"
"SUZUKI MOTORCYCLE INDIA PVT LTD","80","27","28","30","1","10","3","12","14","22","20","14","261"
"TADANO LIMITED","1","0","1","0","0","0","0","0","0","0","0","0","2"
"TAFE LIMITED","3","3","0","0","0","1","0","1","0","1","0","1","10"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TATA MOTORS LTD","226","143","355","141","20","26","27","50","68","113","129","130","1428"
"TELCO LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"TEREX INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TIL LTD","1","0","0","0","0","1","0","0","0","0","0","0","2"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","50","13","17","8","8","15","8","14","16","19","19","26","213"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","1005","223","651","58","59","168","111","138","194","181","253","239","3280"
"VE COMMERCIAL VEHICLES LTD","3","8","6","3","2","0","0","0","0","3","3","4","32"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","4","0","0","0","0","0","0","0","1","0","0","5"
"VISHAVKARMA AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"VISHWAKARMA AGRICULTURE UDHYOG","0","0","1","0","0","0","0","0","0","0","0","0","1"
"VOLKSWAGEN INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","1","0","2"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","3","0","0","0","0","1","0","0","0","0","4"
"VOLVO GROUP INDIA PVT LTD","10","1","3","0","0","0","0","0","0","0","0","0","14"
"WIRTGEN INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"XCMG CONSTRUCTION MACHINERY CO. LTD.","0","1","0","0","2","0","0","0","0","0","0","0","3"
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA","3","0","1","0","0","0","0","0","0","0","0","0","4"
"ZOOMLION INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","1","0","2"
