"Maker and Month Wise Data for Assam (2019)"

"Maker","2019-Jan","2019-Feb","2019-Mar","2019-Apr","2019-May","2019-Jun","2019-Jul","2019-Aug","2019-Sep","2019-Oct","2019-Nov","2019-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"A K AUTTO ELECTRICAL","0","0","1","0","2","0","0","0","0","0","0","0","3"
"A3T INCORPORTED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","16","15","19","31","33","34","23","16","10","19","16","12","244"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","1","4","3","3","1","8","9","6","1","36"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","2","0","0","1","0","0","0","0","0","0","0","3"
"AGRO INDUSTRIES","0","1","1","0","0","0","0","0","0","9","3","0","14"
"AJAX ENGINEERING LTD","3","0","11","2","1","1","1","0","0","0","2","3","24"
"AJAY AGRO ENTERPRISES,SBP","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","0","0","7","0","0","0","3","0","0","0","10"
"ALL TERRAIN CRANE","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ALLFINE INDUSTRIES PVT LTD","0","15","0","1","0","2","6","10","10","12","2","5","63"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","8","2","10"
"AMW MOTORS LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ANJALI TRADERS","0","0","0","0","1","5","0","1","0","2","0","2","11"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","3","0","0","1","0","1","0","0","0","0","5"
"APSARA ENTERPRISE","4","9","3","2","2","0","1","0","1","0","1","2","25"
"ARROW AUTOMOTIVE","0","6","4","6","14","13","8","35","14","16","28","19","163"
"ASHOK LEYLAND LTD","151","152","198","151","131","119","106","128","143","143","138","106","1666"
"ATUL AUTO LTD","37","35","55","57","66","54","71","56","92","70","60","38","691"
"AUDI AG","5","6","2","5","7","5","7","5","4","5","3","2","56"
"AUTOHAUS PRIVATE LIMITED","18","2","18","10","20","29","14","13","9","8","3","3","147"
"AUTOLITE (INDIA) LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","11","8","2","21"
"AVON CYCLES LTD","4","2","3","3","0","1","4","4","6","6","6","7","46"
"BAJAJ AUTO LTD","4738","6922","7238","7415","8345","7866","6343","5788","6703","8508","6415","3746","80027"
"BATEI STEEL FABRICATION","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BENTINCK INDUSTRIES PVT. LTD.","0","0","0","0","0","0","0","5","6","7","8","1","27"
"BEST WAY AGENCIES PVT LTD","18","18","47","30","38","39","53","65","65","83","53","67","576"
"BHARAT MOTORS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"BIG BULL TRADER PVT LTD","0","0","1","4","6","6","11","3","14","7","4","8","64"
"BMW INDIA PVT LTD","2","3","2","3","1","0","2","1","2","2","3","1","22"
"BULL MACHINES PVT LTD","1","2","0","0","0","0","0","0","0","0","1","2","6"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","17","12","18","16","11","6","8","4","3","9","19","7","130"
"CATERPILLAR INDIA PRIVATE LIMITED","1","4","5","8","2","2","1","1","2","0","1","2","29"
"CEEON INDIA","0","3","7","2","1","3","0","6","1","1","7","0","31"
"CHAMPION POLY PLAST","4","7","13","9","23","12","4","15","13","23","37","66","226"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","37","16","42","22","17","17","17","14","20","18","33","4","257"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","0","1","3","5","13","19","81","63","185"
"CNH INDUSTRIAL (INDIA) PVT LTD","18","21","12","6","6","9","14","6","4","3","21","3","123"
"DAIMLER AG","0","0","1","1","0","1","0","0","1","0","1","0","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","33","25","44","28","13","15","23","34","29","22","26","19","311"
"DASMESH AGRICULTURE WORKS","0","0","0","1","0","0","1","0","0","0","0","0","2"
"DASMESH MECHANICAL WORKS PVT.LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DAVE EXIM PVT LTD","0","1","1","2","0","3","0","2","1","2","0","0","12"
"DE EUSI MOTORS PVT LTD.","0","0","0","0","1","2","1","3","35","6","14","11","73"
"DELTA AUTOCORP LTD","4","7","4","0","3","4","1","1","3","13","6","12","58"
"DHAR INTERNATIONAL","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DHIMAN BROTHERS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","0","0","1","1","0","2"
"DIVANSU AUTOMOBILES LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"DSK MOTOWHEELS PVT LTD.","0","0","0","2","0","0","1","0","0","0","0","0","3"
"DUCATI MOTOR HOLDING S.P.A","0","0","0","0","0","0","1","0","0","0","0","0","1"
"DYNAVOLT TECHNOLOGY INDIA LTD","5","11","19","2","2","1","2","1","0","0","0","0","43"
"EAGLE AUTO PEARL PVT","0","1","0","0","0","0","0","0","0","0","0","0","1"
"EICHER MOTORS LTD","1","2","0","0","0","0","0","1","0","0","0","0","4"
"EICHER POLARIS PVT. LTD.","1","0","0","0","0","0","0","1","0","0","0","0","2"
"EICHER TRACTORS","20","23","11","27","12","33","17","16","14","5","26","10","214"
"ELECTRA INTERNATIONAL","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ELECTRECA VEHICLES","0","0","5","0","3","2","0","0","0","0","0","0","10"
"ELECTROTHERM (INDIA) LIMITED","0","2","0","0","0","1","0","16","8","2","0","0","29"
"ELEPHANTA INDUSTRIES PVT LTD","0","0","1","0","0","0","3","4","14","16","14","1","53"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","2","1","0","0","0","0","0","0","0","1","0","4"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","210","152","170","64","179","126","87","72","108","143","87","75","1473"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","4","6","7","4","8","7","3","7","5","5","11","4","71"
"FORCE MOTORS LIMITED","27","30","40","20","40","32","35","21","29","26","47","19","366"
"FORD INDIA PVT LTD","194","129","195","161","165","127","146","159","133","191","158","113","1871"
"G.K. RICKSHAW LTD","23","23","34","27","43","46","58","59","114","79","162","49","717"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","0","0","0","5","0","0","0","0","0","0","0","5"
"GENERAL MOTORS INDIA PVT LTD","0","3","2","0","0","0","0","1","0","0","2","0","8"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","0","3","0","0","0","0","3","12","5","0","3","0","26"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","0","0","0","1","1","0","0","0","0","2"
"GOODWILL HI PRECISION WORKS PVT LTD","0","1","2","0","2","0","1","3","1","2","1","0","13"
"GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD","1","0","0","0","2","4","2","1","3","4","1","1","19"
"GREEN VALLEY MOTORS","0","0","6","2","1","0","1","2","0","0","1","1","14"
"GROMAX AGRI EQUIPMENT LTD","28","49","33","18","29","41","35","20","50","11","36","12","362"
"H-D MOTOR COMPANY INDIA PVT LTD","1","0","1","1","6","6","3","0","5","4","3","1","31"
"HERO ELECTRIC VEHICLE PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"HERO HONDA MOTORS  LTD","1","1","4","3","1","0","1","1","0","5","0","0","17"
"HERO MOTOCORP LTD","8960","11051","12166","10846","12477","10716","8825","9301","9143","12196","11115","6424","123220"
"HIND AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"HINDUSTAN AGRO INDUSTRIES","0","0","1","0","1","0","0","0","0","1","1","0","4"
"HINDUSTAN MOTOR CORPORATION","0","1","0","0","0","0","0","1","0","0","2","0","4"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","1","1","0","0","0","0","0","0","0","0","2"
"HINDUSTHAN TECHNOLOGIES PVT LTD, CUTTACK","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HONDA CARS INDIA LTD","141","118","141","124","136","101","141","120","135","168","96","71","1492"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","5231","5713","6445","5886","6672","5828","5135","5750","5843","7171","6047","3219","68940"
"HOOGHLY MOTORS PVT LTD","9","1","5","10","5","0","0","13","2","0","0","7","52"
"HYUNDAI MOTOR INDIA LTD","1153","939","1002","1010","1165","992","1119","1022","1298","1540","1282","833","13355"
"HYUNDAI MOTORS LTD, SOUTH KOREA","0","0","0","0","1","0","0","0","0","0","0","0","1"
"INDIA KAWASAKI MOTORS PVT LTD","6","5","4","3","4","10","6","2","6","8","6","5","65"
"INDIA YAMAHA MOTOR PVT LTD","2399","2777","3507","2822","2846","2825","2533","2682","2491","2823","2536","1486","31727"
"INDIAN MOTORS","0","0","0","0","0","0","1","0","0","0","0","0","1"
"INDICON AGRO INDUSTRIES LLP","81","138","5","0","0","49","0","0","4","1","0","0","278"
"INDO FARM EQUIPMENT LIMITED","3","0","2","1","2","3","2","1","7","6","15","9","51"
"INTERNATIONAL TRACTORS LIMITED","102","215","168","162","207","190","222","134","129","126","229","121","2005"
"ISUZU MOTORS INDIA PVT LTD","1","2","4","2","2","5","4","5","7","5","15","8","60"
"JADE KOREA SPINE LIFE","0","0","1","2","0","0","0","0","0","0","0","0","3"
"JAGUAR LAND ROVER INDIA LIMITED","3","0","2","0","1","1","1","0","1","0","3","2","14"
"JAIDKA POWER SYSTEMS PVT LTD","0","0","0","0","0","0","0","0","5","2","3","3","13"
"JAIN POWER CORP","0","0","0","0","1","0","0","0","0","0","0","0","1"
"JAJODIA COMMODITIES PVT LTD","4","7","8","16","5","10","6","17","17","24","14","7","135"
"JAY ACE TECHNOLOGIES LTD","0","1","0","2","0","0","0","0","0","0","0","0","3"
"JAYDEV ENTERPRISE","0","0","0","0","0","0","0","0","0","0","3","5","8"
"JCB INDIA LIMITED","81","121","128","83","72","49","48","63","86","125","181","136","1173"
"JCB INDIA LTD","11","11","5","0","1","0","0","0","0","0","0","0","28"
"JESSUN TECHNO PVT LTD","0","0","0","0","0","0","0","0","0","3","0","1","4"
"JINDAL ELECTRIC VEHICLES","0","0","0","0","0","0","0","0","0","0","0","1","1"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","2","4","5","4","9","7","7","0","19","1","4","4","66"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","0","0","0","1","0","0","2","0","3","6"
"KAISER WILLYS JEEP","0","0","0","0","0","0","0","0","0","0","1","0","1"
"KAPTECH INDIA","0","0","0","0","18","8","9","15","6","21","18","8","103"
"KAWASAKI HEAVY INDUSTRIES LTD","0","0","0","1","0","3","0","0","0","0","0","0","4"
"KHALSAE-VEHICLES PVT LTD","0","0","3","9","9","11","26","29","24","41","27","9","188"
"KIA INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","8","57","105","116","109","395"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","0","0","1","0","5","1","0","2","0","2","1","12"
"KION INDIA PVT LTD","0","0","0","0","0","0","0","0","0","3","0","0","3"
"KIRTI SOLAR LTD","2","0","28","1","4","0","2","10","2","1","1","2","53"
"KLB KOMAKI PVT LTD","0","0","0","0","0","0","0","0","0","0","1","1","2"
"KOMATSU INDIA PRIVATE LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"KRUSHI KISAN TRAILORS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"KS AGROTECH PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"KTM MOTORRAD AG","0","1","0","0","0","0","0","0","0","0","0","0","1"
"KUKU AUTOMOTIVES","0","5","3","1","1","3","4","0","1","0","2","1","21"
"KURUKSHETRA AUTOMOBILES (P) LTD.","0","1","0","0","0","0","0","1","0","0","0","0","2"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"LML LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"LOHIA AUTO INDUSTRIES","0","0","0","0","0","1","0","0","0","0","1","2","4"
"M K ENTERPRISES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"M.K. ENTERPRISES","0","1","0","0","0","2","1","2","1","0","0","0","7"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","2","1","5","1","0","2","1","0","1","3","2","0","18"
"M/S SHRIRAM AUTO TECH PVT LTD","0","2","0","2","0","2","1","0","0","0","0","0","7"
"MAA ENGINEERING TRAILOR","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MAA SHAKTI EXIM PVT LTD","1","0","0","0","1","0","0","0","0","1","0","0","3"
"MAC AUTO INDIA","0","1","0","0","3","0","0","5","1","4","4","0","18"
"MAHINDRA & MAHINDRA LIMITED","1133","1558","1559","1412","1695","1569","1410","1315","1181","1543","1623","1007","17005"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","74","91","77","46","83","64","71","71","64","62","68","55","826"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","140","169","163","128","162","145","126","137","114","97","161","59","1601"
"MAHINDRA ELECTRIC MOBILITY LIMITED","0","0","0","0","0","0","0","0","0","3","11","4","18"
"MAHINDRA GUJARAT TRACTOR LIMITED","3","0","3","0","0","0","2","1","2","1","0","0","12"
"MAHINDRA TWO WHEELERS LTD","0","1","1","0","2","0","0","3","0","1","2","0","10"
"MAN TRUCKS INDIA PVT. LTD.","0","0","0","2","0","0","1","0","0","0","0","0","3"
"MANITOU EQUIPMENT INDIA PVT LTD","4","5","2","3","2","3","1","2","4","1","3","1","31"
"MARUTI SUZUKI INDIA LTD","3119","2820","3160","3427","3496","2862","2902","2900","3776","4582","3603","2754","39401"
"MARUTI UDYOG LTD","2","0","3","3","0","2","2","3","16","3","2","6","42"
"MAYUR ENTERPRISES,BARIPADA","0","0","0","0","0","0","1","0","0","9","6","0","16"
"MERCEDES-BENZ INDIA PVT LTD","9","7","10","5","6","6","7","4","10","5","12","7","88"
"MINI METRO EV L.L.P","0","0","0","0","0","1","0","0","4","0","2","2","9"
"MOHAN GENERAL TRADING COMPANY","0","0","0","0","0","1","0","0","0","0","2","0","3"
"MULTI DIMENSIONAL SOLUTIONS","0","3","1","4","1","0","1","0","0","0","0","0","10"
"NEEDLE EYE PLASTIC INDUSTRIES PVT LTD","6","28","10","17","16","16","24","8","14","25","14","3","181"
"NEW ARCANA INDIA","15","13","14","19","22","12","32","35","27","40","38","22","289"
"NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.","1","1","2","0","0","0","0","0","0","0","0","0","4"
