"Maker and Month Wise Data for Bihar (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"A K GUPTA & CO.","7","0","7","3","7","1","13","8","8","5","1","10","70"
"A P I MOTORS PVT LTD","4","7","2","3","2","6","1","3","1","3","3","2","37"
"A.V.AUTOMOTIVES PVT LTD","1","0","11","4","2","7","7","4","1","0","4","0","41"
"AAHANA COMMERCE PVT LTD","2","4","4","1","3","4","7","1","0","0","1","12","39"
"ACTION CONSTRUCTION EQUIPMENT LTD.","11","13","14","17","14","10","11","6","8","14","9","10","137"
"ADAPT MOTORS PVT LTD","0","0","0","1","0","0","1","0","0","0","0","0","2"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","2","3","0","0","0","0","1","1","0","1","1","9"
"ADIDEV TECHNOA PVT LTD","0","0","1","1","2","0","0","0","21","18","13","10","66"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","0","1","1","0","0","0","0","0","0","0","1","4"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","2","3"
"AGRO INDUSTRIES","6","7","3","3","10","0","4","2","3","1","2","1","42"
"AJAX ENGINEERING LTD","5","5","8","5","8","9","7","3","5","4","8","13","80"
"AJAY MOTORS PRIVATE LIMITED","0","0","0","2","0","0","0","0","0","0","0","0","2"
"AKASH TRAILOR","0","1","2","0","2","2","2","1","2","1","0","0","13"
"ALBEDO VISION PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ALLENTTI MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ALLFINE INDUSTRIES PVT LTD","151","209","234","154","230","250","340","348","445","474","379","367","3581"
"ALTIER ELECTRIC VEHICLES PVT LTD","28","35","47","23","35","13","32","39","25","35","51","54","417"
"ALTIGREEN PROPULSION LABS PVT LTD","0","8","1","6","4","2","16","3","0","3","5","2","50"
"ALTIUS TECHNOLOGIES","0","3","0","0","0","0","0","0","3","2","0","0","8"
"AMBIKA ENTERPRISES","0","15","10","9","13","14","14","23","8","13","9","9","137"
"AMMANN INDIA PVT LTD","1","0","1","0","0","0","0","1","1","0","0","0","4"
"AMO MOBILITY SOLUTIONS PVT LTD","20","7","14","12","14","4","0","4","0","0","2","1","78"
"AMPERE VEHICLES PRIVATE LIMITED","172","205","236","321","506","71","91","38","58","12","27","24","1761"
"ANJALI TRADERS","4","2","1","2","4","7","7","5","10","5","6","7","60"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","1","0","0","0","1","0","0","0","0","2"
"APSARA ENTERPRISE","0","3","6","5","3","8","6","4","3","3","11","8","60"
"ARCHIT ENTERPRISES","0","0","0","0","0","0","0","0","0","0","3","2","5"
"ARROW AUTOMOTIVE","47","92","64","51","90","76","85","65","85","82","33","42","812"
"ASHMA-MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","1","1","3","5"
"ASHOK LEYLAND LTD","190","160","178","218","219","179","201","155","195","247","238","264","2444"
"ATHER ENERGY LTD","46","39","33","44","83","16","25","27","26","36","50","36","461"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ATUL AUTO LTD","158","147","192","118","149","154","196","226","294","242","233","199","2308"
"ATUT SANGAM","49","22","23","34","38","29","56","48","50","34","45","70","498"
"AUTOHAUS PRIVATE LIMITED","7","4","2","2","1","0","9","2","1","3","0","0","31"
"AVL ELECTRIC VEHICLES PVT LTD","37","48","65","45","55","47","61","65","56","85","89","74","727"
"AVON CYCLES LTD","14","5","13","11","11","5","8","6","16","13","11","13","126"
"B24 ROKET EV","0","0","0","0","0","0","0","0","0","0","0","3","3"
"BAJAJ AUTO LTD","8747","10206","12432","12448","18113","14265","11700","10248","11103","11781","22381","13316","156740"
"BAL GOPAL WHEELS PVT LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"BALI AUTO INDUSTRIES","1","0","3","5","5","9","4","0","2","7","2","8","46"
"BATTRE ELECTRIC MOBLITY PVT LTD","9","13","4","14","39","0","0","2","13","3","18","5","120"
"BAXY LTD","0","0","0","0","0","0","0","0","2","6","12","24","44"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","22","16","11","6","3","1","0","1","4","4","5","3","76"
"BENTINCK INDUSTRIES PVT. LTD.","1","1","5","3","6","4","8","3","3","7","0","1","42"
"BEST WAY AGENCIES PVT LTD","67","60","61","55","61","81","73","90","97","83","88","102","918"
"BHAVE ELECTRIC VEHICLES PVT LTD","1","2","2","5","2","3","11","1","0","7","2","3","39"
"BHM AUTOMOTIVES PVT LTD","0","0","0","2","0","1","8","6","5","5","7","8","42"
"BIG BULL TRADER PVT LTD","0","0","4","2","2","10","7","7","6","2","6","6","52"
"BMW INDIA PVT LTD","4","5","13","4","9","9","3","6","7","1","6","12","79"
"BOUNCE ELECTRIC 1 PVT LTD","5","9","3","5","9","0","3","0","0","0","2","0","36"
"BRIGHT AUTOZONE PVT LTD","17","10","6","5","12","2","7","5","5","5","12","13","99"
"BULL MACHINES PVT LTD","4","3","2","5","1","1","0","1","1","1","2","0","21"
"BYD INDIA PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","1","2","4","6","3","2","1","2","4","2","2","32"
"CATERPILLAR INDIA PRIVATE LIMITED","2","2","1","3","3","1","3","3","2","6","6","4","36"
"CEEON INDIA","1","1","0","1","4","2","12","5","7","14","6","11","64"
"CHAMPION POLY PLAST","215","303","235","219","198","278","337","304","344","328","292","289","3342"
"CHAUHAN AUTO INDUSTRIES","4","3","0","3","0","4","0","1","0","2","0","0","17"
"CHEHAK BATTERIES","0","0","0","0","1","1","3","0","3","0","1","11","20"
"CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).","0","0","1","0","0","0","0","0","0","0","0","1","2"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","15","13","7","11","13","25","6","18","15","2","11","12","148"
"CLAAS INDIA P LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","73","52","86","58","86","50","34","28","41","46","79","66","699"
"CNH INDUSTRIAL (INDIA) PVT LTD","55","35","65","63","68","78","53","36","45","59","45","46","648"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","1","1","1","0","0","0","0","0","1","0","0","4"
"CONTINENTAL ENGINES PVT LTD","27","27","21","21","30","22","41","54","31","43","41","38","396"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","2","3","11","13","9","11","8","1","31","12","8","11","120"
"DAKSH INDUSTRY PVT LTD","82","84","53","61","125","119","131","126","143","181","161","186","1452"
"DASMESH MECHANICAL WORKS PVT.LTD","10","4","14","2","5","15","2","0","0","0","3","4","59"
"DAVE EXIM PVT LTD","14","3","11","8","22","18","27","23","25","12","18","12","193"
"DE EUSI MOTORS PVT LTD.","10","15","33","35","25","16","25","26","36","39","24","18","302"
"DELTA AUTOCORP LTD","69","69","77","63","82","80","94","69","81","116","65","60","925"
"DEV ENGINEERING WORKS","1","0","6","8","5","2","0","0","0","0","0","0","22"
"DEVAM ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","1","2","3"
"DEVANGI ENG..","24","25","12","1","0","25","16","21","13","1","1","15","154"
"DILLI ELECTRIC AUTO PVT LTD","104","131","162","132","146","151","200","242","271","326","254","331","2450"
"DIVANSU AUTOMOBILES LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DIVYA ENTERPRISES","17","26","23","17","25","19","32","21","25","39","25","29","298"
"DOOSAN BOBCAT INDIA PVT LTD","1","0","0","1","0","1","0","1","0","0","0","0","4"
"DSF INDUSTRIES PVT LTD","1","1","0","0","0","0","0","0","0","0","0","0","2"
"DUCATI INDIA PVT LTD","0","0","0","0","0","0","0","0","0","2","1","1","4"
"DUKE AUTO INDIA","3","5","3","4","4","4","5","1","4","2","1","3","39"
"DURGA AGRO ENGG,BALASORE","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DURGA ENGINEERING WORKS","7","15","7","11","8","10","0","15","11","13","5","3","105"
